[2339, 1653]
[paragraph, [327.0, 165.0, 1003.0, 36.0], shoonya_4sUM1UMC03ZFNV, 5734501]
[paragraph, [324.0, 219.0, 1134.0, 36.0], shoonya_2sVIN3KZVFGTW8, 5734501]
[paragraph, [324.0, 255.0, 1134.0, 36.0], shoonya_2sVIN3KZVFGTW8, 5734501]
[paragraph, [324.0, 291.0, 1134.0, 36.0], shoonya_2sVIN3KZVFGTW8, 5734501]
[paragraph, [324.0, 327.0, 1134.0, 36.0], shoonya_2sVIN3KZVFGTW8, 5734501]
[paragraph, [324.0, 363.0, 1134.0, 36.0], shoonya_2sVIN3KZVFGTW8, 5734501]
[paragraph, [324.0, 399.0, 1134.0, 36.0], shoonya_2sVIN3KZVFGTW8, 5734501]
[paragraph, [324.0, 435.0, 1134.0, 36.0], shoonya_2sVIN3KZVFGTW8, 5734501]
[paragraph, [324.0, 471.0, 1134.0, 36.0], shoonya_2sVIN3KZVFGTW8, 5734501]
[paragraph, [324.0, 507.0, 1134.0, 36.0], shoonya_2sVIN3KZVFGTW8, 5734501]
[paragraph, [324.0, 543.0, 1134.0, 36.0], shoonya_2sVIN3KZVFGTW8, 5734501]
[paragraph, [324.0, 579.0, 1134.0, 36.0], shoonya_2sVIN3KZVFGTW8, 5734501]
[paragraph, [324.0, 615.0, 1134.0, 36.0], shoonya_2sVIN3KZVFGTW8, 5734501]
[paragraph, [325.0, 662.0, 1134.0, 36.0], shoonya_1sXLMMASM7US2Z, 5734501]
[paragraph, [325.0, 698.0, 1134.0, 36.0], shoonya_1sXLMMASM7US2Z, 5734501]
[paragraph, [325.0, 734.0, 1134.0, 36.0], shoonya_1sXLMMASM7US2Z, 5734501]
[paragraph, [325.0, 770.0, 1134.0, 36.0], shoonya_1sXLMMASM7US2Z, 5734501]
[paragraph, [325.0, 806.0, 1134.0, 36.0], shoonya_1sXLMMASM7US2Z, 5734501]
[paragraph, [325.0, 842.0, 1134.0, 36.0], shoonya_1sXLMMASM7US2Z, 5734501]
[paragraph, [325.0, 878.0, 1134.0, 36.0], shoonya_1sXLMMASM7US2Z, 5734501]
[paragraph, [325.0, 914.0, 1134.0, 36.0], shoonya_1sXLMMASM7US2Z, 5734501]
[paragraph, [325.0, 950.0, 1134.0, 36.0], shoonya_1sXLMMASM7US2Z, 5734501]
[paragraph, [325.0, 986.0, 1134.0, 36.0], shoonya_1sXLMMASM7US2Z, 5734501]
[paragraph, [325.0, 1022.0, 1134.0, 36.0], shoonya_1sXLMMASM7US2Z, 5734501]
[paragraph, [325.0, 1058.0, 1134.0, 36.0], shoonya_1sXLMMASM7US2Z, 5734501]
[paragraph, [325.0, 1094.0, 1134.0, 36.0], shoonya_1sXLMMASM7US2Z, 5734501]
[paragraph, [325.0, 1130.0, 1134.0, 36.0], shoonya_1sXLMMASM7US2Z, 5734501]
[paragraph, [325.0, 1166.0, 1134.0, 36.0], shoonya_1sXLMMASM7US2Z, 5734501]
[paragraph, [325.0, 1202.0, 1134.0, 36.0], shoonya_1sXLMMASM7US2Z, 5734501]
[paragraph, [325.0, 1238.0, 1134.0, 36.0], shoonya_1sXLMMASM7US2Z, 5734501]
[paragraph, [325.0, 1274.0, 1134.0, 36.0], shoonya_1sXLMMASM7US2Z, 5734501]
[paragraph, [325.0, 1310.0, 1134.0, 36.0], shoonya_1sXLMMASM7US2Z, 5734501]
[paragraph, [326.0, 1389.0, 1135.0, 36.0], shoonya_0sHRQ1GW8T1QLZ, 5734501]
[paragraph, [326.0, 1425.0, 1135.0, 36.0], shoonya_0sHRQ1GW8T1QLZ, 5734501]
[paragraph, [326.0, 1461.0, 1135.0, 36.0], shoonya_0sHRQ1GW8T1QLZ, 5734501]
[paragraph, [326.0, 1497.0, 1135.0, 36.0], shoonya_0sHRQ1GW8T1QLZ, 5734501]
[paragraph, [326.0, 1533.0, 1135.0, 36.0], shoonya_0sHRQ1GW8T1QLZ, 5734501]
[paragraph, [326.0, 1569.0, 1135.0, 36.0], shoonya_0sHRQ1GW8T1QLZ, 5734501]
[paragraph, [326.0, 1605.0, 1135.0, 36.0], shoonya_0sHRQ1GW8T1QLZ, 5734501]
[paragraph, [326.0, 1641.0, 1135.0, 36.0], shoonya_0sHRQ1GW8T1QLZ, 5734501]
[paragraph, [326.0, 1677.0, 1135.0, 36.0], shoonya_0sHRQ1GW8T1QLZ, 5734501]
[paragraph, [326.0, 1713.0, 1135.0, 36.0], shoonya_0sHRQ1GW8T1QLZ, 5734501]
[paragraph, [326.0, 1749.0, 1135.0, 36.0], shoonya_0sHRQ1GW8T1QLZ, 5734501]
