[1755, 1240]
[paragraph, [181.0, 186.0, 877.0, 36.0], shoonya_3sDOO80V8QF5ZP, 5703845]
[paragraph, [181.0, 222.0, 877.0, 36.0], shoonya_3sDOO80V8QF5ZP, 5703845]
[paragraph, [180.0, 328.0, 880.0, 36.0], shoonya_4s9OB2CGNMTIMN, 5703845]
[paragraph, [180.0, 364.0, 880.0, 36.0], shoonya_4s9OB2CGNMTIMN, 5703845]
[paragraph, [180.0, 400.0, 880.0, 36.0], shoonya_4s9OB2CGNMTIMN, 5703845]
[paragraph, [180.0, 436.0, 880.0, 36.0], shoonya_4s9OB2CGNMTIMN, 5703845]
[paragraph, [180.0, 472.0, 880.0, 36.0], shoonya_4s9OB2CGNMTIMN, 5703845]
[paragraph, [180.0, 508.0, 880.0, 36.0], shoonya_4s9OB2CGNMTIMN, 5703845]
[paragraph, [180.0, 544.0, 880.0, 36.0], shoonya_4s9OB2CGNMTIMN, 5703845]
[paragraph, [180.0, 580.0, 880.0, 36.0], shoonya_4s9OB2CGNMTIMN, 5703845]
[paragraph, [180.0, 616.0, 880.0, 36.0], shoonya_4s9OB2CGNMTIMN, 5703845]
[paragraph, [180.0, 652.0, 880.0, 36.0], shoonya_4s9OB2CGNMTIMN, 5703845]
[paragraph, [180.0, 688.0, 880.0, 36.0], shoonya_4s9OB2CGNMTIMN, 5703845]
[paragraph, [180.0, 724.0, 880.0, 36.0], shoonya_4s9OB2CGNMTIMN, 5703845]
[paragraph, [180.0, 760.0, 880.0, 36.0], shoonya_4s9OB2CGNMTIMN, 5703845]
[section-title, [183.0, 949.0, 194.0, 49.5], shoonya_2s6RS963PG3PD1, 5703845]
[section-title, [182.0, 950.0, 196.0, 49.5], shoonya_5s2VUKJIU6L3GG, 5703845]
[paragraph, [180.0, 1042.0, 878.0, 36.0], shoonya_0sSIYGTZE1IAVP, 5703845]
[paragraph, [180.0, 1078.0, 878.0, 36.0], shoonya_0sSIYGTZE1IAVP, 5703845]
[paragraph, [180.0, 1114.0, 878.0, 36.0], shoonya_0sSIYGTZE1IAVP, 5703845]
[paragraph, [180.0, 1150.0, 878.0, 36.0], shoonya_0sSIYGTZE1IAVP, 5703845]
[paragraph, [180.0, 1186.0, 878.0, 36.0], shoonya_0sSIYGTZE1IAVP, 5703845]
[paragraph, [180.0, 1222.0, 878.0, 36.0], shoonya_0sSIYGTZE1IAVP, 5703845]
[paragraph, [180.0, 1258.0, 878.0, 36.0], shoonya_0sSIYGTZE1IAVP, 5703845]
[paragraph, [180.0, 1294.0, 878.0, 36.0], shoonya_0sSIYGTZE1IAVP, 5703845]
[paragraph, [180.0, 1330.0, 878.0, 36.0], shoonya_0sSIYGTZE1IAVP, 5703845]
[paragraph, [181.0, 1410.0, 878.0, 36.0], shoonya_1sMH042H7GD4WQ, 5703845]
[paragraph, [181.0, 1446.0, 878.0, 36.0], shoonya_1sMH042H7GD4WQ, 5703845]
[paragraph, [181.0, 1482.0, 878.0, 36.0], shoonya_1sMH042H7GD4WQ, 5703845]
[paragraph, [181.0, 1518.0, 878.0, 36.0], shoonya_1sMH042H7GD4WQ, 5703845]
