[1142, 740]
[contact-info, [254.0, 404.0, 243.0, 18.0], shoonya_0sXT7E33WZLKJB, 5740820]
[contact-info, [254.0, 422.0, 243.0, 18.0], shoonya_0sXT7E33WZLKJB, 5740820]
[contact-info, [254.0, 440.0, 243.0, 18.0], shoonya_0sXT7E33WZLKJB, 5740820]
[contact-info, [254.0, 458.0, 243.0, 18.0], shoonya_0sXT7E33WZLKJB, 5740820]
[contact-info, [254.0, 476.0, 243.0, 18.0], shoonya_0sXT7E33WZLKJB, 5740820]
[contact-info, [254.0, 494.0, 243.0, 18.0], shoonya_0sXT7E33WZLKJB, 5740820]
[folio, [268.0, 737.0, 186.0, 18.0], NSZNFzuhMN, 5740820]
[folio, [268.0, 755.0, 186.0, 18.0], NSZNFzuhMN, 5740820]
[folio, [268.0, 773.0, 186.0, 18.0], NSZNFzuhMN, 5740820]
[folio, [268.0, 791.0, 186.0, 18.0], NSZNFzuhMN, 5740820]
[folio, [268.0, 809.0, 186.0, 18.0], NSZNFzuhMN, 5740820]
[folio, [268.0, 827.0, 186.0, 18.0], NSZNFzuhMN, 5740820]
[folio, [176.0, 908.0, 404.0, 18.0], sG6HrNzb4t, 5740820]
[folio, [176.0, 926.0, 404.0, 18.0], sG6HrNzb4t, 5740820]
[folio, [176.0, 944.0, 404.0, 18.0], sG6HrNzb4t, 5740820]
[folio, [176.0, 962.0, 404.0, 18.0], sG6HrNzb4t, 5740820]
[footnote, [420.0, 1096.0, 268.0, 18.0], MenEfdIDS8, 5740820]
