[2200, 1700]
[paragraph, [901.0, 208.0, 656.0, 36.0], shoonya_3sHFKLLEGHD8O3, 5752297]
[paragraph, [901.0, 244.0, 656.0, 36.0], shoonya_3sHFKLLEGHD8O3, 5752297]
[paragraph, [901.0, 280.0, 656.0, 36.0], shoonya_3sHFKLLEGHD8O3, 5752297]
[paragraph, [901.0, 316.0, 656.0, 36.0], shoonya_3sHFKLLEGHD8O3, 5752297]
[paragraph, [901.0, 352.0, 656.0, 36.0], shoonya_3sHFKLLEGHD8O3, 5752297]
[paragraph, [901.0, 388.0, 656.0, 36.0], shoonya_3sHFKLLEGHD8O3, 5752297]
[paragraph, [901.0, 424.0, 656.0, 36.0], shoonya_3sHFKLLEGHD8O3, 5752297]
[paragraph, [901.0, 460.0, 656.0, 36.0], shoonya_3sHFKLLEGHD8O3, 5752297]
[paragraph, [901.0, 496.0, 656.0, 36.0], shoonya_3sHFKLLEGHD8O3, 5752297]
[paragraph, [901.0, 532.0, 656.0, 36.0], shoonya_3sHFKLLEGHD8O3, 5752297]
[paragraph, [901.0, 568.0, 656.0, 36.0], shoonya_3sHFKLLEGHD8O3, 5752297]
[paragraph, [901.0, 604.0, 656.0, 36.0], shoonya_3sHFKLLEGHD8O3, 5752297]
[paragraph, [901.0, 640.0, 656.0, 36.0], shoonya_3sHFKLLEGHD8O3, 5752297]
[paragraph, [140.0, 209.0, 656.0, 36.0], shoonya_5sEP2SRK51G3VI, 5752297]
[paragraph, [140.0, 245.0, 656.0, 36.0], shoonya_5sEP2SRK51G3VI, 5752297]
[paragraph, [140.0, 281.0, 656.0, 36.0], shoonya_5sEP2SRK51G3VI, 5752297]
[paragraph, [140.0, 317.0, 656.0, 36.0], shoonya_5sEP2SRK51G3VI, 5752297]
[paragraph, [140.0, 353.0, 656.0, 36.0], shoonya_5sEP2SRK51G3VI, 5752297]
[paragraph, [140.0, 389.0, 656.0, 36.0], shoonya_5sEP2SRK51G3VI, 5752297]
[paragraph, [140.0, 425.0, 656.0, 36.0], shoonya_5sEP2SRK51G3VI, 5752297]
[paragraph, [140.0, 461.0, 656.0, 36.0], shoonya_5sEP2SRK51G3VI, 5752297]
[paragraph, [140.0, 497.0, 656.0, 36.0], shoonya_5sEP2SRK51G3VI, 5752297]
[paragraph, [140.0, 533.0, 656.0, 36.0], shoonya_5sEP2SRK51G3VI, 5752297]
[paragraph, [138.0, 614.0, 665.0, 36.0], 2Eysna1f-z, 5752297]
[paragraph, [138.0, 650.0, 665.0, 36.0], 2Eysna1f-z, 5752297]
[paragraph, [138.0, 686.0, 665.0, 36.0], 2Eysna1f-z, 5752297]
[paragraph, [138.0, 722.0, 665.0, 36.0], 2Eysna1f-z, 5752297]
[paragraph, [138.0, 758.0, 665.0, 36.0], 2Eysna1f-z, 5752297]
[paragraph, [138.0, 794.0, 665.0, 36.0], 2Eysna1f-z, 5752297]
[paragraph, [138.0, 830.0, 665.0, 36.0], 2Eysna1f-z, 5752297]
[paragraph, [901.0, 721.0, 657.0, 36.0], shoonya_0sI6EF3HTODYPJ, 5752297]
[paragraph, [901.0, 757.0, 657.0, 36.0], shoonya_0sI6EF3HTODYPJ, 5752297]
[paragraph, [901.0, 793.0, 657.0, 36.0], shoonya_0sI6EF3HTODYPJ, 5752297]
[paragraph, [901.0, 829.0, 657.0, 36.0], shoonya_0sI6EF3HTODYPJ, 5752297]
[paragraph, [901.0, 865.0, 657.0, 36.0], shoonya_0sI6EF3HTODYPJ, 5752297]
[paragraph, [901.0, 901.0, 657.0, 36.0], shoonya_0sI6EF3HTODYPJ, 5752297]
[paragraph, [901.0, 937.0, 657.0, 36.0], shoonya_0sI6EF3HTODYPJ, 5752297]
[paragraph, [901.0, 973.0, 657.0, 36.0], shoonya_0sI6EF3HTODYPJ, 5752297]
[paragraph, [901.0, 1009.0, 657.0, 36.0], shoonya_0sI6EF3HTODYPJ, 5752297]
[paragraph, [901.0, 1045.0, 657.0, 36.0], shoonya_0sI6EF3HTODYPJ, 5752297]
[paragraph, [901.0, 1081.0, 657.0, 36.0], shoonya_0sI6EF3HTODYPJ, 5752297]
[paragraph, [901.0, 1117.0, 657.0, 36.0], shoonya_0sI6EF3HTODYPJ, 5752297]
[paragraph, [901.0, 1153.0, 657.0, 36.0], shoonya_0sI6EF3HTODYPJ, 5752297]
[paragraph, [901.0, 1189.0, 657.0, 36.0], shoonya_0sI6EF3HTODYPJ, 5752297]
[paragraph, [901.0, 1225.0, 657.0, 36.0], shoonya_0sI6EF3HTODYPJ, 5752297]
[paragraph, [142.0, 905.0, 654.0, 36.0], shoonya_1sMXV2YJ3PONMN, 5752297]
[paragraph, [142.0, 941.0, 654.0, 36.0], shoonya_1sMXV2YJ3PONMN, 5752297]
[paragraph, [142.0, 977.0, 654.0, 36.0], shoonya_1sMXV2YJ3PONMN, 5752297]
