[1754, 1241]
[section-title, [487.0, 211.0, 411.0, 49.5], shoonya_0sOEANTZGG5DUM, 6470770]
[section-title, [487.0, 260.5, 411.0, 49.5], shoonya_0sOEANTZGG5DUM, 6470770]
[paragraph, [394.0, 343.0, 695.0, 36.0], vaQRgLnJgL, 6470770]
[paragraph, [394.0, 379.0, 695.0, 36.0], vaQRgLnJgL, 6470770]
[paragraph, [394.0, 415.0, 695.0, 36.0], vaQRgLnJgL, 6470770]
[paragraph, [394.0, 451.0, 695.0, 36.0], vaQRgLnJgL, 6470770]
[paragraph, [394.0, 487.0, 695.0, 36.0], vaQRgLnJgL, 6470770]
[paragraph, [394.0, 523.0, 695.0, 36.0], vaQRgLnJgL, 6470770]
[paragraph, [394.0, 559.0, 695.0, 36.0], vaQRgLnJgL, 6470770]
[paragraph, [394.0, 595.0, 695.0, 36.0], vaQRgLnJgL, 6470770]
[paragraph, [394.0, 631.0, 695.0, 36.0], vaQRgLnJgL, 6470770]
[paragraph, [394.0, 667.0, 695.0, 36.0], vaQRgLnJgL, 6470770]
[paragraph, [394.0, 703.0, 695.0, 36.0], vaQRgLnJgL, 6470770]
[paragraph, [394.0, 739.0, 695.0, 36.0], vaQRgLnJgL, 6470770]
[paragraph, [394.0, 775.0, 695.0, 36.0], vaQRgLnJgL, 6470770]
[paragraph, [394.0, 811.0, 695.0, 36.0], vaQRgLnJgL, 6470770]
[paragraph, [394.0, 847.0, 695.0, 36.0], vaQRgLnJgL, 6470770]
[paragraph, [394.0, 883.0, 695.0, 36.0], vaQRgLnJgL, 6470770]
[paragraph, [394.0, 919.0, 695.0, 36.0], vaQRgLnJgL, 6470770]
[paragraph, [394.0, 955.0, 695.0, 36.0], vaQRgLnJgL, 6470770]
[sidebar, [287.0, 345.0, 75.0, 36.0], c_J383yISR, 6470770]
[sidebar, [290.0, 1009.0, 88.0, 36.0], 7-9P_vpZLU, 6470770]
[paragraph, [396.0, 1020.0, 693.0, 36.0], ZLPwb0e1W5, 6470770]
[paragraph, [396.0, 1056.0, 693.0, 36.0], ZLPwb0e1W5, 6470770]
[paragraph, [289.0, 1163.0, 800.0, 36.0], 3AFAbk1oAd, 6470770]
[folio, [295.0, 1221.0, 236.0, 36.0], O8HAujI-71, 6470770]
