[1050, 693]
[folio, [514.0, 77.0, 87.0, 18.0], shoonya_3sBB8LRIHHVTEI, 5702031]
[folio, [514.0, 95.0, 87.0, 18.0], shoonya_3sBB8LRIHHVTEI, 5702031]
[paragraph, [80.0, 128.0, 528.0, 18.0], shoonya_1sZ63F3VTBS34Z, 5702031]
[paragraph, [80.0, 146.0, 528.0, 18.0], shoonya_1sZ63F3VTBS34Z, 5702031]
[paragraph, [80.0, 164.0, 528.0, 18.0], shoonya_1sZ63F3VTBS34Z, 5702031]
[paragraph, [80.0, 182.0, 528.0, 18.0], shoonya_1sZ63F3VTBS34Z, 5702031]
[paragraph, [80.0, 200.0, 528.0, 18.0], shoonya_1sZ63F3VTBS34Z, 5702031]
[paragraph, [80.0, 218.0, 528.0, 18.0], shoonya_1sZ63F3VTBS34Z, 5702031]
[paragraph, [80.0, 236.0, 528.0, 18.0], shoonya_1sZ63F3VTBS34Z, 5702031]
[paragraph, [80.0, 254.0, 528.0, 18.0], shoonya_1sZ63F3VTBS34Z, 5702031]
[paragraph, [80.0, 272.0, 528.0, 18.0], shoonya_1sZ63F3VTBS34Z, 5702031]
[paragraph, [80.0, 290.0, 528.0, 18.0], shoonya_1sZ63F3VTBS34Z, 5702031]
[paragraph, [80.0, 308.0, 528.0, 18.0], shoonya_1sZ63F3VTBS34Z, 5702031]
[paragraph, [80.0, 326.0, 528.0, 18.0], shoonya_1sZ63F3VTBS34Z, 5702031]
[paragraph, [80.0, 344.0, 528.0, 18.0], shoonya_1sZ63F3VTBS34Z, 5702031]
[paragraph, [82.0, 388.0, 527.0, 18.0], shoonya_0s3SJNULN2642W, 5702031]
[paragraph, [82.0, 406.0, 527.0, 18.0], shoonya_0s3SJNULN2642W, 5702031]
[paragraph, [82.0, 424.0, 527.0, 18.0], shoonya_0s3SJNULN2642W, 5702031]
[paragraph, [82.0, 442.0, 527.0, 18.0], shoonya_0s3SJNULN2642W, 5702031]
[paragraph, [82.0, 460.0, 527.0, 18.0], shoonya_0s3SJNULN2642W, 5702031]
[paragraph, [82.0, 478.0, 527.0, 18.0], shoonya_0s3SJNULN2642W, 5702031]
[paragraph, [82.0, 496.0, 527.0, 18.0], shoonya_0s3SJNULN2642W, 5702031]
[paragraph, [82.0, 514.0, 527.0, 18.0], shoonya_0s3SJNULN2642W, 5702031]
[paragraph, [82.0, 532.0, 527.0, 18.0], shoonya_0s3SJNULN2642W, 5702031]
[paragraph, [82.0, 550.0, 527.0, 18.0], shoonya_0s3SJNULN2642W, 5702031]
[paragraph, [81.0, 583.0, 529.0, 18.0], shoonya_2sWOHB4M2TVRJA, 5702031]
[paragraph, [81.0, 601.0, 529.0, 18.0], shoonya_2sWOHB4M2TVRJA, 5702031]
[paragraph, [81.0, 619.0, 529.0, 18.0], shoonya_2sWOHB4M2TVRJA, 5702031]
[paragraph, [81.0, 637.0, 529.0, 18.0], shoonya_2sWOHB4M2TVRJA, 5702031]
[paragraph, [81.0, 655.0, 529.0, 18.0], shoonya_2sWOHB4M2TVRJA, 5702031]
[paragraph, [81.0, 673.0, 529.0, 18.0], shoonya_2sWOHB4M2TVRJA, 5702031]
[paragraph, [81.0, 691.0, 529.0, 18.0], shoonya_2sWOHB4M2TVRJA, 5702031]
[paragraph, [81.0, 709.0, 529.0, 18.0], shoonya_2sWOHB4M2TVRJA, 5702031]
[paragraph, [81.0, 727.0, 529.0, 18.0], shoonya_2sWOHB4M2TVRJA, 5702031]
[paragraph, [81.0, 745.0, 529.0, 18.0], shoonya_2sWOHB4M2TVRJA, 5702031]
[paragraph, [82.0, 778.0, 527.0, 18.0], WExszwor-o, 5702031]
[paragraph, [82.0, 796.0, 527.0, 18.0], WExszwor-o, 5702031]
[paragraph, [82.0, 814.0, 527.0, 18.0], WExszwor-o, 5702031]
[paragraph, [82.0, 832.0, 527.0, 18.0], WExszwor-o, 5702031]
[paragraph, [82.0, 850.0, 527.0, 18.0], WExszwor-o, 5702031]
[paragraph, [82.0, 868.0, 527.0, 18.0], WExszwor-o, 5702031]
[paragraph, [82.0, 907.0, 531.0, 18.0], Z-6YjGzVMs, 5702031]
[paragraph, [82.0, 925.0, 531.0, 18.0], Z-6YjGzVMs, 5702031]
[paragraph, [82.0, 943.0, 531.0, 18.0], Z-6YjGzVMs, 5702031]
