[872, 605]
[folio, [29.0, 32.0, 90.0, 18.0], I5UIwGRPtW, 6457552]
[paragraph, [32.0, 74.0, 266.0, 18.0], E5voZx438z, 6457552]
[paragraph, [32.0, 92.0, 266.0, 18.0], E5voZx438z, 6457552]
[paragraph, [32.0, 110.0, 266.0, 18.0], E5voZx438z, 6457552]
[paragraph, [32.0, 128.0, 266.0, 18.0], E5voZx438z, 6457552]
[paragraph, [302.0, 77.0, 251.0, 18.0], riEX9Y4P1n, 6457552]
[paragraph, [301.0, 91.0, 207.0, 18.0], 4DvMJNVaHv, 6457552]
[paragraph, [313.0, 112.0, 228.0, 18.0], Yb8MLCEQxy, 6457552]
[paragraph, [315.0, 136.0, 195.0, 18.0], ReTW4LNInd, 6457552]
[paragraph, [38.0, 146.0, 266.0, 18.0], e2SOEpO0cp, 6457552]
[paragraph, [38.0, 164.0, 266.0, 18.0], e2SOEpO0cp, 6457552]
[paragraph, [38.0, 182.0, 266.0, 18.0], e2SOEpO0cp, 6457552]
[paragraph, [38.0, 200.0, 266.0, 18.0], e2SOEpO0cp, 6457552]
[paragraph, [38.0, 218.0, 266.0, 18.0], e2SOEpO0cp, 6457552]
[paragraph, [38.0, 236.0, 266.0, 18.0], e2SOEpO0cp, 6457552]
[paragraph, [38.0, 254.0, 266.0, 18.0], e2SOEpO0cp, 6457552]
[paragraph, [38.0, 272.0, 266.0, 18.0], e2SOEpO0cp, 6457552]
[paragraph, [38.0, 290.0, 266.0, 18.0], e2SOEpO0cp, 6457552]
[paragraph, [38.0, 308.0, 266.0, 18.0], e2SOEpO0cp, 6457552]
[paragraph, [38.0, 326.0, 266.0, 18.0], e2SOEpO0cp, 6457552]
[paragraph, [38.0, 344.0, 266.0, 18.0], e2SOEpO0cp, 6457552]
[paragraph, [38.0, 362.0, 266.0, 18.0], e2SOEpO0cp, 6457552]
[paragraph, [38.0, 380.0, 266.0, 18.0], e2SOEpO0cp, 6457552]
[paragraph, [38.0, 398.0, 266.0, 18.0], e2SOEpO0cp, 6457552]
[paragraph, [38.0, 416.0, 266.0, 18.0], e2SOEpO0cp, 6457552]
[paragraph, [299.0, 157.0, 259.0, 18.0], dsWmsMruO8, 6457552]
[paragraph, [299.0, 174.0, 263.0, 18.0], Y2mrIxeKZv, 6457552]
[paragraph, [299.0, 192.0, 263.0, 18.0], Y2mrIxeKZv, 6457552]
[paragraph, [301.0, 208.0, 259.0, 18.0], jcZfUyQLmr, 6457552]
[paragraph, [301.0, 226.0, 259.0, 18.0], jcZfUyQLmr, 6457552]
[paragraph, [304.0, 239.0, 250.0, 18.0], z8fGSnENN3, 6457552]
[paragraph, [304.0, 257.0, 250.0, 18.0], z8fGSnENN3, 6457552]
[paragraph, [302.0, 274.0, 257.0, 18.0], 2wVOYHZ-WL, 6457552]
[paragraph, [302.0, 292.0, 257.0, 18.0], 2wVOYHZ-WL, 6457552]
[paragraph, [304.0, 310.0, 261.0, 18.0], shoonya_0sT2J3NBOWFMPS, 6457552]
[paragraph, [304.0, 328.0, 261.0, 18.0], shoonya_0sT2J3NBOWFMPS, 6457552]
[paragraph, [304.0, 346.0, 261.0, 18.0], shoonya_0sT2J3NBOWFMPS, 6457552]
[paragraph, [304.0, 364.0, 261.0, 18.0], shoonya_0sT2J3NBOWFMPS, 6457552]
[paragraph, [304.0, 382.0, 261.0, 18.0], shoonya_0sT2J3NBOWFMPS, 6457552]
[paragraph, [304.0, 400.0, 261.0, 18.0], shoonya_0sT2J3NBOWFMPS, 6457552]
[paragraph, [304.0, 418.0, 261.0, 18.0], shoonya_0sT2J3NBOWFMPS, 6457552]
[paragraph, [304.0, 436.0, 261.0, 18.0], shoonya_0sT2J3NBOWFMPS, 6457552]
[paragraph, [304.0, 454.0, 261.0, 18.0], shoonya_0sT2J3NBOWFMPS, 6457552]
[paragraph, [304.0, 472.0, 261.0, 18.0], shoonya_0sT2J3NBOWFMPS, 6457552]
[paragraph, [304.0, 490.0, 261.0, 18.0], shoonya_0sT2J3NBOWFMPS, 6457552]
[paragraph, [304.0, 508.0, 261.0, 18.0], shoonya_0sT2J3NBOWFMPS, 6457552]
[paragraph, [304.0, 526.0, 261.0, 18.0], shoonya_0sT2J3NBOWFMPS, 6457552]
[paragraph, [304.0, 544.0, 261.0, 18.0], shoonya_0sT2J3NBOWFMPS, 6457552]
