[2339, 1653]
[paragraph, [389.0, 195.0, 1077.0, 36.0], shoonya_3sTR4JO28TDYWJ, 5734478]
[paragraph, [389.0, 231.0, 1077.0, 36.0], shoonya_3sTR4JO28TDYWJ, 5734478]
[paragraph, [389.0, 267.0, 1077.0, 36.0], shoonya_3sTR4JO28TDYWJ, 5734478]
[paragraph, [389.0, 303.0, 1077.0, 36.0], shoonya_3sTR4JO28TDYWJ, 5734478]
[paragraph, [389.0, 339.0, 1077.0, 36.0], shoonya_3sTR4JO28TDYWJ, 5734478]
[paragraph, [389.0, 375.0, 1077.0, 36.0], shoonya_3sTR4JO28TDYWJ, 5734478]
[paragraph, [389.0, 411.0, 1077.0, 36.0], shoonya_3sTR4JO28TDYWJ, 5734478]
[paragraph, [389.0, 447.0, 1077.0, 36.0], shoonya_3sTR4JO28TDYWJ, 5734478]
[paragraph, [388.0, 492.0, 1071.0, 36.0], shoonya_1sXFW29NAKLXV5, 5734478]
[paragraph, [388.0, 528.0, 1071.0, 36.0], shoonya_1sXFW29NAKLXV5, 5734478]
[paragraph, [388.0, 564.0, 1071.0, 36.0], shoonya_1sXFW29NAKLXV5, 5734478]
[paragraph, [388.0, 600.0, 1071.0, 36.0], shoonya_1sXFW29NAKLXV5, 5734478]
[paragraph, [388.0, 636.0, 1071.0, 36.0], shoonya_1sXFW29NAKLXV5, 5734478]
[paragraph, [388.0, 672.0, 1071.0, 36.0], shoonya_1sXFW29NAKLXV5, 5734478]
[paragraph, [388.0, 708.0, 1071.0, 36.0], shoonya_1sXFW29NAKLXV5, 5734478]
[paragraph, [388.0, 744.0, 1071.0, 36.0], shoonya_1sXFW29NAKLXV5, 5734478]
[paragraph, [388.0, 780.0, 1071.0, 36.0], shoonya_1sXFW29NAKLXV5, 5734478]
[paragraph, [388.0, 816.0, 1071.0, 36.0], shoonya_1sXFW29NAKLXV5, 5734478]
[paragraph, [388.0, 852.0, 1071.0, 36.0], shoonya_1sXFW29NAKLXV5, 5734478]
[paragraph, [388.0, 888.0, 1071.0, 36.0], shoonya_1sXFW29NAKLXV5, 5734478]
[paragraph, [388.0, 924.0, 1071.0, 36.0], shoonya_1sXFW29NAKLXV5, 5734478]
[paragraph, [388.0, 960.0, 1071.0, 36.0], shoonya_1sXFW29NAKLXV5, 5734478]
[paragraph, [388.0, 996.0, 1071.0, 36.0], shoonya_1sXFW29NAKLXV5, 5734478]
[paragraph, [388.0, 1032.0, 1071.0, 36.0], shoonya_1sXFW29NAKLXV5, 5734478]
[paragraph, [388.0, 1068.0, 1071.0, 36.0], shoonya_1sXFW29NAKLXV5, 5734478]
[paragraph, [389.0, 1132.0, 1076.0, 36.0], shoonya_2sTPLXI5OQ5H5N, 5734478]
[paragraph, [389.0, 1168.0, 1076.0, 36.0], shoonya_2sTPLXI5OQ5H5N, 5734478]
[paragraph, [389.0, 1204.0, 1076.0, 36.0], shoonya_2sTPLXI5OQ5H5N, 5734478]
[paragraph, [389.0, 1240.0, 1076.0, 36.0], shoonya_2sTPLXI5OQ5H5N, 5734478]
[paragraph, [389.0, 1276.0, 1076.0, 36.0], shoonya_2sTPLXI5OQ5H5N, 5734478]
[paragraph, [389.0, 1312.0, 1076.0, 36.0], shoonya_2sTPLXI5OQ5H5N, 5734478]
[paragraph, [389.0, 1348.0, 1076.0, 36.0], shoonya_2sTPLXI5OQ5H5N, 5734478]
[paragraph, [389.0, 1384.0, 1076.0, 36.0], shoonya_2sTPLXI5OQ5H5N, 5734478]
[paragraph, [389.0, 1420.0, 1076.0, 36.0], shoonya_2sTPLXI5OQ5H5N, 5734478]
[paragraph, [389.0, 1479.0, 1070.0, 36.0], shoonya_0sO60TZY4YQ0OC, 5734478]
[paragraph, [389.0, 1515.0, 1070.0, 36.0], shoonya_0sO60TZY4YQ0OC, 5734478]
[paragraph, [389.0, 1551.0, 1070.0, 36.0], shoonya_0sO60TZY4YQ0OC, 5734478]
[paragraph, [389.0, 1587.0, 1070.0, 36.0], shoonya_0sO60TZY4YQ0OC, 5734478]
[paragraph, [389.0, 1623.0, 1070.0, 36.0], shoonya_0sO60TZY4YQ0OC, 5734478]
[paragraph, [389.0, 1659.0, 1070.0, 36.0], shoonya_0sO60TZY4YQ0OC, 5734478]
[paragraph, [389.0, 1695.0, 1070.0, 36.0], shoonya_0sO60TZY4YQ0OC, 5734478]
[paragraph, [389.0, 1731.0, 1070.0, 36.0], shoonya_0sO60TZY4YQ0OC, 5734478]
[paragraph, [389.0, 1767.0, 1070.0, 36.0], shoonya_0sO60TZY4YQ0OC, 5734478]
[paragraph, [389.0, 1803.0, 1070.0, 36.0], shoonya_0sO60TZY4YQ0OC, 5734478]
[paragraph, [389.0, 1839.0, 1070.0, 36.0], shoonya_0sO60TZY4YQ0OC, 5734478]
[paragraph, [389.0, 1875.0, 1070.0, 36.0], shoonya_0sO60TZY4YQ0OC, 5734478]
[paragraph, [389.0, 1911.0, 1070.0, 36.0], shoonya_0sO60TZY4YQ0OC, 5734478]
[paragraph, [389.0, 1947.0, 1070.0, 36.0], shoonya_0sO60TZY4YQ0OC, 5734478]
[paragraph, [389.0, 1983.0, 1070.0, 36.0], shoonya_0sO60TZY4YQ0OC, 5734478]
[paragraph, [389.0, 2019.0, 1070.0, 36.0], shoonya_0sO60TZY4YQ0OC, 5734478]
[paragraph, [389.0, 2055.0, 1070.0, 36.0], shoonya_0sO60TZY4YQ0OC, 5734478]
[folio, [1130.0, 2177.0, 268.0, 36.0], XIZlm4n08G, 5734478]
