[1565, 1152]
[paragraph, [326.0, 104.0, 234.0, 36.0], shoonya_7sOQ7XCOGZWYBG, 5722191]
[paragraph, [326.0, 140.0, 234.0, 36.0], shoonya_7sOQ7XCOGZWYBG, 5722191]
[paragraph, [326.0, 176.0, 234.0, 36.0], shoonya_7sOQ7XCOGZWYBG, 5722191]
[paragraph, [326.0, 212.0, 234.0, 36.0], shoonya_7sOQ7XCOGZWYBG, 5722191]
[paragraph, [326.0, 248.0, 234.0, 36.0], shoonya_7sOQ7XCOGZWYBG, 5722191]
[paragraph, [326.0, 284.0, 234.0, 36.0], shoonya_7sOQ7XCOGZWYBG, 5722191]
[paragraph, [326.0, 320.0, 234.0, 36.0], shoonya_7sOQ7XCOGZWYBG, 5722191]
[paragraph, [830.0, 104.0, 225.0, 36.0], shoonya_10sDX3O1WSH8M9, 5722191]
[paragraph, [830.0, 140.0, 225.0, 36.0], shoonya_10sDX3O1WSH8M9, 5722191]
[paragraph, [830.0, 176.0, 225.0, 36.0], shoonya_10sDX3O1WSH8M9, 5722191]
[paragraph, [830.0, 212.0, 225.0, 36.0], shoonya_10sDX3O1WSH8M9, 5722191]
[paragraph, [830.0, 248.0, 225.0, 36.0], shoonya_10sDX3O1WSH8M9, 5722191]
[paragraph, [830.0, 284.0, 225.0, 36.0], shoonya_10sDX3O1WSH8M9, 5722191]
[paragraph, [830.0, 320.0, 225.0, 36.0], shoonya_10sDX3O1WSH8M9, 5722191]
[paragraph, [85.0, 379.0, 477.0, 36.0], shoonya_14sE3DDILQ60T7, 5722191]
[paragraph, [85.0, 415.0, 477.0, 36.0], shoonya_14sE3DDILQ60T7, 5722191]
[paragraph, [824.0, 439.0, 232.0, 36.0], shoonya_4sCGAYY9PYGJNU, 5722191]
[paragraph, [824.0, 475.0, 232.0, 36.0], shoonya_4sCGAYY9PYGJNU, 5722191]
[paragraph, [824.0, 511.0, 232.0, 36.0], shoonya_4sCGAYY9PYGJNU, 5722191]
[paragraph, [824.0, 547.0, 232.0, 36.0], shoonya_4sCGAYY9PYGJNU, 5722191]
[paragraph, [824.0, 583.0, 232.0, 36.0], shoonya_4sCGAYY9PYGJNU, 5722191]
[paragraph, [824.0, 619.0, 232.0, 36.0], shoonya_4sCGAYY9PYGJNU, 5722191]
[paragraph, [824.0, 655.0, 232.0, 36.0], shoonya_4sCGAYY9PYGJNU, 5722191]
[paragraph, [84.0, 473.0, 477.0, 36.0], shoonya_11sURF2Y5L3BMJ, 5722191]
[paragraph, [84.0, 509.0, 477.0, 36.0], shoonya_11sURF2Y5L3BMJ, 5722191]
[paragraph, [84.0, 545.0, 477.0, 36.0], shoonya_11sURF2Y5L3BMJ, 5722191]
[paragraph, [325.0, 621.0, 237.0, 36.0], shoonya_5s4O1GJ8DMP4H3, 5722191]
[paragraph, [325.0, 657.0, 237.0, 36.0], shoonya_5s4O1GJ8DMP4H3, 5722191]
[paragraph, [325.0, 693.0, 237.0, 36.0], shoonya_5s4O1GJ8DMP4H3, 5722191]
[paragraph, [325.0, 729.0, 237.0, 36.0], shoonya_5s4O1GJ8DMP4H3, 5722191]
[paragraph, [325.0, 765.0, 237.0, 36.0], shoonya_5s4O1GJ8DMP4H3, 5722191]
[paragraph, [325.0, 801.0, 237.0, 36.0], shoonya_5s4O1GJ8DMP4H3, 5722191]
[paragraph, [325.0, 837.0, 237.0, 36.0], shoonya_5s4O1GJ8DMP4H3, 5722191]
[headline, [591.0, 732.0, 464.0, 37.5], shoonya_13s6ZQIYJ10321, 5722191]
[paragraph, [588.0, 803.0, 468.0, 36.0], shoonya_0s7Y9J7DR81LE7, 5722191]
[paragraph, [588.0, 839.0, 468.0, 36.0], shoonya_0s7Y9J7DR81LE7, 5722191]
[paragraph, [588.0, 875.0, 468.0, 36.0], shoonya_0s7Y9J7DR81LE7, 5722191]
[paragraph, [588.0, 911.0, 468.0, 36.0], shoonya_0s7Y9J7DR81LE7, 5722191]
[paragraph, [588.0, 947.0, 468.0, 36.0], shoonya_0s7Y9J7DR81LE7, 5722191]
[paragraph, [588.0, 983.0, 468.0, 36.0], shoonya_0s7Y9J7DR81LE7, 5722191]
[paragraph, [588.0, 1019.0, 468.0, 36.0], shoonya_0s7Y9J7DR81LE7, 5722191]
[paragraph, [588.0, 1055.0, 468.0, 36.0], shoonya_0s7Y9J7DR81LE7, 5722191]
[paragraph, [588.0, 1091.0, 468.0, 36.0], shoonya_0s7Y9J7DR81LE7, 5722191]
[paragraph, [588.0, 1127.0, 468.0, 36.0], shoonya_0s7Y9J7DR81LE7, 5722191]
[paragraph, [588.0, 1163.0, 468.0, 36.0], shoonya_0s7Y9J7DR81LE7, 5722191]
[paragraph, [324.0, 923.0, 238.0, 36.0], shoonya_3s12YZKD0BXUAP, 5722191]
[paragraph, [324.0, 959.0, 238.0, 36.0], shoonya_3s12YZKD0BXUAP, 5722191]
[paragraph, [324.0, 995.0, 238.0, 36.0], shoonya_3s12YZKD0BXUAP, 5722191]
[paragraph, [324.0, 1031.0, 238.0, 36.0], shoonya_3s12YZKD0BXUAP, 5722191]
[paragraph, [324.0, 1067.0, 238.0, 36.0], shoonya_3s12YZKD0BXUAP, 5722191]
[paragraph, [324.0, 1103.0, 238.0, 36.0], shoonya_3s12YZKD0BXUAP, 5722191]
[paragraph, [324.0, 1139.0, 238.0, 36.0], shoonya_3s12YZKD0BXUAP, 5722191]
[paragraph, [88.0, 1250.0, 485.0, 36.0], shoonya_15s9R2LAWGVBC5, 5722191]
[paragraph, [88.0, 1286.0, 485.0, 36.0], shoonya_15s9R2LAWGVBC5, 5722191]
[paragraph, [88.0, 1322.0, 485.0, 36.0], shoonya_15s9R2LAWGVBC5, 5722191]
[paragraph, [88.0, 1358.0, 485.0, 36.0], shoonya_15s9R2LAWGVBC5, 5722191]
[paragraph, [88.0, 1394.0, 485.0, 36.0], shoonya_15s9R2LAWGVBC5, 5722191]
