[1387, 987]
[paragraph, [90.0, 96.0, 770.0, 18.0], shoonya_4sZN6EG74NASNU, 5652852]
[paragraph, [90.0, 114.0, 770.0, 18.0], shoonya_4sZN6EG74NASNU, 5652852]
[paragraph, [90.0, 132.0, 770.0, 18.0], shoonya_4sZN6EG74NASNU, 5652852]
[paragraph, [90.0, 150.0, 770.0, 18.0], shoonya_4sZN6EG74NASNU, 5652852]
[paragraph, [90.0, 168.0, 770.0, 18.0], shoonya_4sZN6EG74NASNU, 5652852]
[paragraph, [90.0, 186.0, 770.0, 18.0], shoonya_4sZN6EG74NASNU, 5652852]
[paragraph, [90.0, 204.0, 770.0, 18.0], shoonya_4sZN6EG74NASNU, 5652852]
[paragraph, [90.0, 222.0, 770.0, 18.0], shoonya_4sZN6EG74NASNU, 5652852]
[paragraph, [90.0, 240.0, 770.0, 18.0], shoonya_4sZN6EG74NASNU, 5652852]
[paragraph, [95.0, 282.0, 212.0, 18.0], shoonya_2sZCTJHYV2RPMJ, 5652852]
[paragraph, [95.0, 300.0, 212.0, 18.0], shoonya_2sZCTJHYV2RPMJ, 5652852]
[paragraph, [86.0, 343.0, 776.0, 18.0], shoonya_1s0GBAHH4AU9AQ, 5652852]
[paragraph, [86.0, 361.0, 776.0, 18.0], shoonya_1s0GBAHH4AU9AQ, 5652852]
[paragraph, [86.0, 379.0, 776.0, 18.0], shoonya_1s0GBAHH4AU9AQ, 5652852]
[paragraph, [86.0, 397.0, 776.0, 18.0], shoonya_1s0GBAHH4AU9AQ, 5652852]
[paragraph, [86.0, 415.0, 776.0, 18.0], shoonya_1s0GBAHH4AU9AQ, 5652852]
[paragraph, [86.0, 433.0, 776.0, 18.0], shoonya_1s0GBAHH4AU9AQ, 5652852]
[paragraph, [92.0, 470.0, 750.0, 18.0], _sYoU3gyVi, 5652852]
[paragraph, [92.0, 488.0, 750.0, 18.0], _sYoU3gyVi, 5652852]
[paragraph, [92.0, 506.0, 750.0, 18.0], _sYoU3gyVi, 5652852]
[paragraph, [92.0, 524.0, 750.0, 18.0], _sYoU3gyVi, 5652852]
[paragraph, [92.0, 542.0, 750.0, 18.0], _sYoU3gyVi, 5652852]
[paragraph, [92.0, 560.0, 750.0, 18.0], _sYoU3gyVi, 5652852]
[paragraph, [92.0, 578.0, 750.0, 18.0], _sYoU3gyVi, 5652852]
[paragraph, [92.0, 596.0, 750.0, 18.0], _sYoU3gyVi, 5652852]
[paragraph, [92.0, 614.0, 750.0, 18.0], _sYoU3gyVi, 5652852]
[paragraph, [92.0, 632.0, 750.0, 18.0], _sYoU3gyVi, 5652852]
[paragraph, [92.0, 650.0, 750.0, 18.0], _sYoU3gyVi, 5652852]
[paragraph, [92.0, 668.0, 750.0, 18.0], _sYoU3gyVi, 5652852]
[paragraph, [92.0, 686.0, 750.0, 18.0], _sYoU3gyVi, 5652852]
[paragraph, [92.0, 704.0, 750.0, 18.0], _sYoU3gyVi, 5652852]
[paragraph, [88.0, 960.0, 808.0, 18.0], shoonya_0s1XYU5K9560UR, 5652852]
[paragraph, [88.0, 978.0, 808.0, 18.0], shoonya_0s1XYU5K9560UR, 5652852]
[paragraph, [88.0, 996.0, 808.0, 18.0], shoonya_0s1XYU5K9560UR, 5652852]
[paragraph, [88.0, 1014.0, 808.0, 18.0], shoonya_0s1XYU5K9560UR, 5652852]
[paragraph, [88.0, 1032.0, 808.0, 18.0], shoonya_0s1XYU5K9560UR, 5652852]
[paragraph, [88.0, 1050.0, 808.0, 18.0], shoonya_0s1XYU5K9560UR, 5652852]
[paragraph, [88.0, 1068.0, 808.0, 18.0], shoonya_0s1XYU5K9560UR, 5652852]
[paragraph, [88.0, 1086.0, 808.0, 18.0], shoonya_0s1XYU5K9560UR, 5652852]
[paragraph, [88.0, 1104.0, 808.0, 18.0], shoonya_0s1XYU5K9560UR, 5652852]
[paragraph, [88.0, 1122.0, 808.0, 18.0], shoonya_0s1XYU5K9560UR, 5652852]
[paragraph, [88.0, 1140.0, 808.0, 18.0], shoonya_0s1XYU5K9560UR, 5652852]
[paragraph, [88.0, 1158.0, 808.0, 18.0], shoonya_0s1XYU5K9560UR, 5652852]
