[515, 727]
[paragraph, [121.0, 57.0, 261.0, 18.0], shoonya_5sMABPPWNIDSV4, 6533339]
[paragraph, [121.0, 75.0, 261.0, 18.0], shoonya_5sMABPPWNIDSV4, 6533339]
[paragraph, [121.0, 93.0, 261.0, 18.0], shoonya_5sMABPPWNIDSV4, 6533339]
[paragraph, [121.0, 111.0, 261.0, 18.0], shoonya_5sMABPPWNIDSV4, 6533339]
[paragraph, [121.0, 129.0, 261.0, 18.0], shoonya_5sMABPPWNIDSV4, 6533339]
[paragraph, [121.0, 147.0, 261.0, 18.0], shoonya_5sMABPPWNIDSV4, 6533339]
[paragraph, [121.0, 165.0, 261.0, 18.0], shoonya_5sMABPPWNIDSV4, 6533339]
[paragraph, [121.0, 183.0, 261.0, 18.0], shoonya_5sMABPPWNIDSV4, 6533339]
[paragraph, [121.0, 201.0, 261.0, 18.0], shoonya_5sMABPPWNIDSV4, 6533339]
[paragraph, [121.0, 219.0, 261.0, 18.0], shoonya_5sMABPPWNIDSV4, 6533339]
[paragraph, [121.0, 237.0, 261.0, 18.0], shoonya_5sMABPPWNIDSV4, 6533339]
[paragraph, [499.0, 172.0, 173.0, 18.0], Gal6GjoA68, 6533339]
[paragraph, [499.0, 190.0, 173.0, 18.0], Gal6GjoA68, 6533339]
[paragraph, [499.0, 208.0, 173.0, 18.0], Gal6GjoA68, 6533339]
[paragraph, [499.0, 226.0, 173.0, 18.0], Gal6GjoA68, 6533339]
[paragraph, [499.0, 244.0, 173.0, 18.0], Gal6GjoA68, 6533339]
[paragraph, [499.0, 262.0, 173.0, 18.0], Gal6GjoA68, 6533339]
[paragraph, [499.0, 280.0, 173.0, 18.0], Gal6GjoA68, 6533339]
[paragraph, [499.0, 298.0, 173.0, 18.0], Gal6GjoA68, 6533339]
[paragraph, [499.0, 316.0, 173.0, 18.0], Gal6GjoA68, 6533339]
[paragraph, [499.0, 334.0, 173.0, 18.0], Gal6GjoA68, 6533339]
[paragraph, [499.0, 352.0, 173.0, 18.0], Gal6GjoA68, 6533339]
[paragraph, [499.0, 370.0, 173.0, 18.0], Gal6GjoA68, 6533339]
[paragraph, [499.0, 388.0, 173.0, 18.0], Gal6GjoA68, 6533339]
[paragraph, [120.0, 256.0, 257.0, 18.0], shoonya_0s2NA4V8C6YS0S, 6533339]
[paragraph, [120.0, 274.0, 257.0, 18.0], shoonya_0s2NA4V8C6YS0S, 6533339]
[paragraph, [120.0, 292.0, 257.0, 18.0], shoonya_0s2NA4V8C6YS0S, 6533339]
[paragraph, [120.0, 310.0, 257.0, 18.0], shoonya_0s2NA4V8C6YS0S, 6533339]
[paragraph, [120.0, 328.0, 257.0, 18.0], shoonya_0s2NA4V8C6YS0S, 6533339]
[paragraph, [118.0, 362.0, 260.0, 18.0], shoonya_3sOX2FJA9VJT99, 6533339]
[paragraph, [118.0, 380.0, 260.0, 18.0], shoonya_3sOX2FJA9VJT99, 6533339]
