[2806, 1983]
[paragraph, [213.0, 222.0, 1547.0, 46.5], shoonya_0s9LIQ6C62GPL4, 5682213]
[paragraph, [213.0, 268.5, 1547.0, 46.5], shoonya_0s9LIQ6C62GPL4, 5682213]
[paragraph, [213.0, 315.0, 1547.0, 46.5], shoonya_0s9LIQ6C62GPL4, 5682213]
[paragraph, [213.0, 361.5, 1547.0, 46.5], shoonya_0s9LIQ6C62GPL4, 5682213]
[paragraph, [213.0, 408.0, 1547.0, 46.5], shoonya_0s9LIQ6C62GPL4, 5682213]
[paragraph, [213.0, 454.5, 1547.0, 46.5], shoonya_0s9LIQ6C62GPL4, 5682213]
[paragraph, [213.0, 501.0, 1547.0, 46.5], shoonya_0s9LIQ6C62GPL4, 5682213]
[paragraph, [213.0, 547.5, 1547.0, 46.5], shoonya_0s9LIQ6C62GPL4, 5682213]
[paragraph, [213.0, 594.0, 1547.0, 46.5], shoonya_0s9LIQ6C62GPL4, 5682213]
[paragraph, [220.0, 860.0, 894.0, 46.5], 5Qqqh7CjQf, 5682213]
[paragraph, [220.0, 906.5, 894.0, 46.5], 5Qqqh7CjQf, 5682213]
[paragraph, [220.0, 953.0, 894.0, 46.5], 5Qqqh7CjQf, 5682213]
[paragraph, [220.0, 999.5, 894.0, 46.5], 5Qqqh7CjQf, 5682213]
[paragraph, [220.0, 1046.0, 894.0, 46.5], 5Qqqh7CjQf, 5682213]
[paragraph, [220.0, 1092.5, 894.0, 46.5], 5Qqqh7CjQf, 5682213]
[paragraph, [220.0, 1139.0, 894.0, 46.5], 5Qqqh7CjQf, 5682213]
[paragraph, [220.0, 1185.5, 894.0, 46.5], 5Qqqh7CjQf, 5682213]
[paragraph, [220.0, 1232.0, 894.0, 46.5], 5Qqqh7CjQf, 5682213]
[paragraph, [215.0, 1385.0, 1559.0, 46.5], BnvlNOcyg7, 5682213]
[paragraph, [215.0, 1431.5, 1559.0, 46.5], BnvlNOcyg7, 5682213]
[paragraph, [215.0, 1478.0, 1559.0, 46.5], BnvlNOcyg7, 5682213]
[paragraph, [215.0, 1524.5, 1559.0, 46.5], BnvlNOcyg7, 5682213]
[paragraph, [215.0, 1571.0, 1559.0, 46.5], BnvlNOcyg7, 5682213]
[paragraph, [215.0, 1617.5, 1559.0, 46.5], BnvlNOcyg7, 5682213]
[paragraph, [215.0, 1664.0, 1559.0, 46.5], BnvlNOcyg7, 5682213]
[paragraph, [215.0, 1710.5, 1559.0, 46.5], BnvlNOcyg7, 5682213]
[paragraph, [215.0, 1757.0, 1559.0, 46.5], BnvlNOcyg7, 5682213]
[paragraph, [215.0, 1803.5, 1559.0, 46.5], BnvlNOcyg7, 5682213]
[paragraph, [215.0, 1850.0, 1559.0, 46.5], BnvlNOcyg7, 5682213]
[paragraph, [215.0, 1896.5, 1559.0, 46.5], BnvlNOcyg7, 5682213]
[paragraph, [215.0, 1943.0, 1559.0, 46.5], BnvlNOcyg7, 5682213]
[paragraph, [215.0, 1989.5, 1559.0, 46.5], BnvlNOcyg7, 5682213]
[paragraph, [215.0, 2036.0, 1559.0, 46.5], BnvlNOcyg7, 5682213]
[paragraph, [215.0, 2082.5, 1559.0, 46.5], BnvlNOcyg7, 5682213]
[paragraph, [215.0, 2129.0, 1559.0, 46.5], BnvlNOcyg7, 5682213]
[paragraph, [215.0, 2175.5, 1559.0, 46.5], BnvlNOcyg7, 5682213]
[paragraph, [215.0, 2222.0, 1559.0, 46.5], BnvlNOcyg7, 5682213]
[paragraph, [215.0, 2268.5, 1559.0, 46.5], BnvlNOcyg7, 5682213]
