[1754, 1240]
[paragraph, [279.0, 142.0, 802.0, 36.0], shoonya_1s8MZCYFK7V1JH, 6477454]
[paragraph, [279.0, 178.0, 802.0, 36.0], shoonya_1s8MZCYFK7V1JH, 6477454]
[paragraph, [282.0, 307.0, 809.0, 36.0], shoonya_3sSA4JIYEPYV3B, 6477454]
[paragraph, [282.0, 343.0, 809.0, 36.0], shoonya_3sSA4JIYEPYV3B, 6477454]
[paragraph, [278.0, 402.0, 800.0, 36.0], __oFXBFWRb, 6477454]
[paragraph, [278.0, 438.0, 800.0, 36.0], __oFXBFWRb, 6477454]
[paragraph, [275.0, 506.0, 811.0, 36.0], 1POzVkdogf, 6477454]
[paragraph, [275.0, 542.0, 811.0, 36.0], 1POzVkdogf, 6477454]
[paragraph, [275.0, 578.0, 811.0, 36.0], 1POzVkdogf, 6477454]
[paragraph, [286.0, 615.0, 799.0, 36.0], Lf-y8ygm-4, 6477454]
[section-title, [310.0, 708.0, 765.0, 49.5], ut3csslc9u, 6477454]
[unordered-list, [353.0, 803.0, 738.0, 36.0], shoonya_4s8EBPAZ7OV39I, 6477454]
[unordered-list, [353.0, 839.0, 738.0, 36.0], shoonya_4s8EBPAZ7OV39I, 6477454]
[unordered-list, [353.0, 875.0, 738.0, 36.0], shoonya_4s8EBPAZ7OV39I, 6477454]
[unordered-list, [353.0, 911.0, 738.0, 36.0], shoonya_4s8EBPAZ7OV39I, 6477454]
[unordered-list, [353.0, 947.0, 738.0, 36.0], shoonya_4s8EBPAZ7OV39I, 6477454]
[unordered-list, [353.0, 983.0, 738.0, 36.0], shoonya_4s8EBPAZ7OV39I, 6477454]
[unordered-list, [353.0, 1019.0, 738.0, 36.0], shoonya_4s8EBPAZ7OV39I, 6477454]
[unordered-list, [353.0, 1055.0, 738.0, 36.0], shoonya_4s8EBPAZ7OV39I, 6477454]
[unordered-list, [353.0, 1091.0, 738.0, 36.0], shoonya_4s8EBPAZ7OV39I, 6477454]
[unordered-list, [353.0, 1127.0, 738.0, 36.0], shoonya_4s8EBPAZ7OV39I, 6477454]
[unordered-list, [353.0, 1163.0, 738.0, 36.0], shoonya_4s8EBPAZ7OV39I, 6477454]
[unordered-list, [353.0, 1199.0, 738.0, 36.0], shoonya_4s8EBPAZ7OV39I, 6477454]
[unordered-list, [353.0, 1235.0, 738.0, 36.0], shoonya_4s8EBPAZ7OV39I, 6477454]
[unordered-list, [353.0, 1271.0, 738.0, 36.0], shoonya_4s8EBPAZ7OV39I, 6477454]
[unordered-list, [353.0, 1307.0, 738.0, 36.0], shoonya_4s8EBPAZ7OV39I, 6477454]
[unordered-list, [353.0, 1343.0, 738.0, 36.0], shoonya_4s8EBPAZ7OV39I, 6477454]
[unordered-list, [353.0, 1379.0, 738.0, 36.0], shoonya_4s8EBPAZ7OV39I, 6477454]
[unordered-list, [353.0, 1415.0, 738.0, 36.0], shoonya_4s8EBPAZ7OV39I, 6477454]
[unordered-list, [353.0, 1451.0, 738.0, 36.0], shoonya_4s8EBPAZ7OV39I, 6477454]
[unordered-list, [353.0, 1487.0, 738.0, 36.0], shoonya_4s8EBPAZ7OV39I, 6477454]
[unordered-list, [353.0, 1523.0, 738.0, 36.0], shoonya_4s8EBPAZ7OV39I, 6477454]
[unordered-list, [353.0, 1559.0, 738.0, 36.0], shoonya_4s8EBPAZ7OV39I, 6477454]
[unordered-list, [353.0, 1595.0, 738.0, 36.0], shoonya_4s8EBPAZ7OV39I, 6477454]
