[1200, 825]
[paragraph, [137.0, 104.0, 548.0, 18.0], shoonya_0sX8324YOXAW8X, 5691326]
[paragraph, [137.0, 122.0, 548.0, 18.0], shoonya_0sX8324YOXAW8X, 5691326]
[paragraph, [137.0, 140.0, 548.0, 18.0], shoonya_0sX8324YOXAW8X, 5691326]
[paragraph, [137.0, 158.0, 548.0, 18.0], shoonya_0sX8324YOXAW8X, 5691326]
[paragraph, [137.0, 176.0, 548.0, 18.0], shoonya_0sX8324YOXAW8X, 5691326]
[paragraph, [137.0, 194.0, 548.0, 18.0], shoonya_0sX8324YOXAW8X, 5691326]
[paragraph, [137.0, 212.0, 548.0, 18.0], shoonya_0sX8324YOXAW8X, 5691326]
[paragraph, [137.0, 230.0, 548.0, 18.0], shoonya_0sX8324YOXAW8X, 5691326]
[paragraph, [137.0, 248.0, 548.0, 18.0], shoonya_0sX8324YOXAW8X, 5691326]
[paragraph, [137.0, 266.0, 548.0, 18.0], shoonya_0sX8324YOXAW8X, 5691326]
[paragraph, [137.0, 284.0, 548.0, 18.0], shoonya_0sX8324YOXAW8X, 5691326]
[paragraph, [137.0, 302.0, 548.0, 18.0], shoonya_0sX8324YOXAW8X, 5691326]
[paragraph, [137.0, 320.0, 548.0, 18.0], shoonya_0sX8324YOXAW8X, 5691326]
[paragraph, [137.0, 338.0, 548.0, 18.0], shoonya_0sX8324YOXAW8X, 5691326]
[paragraph, [137.0, 356.0, 548.0, 18.0], shoonya_0sX8324YOXAW8X, 5691326]
[paragraph, [137.0, 374.0, 548.0, 18.0], shoonya_0sX8324YOXAW8X, 5691326]
[paragraph, [137.0, 400.0, 545.0, 18.0], b8ArOXw2Ob, 5691326]
[paragraph, [137.0, 418.0, 545.0, 18.0], b8ArOXw2Ob, 5691326]
[paragraph, [137.0, 436.0, 545.0, 18.0], b8ArOXw2Ob, 5691326]
[paragraph, [137.0, 454.0, 545.0, 18.0], b8ArOXw2Ob, 5691326]
[paragraph, [137.0, 472.0, 545.0, 18.0], b8ArOXw2Ob, 5691326]
[paragraph, [137.0, 490.0, 545.0, 18.0], b8ArOXw2Ob, 5691326]
[paragraph, [137.0, 508.0, 545.0, 18.0], b8ArOXw2Ob, 5691326]
[paragraph, [137.0, 526.0, 545.0, 18.0], b8ArOXw2Ob, 5691326]
[paragraph, [137.0, 544.0, 545.0, 18.0], b8ArOXw2Ob, 5691326]
[paragraph, [137.0, 562.0, 545.0, 18.0], b8ArOXw2Ob, 5691326]
[paragraph, [137.0, 580.0, 545.0, 18.0], b8ArOXw2Ob, 5691326]
[paragraph, [137.0, 598.0, 545.0, 18.0], b8ArOXw2Ob, 5691326]
[paragraph, [137.0, 616.0, 545.0, 18.0], b8ArOXw2Ob, 5691326]
[paragraph, [137.0, 634.0, 545.0, 18.0], b8ArOXw2Ob, 5691326]
[paragraph, [139.0, 661.0, 539.0, 18.0], -0Ek9iXrwF, 5691326]
[paragraph, [139.0, 679.0, 539.0, 18.0], -0Ek9iXrwF, 5691326]
[paragraph, [139.0, 697.0, 539.0, 18.0], -0Ek9iXrwF, 5691326]
[paragraph, [139.0, 715.0, 539.0, 18.0], -0Ek9iXrwF, 5691326]
[paragraph, [139.0, 733.0, 539.0, 18.0], -0Ek9iXrwF, 5691326]
[paragraph, [139.0, 751.0, 539.0, 18.0], -0Ek9iXrwF, 5691326]
[paragraph, [139.0, 769.0, 539.0, 18.0], -0Ek9iXrwF, 5691326]
[paragraph, [139.0, 787.0, 539.0, 18.0], -0Ek9iXrwF, 5691326]
[paragraph, [139.0, 805.0, 539.0, 18.0], -0Ek9iXrwF, 5691326]
[paragraph, [139.0, 823.0, 539.0, 18.0], -0Ek9iXrwF, 5691326]
[paragraph, [139.0, 841.0, 539.0, 18.0], -0Ek9iXrwF, 5691326]
[paragraph, [139.0, 859.0, 539.0, 18.0], -0Ek9iXrwF, 5691326]
[paragraph, [139.0, 877.0, 539.0, 18.0], -0Ek9iXrwF, 5691326]
[paragraph, [139.0, 895.0, 539.0, 18.0], -0Ek9iXrwF, 5691326]
[paragraph, [140.0, 919.0, 543.0, 18.0], hEiFlEed7t, 5691326]
[paragraph, [140.0, 937.0, 543.0, 18.0], hEiFlEed7t, 5691326]
[paragraph, [140.0, 955.0, 543.0, 18.0], hEiFlEed7t, 5691326]
[paragraph, [140.0, 973.0, 543.0, 18.0], hEiFlEed7t, 5691326]
[paragraph, [140.0, 991.0, 543.0, 18.0], hEiFlEed7t, 5691326]
[paragraph, [140.0, 1009.0, 543.0, 18.0], hEiFlEed7t, 5691326]
[paragraph, [140.0, 1027.0, 543.0, 18.0], hEiFlEed7t, 5691326]
