[872, 605]
[chapter-title, [249.0, 34.0, 107.0, 30.0], shoonya_0sLOVCUJEGGI54, 6457374]
[folio, [37.0, 36.0, 76.0, 18.0], uKj419uXqK, 6457374]
[paragraph, [39.0, 78.0, 257.0, 18.0], dge2vAVTRx, 6457374]
[paragraph, [39.0, 96.0, 257.0, 18.0], dge2vAVTRx, 6457374]
[paragraph, [299.0, 80.0, 262.0, 18.0], J_SHakQTFj, 6457374]
[paragraph, [299.0, 98.0, 262.0, 18.0], J_SHakQTFj, 6457374]
[paragraph, [299.0, 116.0, 262.0, 18.0], J_SHakQTFj, 6457374]
[paragraph, [299.0, 134.0, 262.0, 18.0], J_SHakQTFj, 6457374]
[paragraph, [299.0, 152.0, 262.0, 18.0], J_SHakQTFj, 6457374]
[paragraph, [299.0, 170.0, 262.0, 18.0], J_SHakQTFj, 6457374]
[paragraph, [299.0, 188.0, 262.0, 18.0], J_SHakQTFj, 6457374]
[paragraph, [299.0, 206.0, 262.0, 18.0], J_SHakQTFj, 6457374]
[paragraph, [299.0, 224.0, 262.0, 18.0], J_SHakQTFj, 6457374]
[paragraph, [299.0, 242.0, 262.0, 18.0], J_SHakQTFj, 6457374]
[paragraph, [299.0, 260.0, 262.0, 18.0], J_SHakQTFj, 6457374]
[paragraph, [299.0, 278.0, 262.0, 18.0], J_SHakQTFj, 6457374]
[paragraph, [37.0, 117.0, 259.0, 18.0], jFopB8mwao, 6457374]
[paragraph, [37.0, 135.0, 259.0, 18.0], jFopB8mwao, 6457374]
[paragraph, [40.0, 157.0, 256.0, 18.0], uw498w8cv5, 6457374]
[paragraph, [40.0, 175.0, 256.0, 18.0], uw498w8cv5, 6457374]
[paragraph, [37.0, 198.0, 258.0, 18.0], IaWDcXZBWI, 6457374]
[paragraph, [37.0, 216.0, 258.0, 18.0], IaWDcXZBWI, 6457374]
[paragraph, [32.0, 236.0, 262.0, 18.0], rK_wERj0_7, 6457374]
[paragraph, [32.0, 254.0, 262.0, 18.0], rK_wERj0_7, 6457374]
[paragraph, [31.0, 278.0, 259.0, 18.0], HayCYegsLh, 6457374]
[paragraph, [31.0, 296.0, 259.0, 18.0], HayCYegsLh, 6457374]
[paragraph, [301.0, 302.0, 242.0, 18.0], IdzR2iRnEv, 6457374]
[paragraph, [31.0, 318.0, 259.0, 18.0], GrP4Uuijox, 6457374]
[paragraph, [31.0, 336.0, 259.0, 18.0], GrP4Uuijox, 6457374]
[paragraph, [316.0, 324.0, 213.0, 18.0], wUjXdD69NU, 6457374]
[paragraph, [32.0, 358.0, 230.0, 18.0], jHl61kYfqS, 6457374]
[paragraph, [302.0, 364.0, 212.0, 18.0], uGDNz3VD_W, 6457374]
[paragraph, [78.0, 378.0, 165.0, 18.0], vfGeIhXIoJ, 6457374]
[paragraph, [304.0, 384.0, 261.0, 18.0], 2oxt0Mn4vC, 6457374]
[paragraph, [304.0, 402.0, 261.0, 18.0], 2oxt0Mn4vC, 6457374]
[paragraph, [36.0, 406.0, 265.0, 18.0], knMEu2O28s, 6457374]
[paragraph, [36.0, 424.0, 265.0, 18.0], knMEu2O28s, 6457374]
[paragraph, [36.0, 442.0, 265.0, 18.0], knMEu2O28s, 6457374]
