[1754, 1241]
[ordered-list, [111.0, 101.0, 1016.0, 36.0], shoonya_5sS26Z5IJPCM73, 5709382]
[section-title, [401.0, 244.0, 448.0, 49.5], shoonya_2s6UTDZLJR16PG, 5709382]
[section-title, [401.0, 293.5, 448.0, 49.5], shoonya_2s6UTDZLJR16PG, 5709382]
[ordered-list, [113.0, 503.0, 924.0, 36.0], shoonya_3s9USX99OXXKZY, 5709382]
[ordered-list, [113.0, 539.0, 924.0, 36.0], shoonya_3s9USX99OXXKZY, 5709382]
[ordered-list, [113.0, 575.0, 924.0, 36.0], shoonya_3s9USX99OXXKZY, 5709382]
[paragraph, [111.0, 749.0, 1016.0, 36.0], shoonya_0sJT9GX94LPGRY, 5709382]
[paragraph, [111.0, 785.0, 1016.0, 36.0], shoonya_0sJT9GX94LPGRY, 5709382]
[paragraph, [111.0, 821.0, 1016.0, 36.0], shoonya_0sJT9GX94LPGRY, 5709382]
[paragraph, [111.0, 857.0, 1016.0, 36.0], shoonya_0sJT9GX94LPGRY, 5709382]
[paragraph, [111.0, 893.0, 1016.0, 36.0], shoonya_0sJT9GX94LPGRY, 5709382]
[paragraph, [111.0, 929.0, 1016.0, 36.0], shoonya_0sJT9GX94LPGRY, 5709382]
[paragraph, [111.0, 965.0, 1016.0, 36.0], shoonya_0sJT9GX94LPGRY, 5709382]
[paragraph, [111.0, 1001.0, 1016.0, 36.0], shoonya_0sJT9GX94LPGRY, 5709382]
[paragraph, [111.0, 1037.0, 1016.0, 36.0], shoonya_0sJT9GX94LPGRY, 5709382]
[paragraph, [111.0, 1073.0, 1016.0, 36.0], shoonya_0sJT9GX94LPGRY, 5709382]
[paragraph, [111.0, 1109.0, 1016.0, 36.0], shoonya_0sJT9GX94LPGRY, 5709382]
[paragraph, [111.0, 1145.0, 1016.0, 36.0], shoonya_0sJT9GX94LPGRY, 5709382]
[paragraph, [111.0, 1181.0, 1016.0, 36.0], shoonya_0sJT9GX94LPGRY, 5709382]
[ordered-list, [113.0, 1277.0, 1011.0, 36.0], shoonya_1s3VW9O8FR9MMO, 5709382]
[ordered-list, [113.0, 1313.0, 1011.0, 36.0], shoonya_1s3VW9O8FR9MMO, 5709382]
[ordered-list, [113.0, 1349.0, 1011.0, 36.0], shoonya_1s3VW9O8FR9MMO, 5709382]
[ordered-list, [113.0, 1385.0, 1011.0, 36.0], shoonya_1s3VW9O8FR9MMO, 5709382]
[ordered-list, [113.0, 1421.0, 1011.0, 36.0], shoonya_1s3VW9O8FR9MMO, 5709382]
[ordered-list, [113.0, 1457.0, 1011.0, 36.0], shoonya_1s3VW9O8FR9MMO, 5709382]
[ordered-list, [113.0, 1493.0, 1011.0, 36.0], shoonya_1s3VW9O8FR9MMO, 5709382]
[ordered-list, [113.0, 1529.0, 1011.0, 36.0], shoonya_1s3VW9O8FR9MMO, 5709382]
[ordered-list, [113.0, 1565.0, 1011.0, 36.0], shoonya_1s3VW9O8FR9MMO, 5709382]
