[1565, 1152]
[section-title, [475.0, 153.0, 559.0, 49.5], shoonya_1sJJECYI9SZPMB, 5712861]
[section-title, [475.0, 202.5, 559.0, 49.5], shoonya_1sJJECYI9SZPMB, 5712861]
[section-title, [475.0, 252.0, 559.0, 49.5], shoonya_1sJJECYI9SZPMB, 5712861]
[paragraph, [493.0, 375.0, 517.0, 36.0], shoonya_3s30CQRXDW3LK0, 5712861]
[paragraph, [493.0, 411.0, 517.0, 36.0], shoonya_3s30CQRXDW3LK0, 5712861]
[paragraph, [493.0, 447.0, 517.0, 36.0], shoonya_3s30CQRXDW3LK0, 5712861]
[paragraph, [493.0, 483.0, 517.0, 36.0], shoonya_3s30CQRXDW3LK0, 5712861]
[paragraph, [493.0, 519.0, 517.0, 36.0], shoonya_3s30CQRXDW3LK0, 5712861]
[paragraph, [493.0, 555.0, 517.0, 36.0], shoonya_3s30CQRXDW3LK0, 5712861]
[paragraph, [456.0, 652.0, 578.0, 36.0], f7aHsq6LkE, 5712861]
[paragraph, [456.0, 688.0, 578.0, 36.0], f7aHsq6LkE, 5712861]
[paragraph, [456.0, 724.0, 578.0, 36.0], f7aHsq6LkE, 5712861]
[paragraph, [456.0, 760.0, 578.0, 36.0], f7aHsq6LkE, 5712861]
[paragraph, [456.0, 796.0, 578.0, 36.0], f7aHsq6LkE, 5712861]
[paragraph, [456.0, 832.0, 578.0, 36.0], f7aHsq6LkE, 5712861]
[paragraph, [456.0, 868.0, 578.0, 36.0], f7aHsq6LkE, 5712861]
[paragraph, [456.0, 904.0, 578.0, 36.0], f7aHsq6LkE, 5712861]
[paragraph, [456.0, 940.0, 578.0, 36.0], f7aHsq6LkE, 5712861]
[paragraph, [456.0, 976.0, 578.0, 36.0], f7aHsq6LkE, 5712861]
[paragraph, [464.0, 1036.0, 538.0, 36.0], uFS0hXp3NT, 5712861]
[paragraph, [464.0, 1072.0, 538.0, 36.0], uFS0hXp3NT, 5712861]
[paragraph, [464.0, 1108.0, 538.0, 36.0], uFS0hXp3NT, 5712861]
[paragraph, [464.0, 1144.0, 538.0, 36.0], uFS0hXp3NT, 5712861]
[paragraph, [464.0, 1180.0, 538.0, 36.0], uFS0hXp3NT, 5712861]
[paragraph, [464.0, 1216.0, 538.0, 36.0], uFS0hXp3NT, 5712861]
[paragraph, [464.0, 1252.0, 538.0, 36.0], uFS0hXp3NT, 5712861]
[paragraph, [464.0, 1288.0, 538.0, 36.0], uFS0hXp3NT, 5712861]
[paragraph, [464.0, 1324.0, 538.0, 36.0], uFS0hXp3NT, 5712861]
