[2174, 1461]
[folio, [162.0, 134.0, 200.0, 36.0], MD5KMVJcJz, 5655281]
[paragraph, [160.0, 340.0, 1171.0, 36.0], shoonya_1s3J8AIQ0IR6M9, 5655281]
[paragraph, [160.0, 376.0, 1171.0, 36.0], shoonya_1s3J8AIQ0IR6M9, 5655281]
[paragraph, [160.0, 412.0, 1171.0, 36.0], shoonya_1s3J8AIQ0IR6M9, 5655281]
[paragraph, [160.0, 448.0, 1171.0, 36.0], shoonya_1s3J8AIQ0IR6M9, 5655281]
[paragraph, [160.0, 484.0, 1171.0, 36.0], shoonya_1s3J8AIQ0IR6M9, 5655281]
[paragraph, [160.0, 520.0, 1171.0, 36.0], shoonya_1s3J8AIQ0IR6M9, 5655281]
[paragraph, [160.0, 556.0, 1171.0, 36.0], shoonya_1s3J8AIQ0IR6M9, 5655281]
[paragraph, [160.0, 592.0, 1171.0, 36.0], shoonya_1s3J8AIQ0IR6M9, 5655281]
[paragraph, [160.0, 628.0, 1171.0, 36.0], shoonya_1s3J8AIQ0IR6M9, 5655281]
[paragraph, [160.0, 664.0, 1171.0, 36.0], shoonya_1s3J8AIQ0IR6M9, 5655281]
[paragraph, [160.0, 700.0, 1171.0, 36.0], shoonya_1s3J8AIQ0IR6M9, 5655281]
[paragraph, [160.0, 736.0, 1171.0, 36.0], shoonya_1s3J8AIQ0IR6M9, 5655281]
[paragraph, [160.0, 772.0, 1171.0, 36.0], shoonya_1s3J8AIQ0IR6M9, 5655281]
[paragraph, [160.0, 808.0, 1171.0, 36.0], shoonya_1s3J8AIQ0IR6M9, 5655281]
[paragraph, [160.0, 844.0, 1171.0, 36.0], shoonya_1s3J8AIQ0IR6M9, 5655281]
[paragraph, [160.0, 880.0, 1171.0, 36.0], shoonya_1s3J8AIQ0IR6M9, 5655281]
[paragraph, [160.0, 916.0, 1171.0, 36.0], shoonya_1s3J8AIQ0IR6M9, 5655281]
[paragraph, [156.0, 988.0, 1198.0, 36.0], I9RfwBBTX4, 5655281]
[paragraph, [156.0, 1024.0, 1198.0, 36.0], I9RfwBBTX4, 5655281]
[paragraph, [156.0, 1060.0, 1198.0, 36.0], I9RfwBBTX4, 5655281]
[paragraph, [173.0, 1161.0, 1159.0, 36.0], shoonya_2sCPIGOJJTQGUC, 5655281]
[paragraph, [173.0, 1197.0, 1159.0, 36.0], shoonya_2sCPIGOJJTQGUC, 5655281]
[paragraph, [173.0, 1233.0, 1159.0, 36.0], shoonya_2sCPIGOJJTQGUC, 5655281]
[paragraph, [173.0, 1269.0, 1159.0, 36.0], shoonya_2sCPIGOJJTQGUC, 5655281]
[paragraph, [173.0, 1305.0, 1159.0, 36.0], shoonya_2sCPIGOJJTQGUC, 5655281]
[paragraph, [173.0, 1341.0, 1159.0, 36.0], shoonya_2sCPIGOJJTQGUC, 5655281]
[paragraph, [173.0, 1377.0, 1159.0, 36.0], shoonya_2sCPIGOJJTQGUC, 5655281]
[paragraph, [173.0, 1413.0, 1159.0, 36.0], shoonya_2sCPIGOJJTQGUC, 5655281]
[paragraph, [173.0, 1449.0, 1159.0, 36.0], shoonya_2sCPIGOJJTQGUC, 5655281]
[paragraph, [173.0, 1485.0, 1159.0, 36.0], shoonya_2sCPIGOJJTQGUC, 5655281]
[paragraph, [173.0, 1521.0, 1159.0, 36.0], shoonya_2sCPIGOJJTQGUC, 5655281]
[paragraph, [173.0, 1557.0, 1159.0, 36.0], shoonya_2sCPIGOJJTQGUC, 5655281]
[paragraph, [164.0, 1726.0, 1188.0, 36.0], shoonya_0s5ZJVWQ0S4SX9, 5655281]
[paragraph, [164.0, 1762.0, 1188.0, 36.0], shoonya_0s5ZJVWQ0S4SX9, 5655281]
[paragraph, [164.0, 1798.0, 1188.0, 36.0], shoonya_0s5ZJVWQ0S4SX9, 5655281]
[paragraph, [164.0, 1834.0, 1188.0, 36.0], shoonya_0s5ZJVWQ0S4SX9, 5655281]
[paragraph, [164.0, 1870.0, 1188.0, 36.0], shoonya_0s5ZJVWQ0S4SX9, 5655281]
[paragraph, [164.0, 1906.0, 1188.0, 36.0], shoonya_0s5ZJVWQ0S4SX9, 5655281]
[paragraph, [164.0, 1942.0, 1188.0, 36.0], shoonya_0s5ZJVWQ0S4SX9, 5655281]
[paragraph, [164.0, 1978.0, 1188.0, 36.0], shoonya_0s5ZJVWQ0S4SX9, 5655281]
[paragraph, [164.0, 2014.0, 1188.0, 36.0], shoonya_0s5ZJVWQ0S4SX9, 5655281]
