[1601, 1158]
[section-title, [138.0, 90.0, 874.0, 49.5], shoonya_8s0GUJLCB4O0IN, 5695528]
[paragraph, [113.0, 625.0, 323.0, 36.0], shoonya_3sR6TNUFCVWMBS, 5695528]
[paragraph, [113.0, 661.0, 323.0, 36.0], shoonya_3sR6TNUFCVWMBS, 5695528]
[paragraph, [113.0, 697.0, 323.0, 36.0], shoonya_3sR6TNUFCVWMBS, 5695528]
[paragraph, [113.0, 733.0, 323.0, 36.0], shoonya_3sR6TNUFCVWMBS, 5695528]
[paragraph, [113.0, 769.0, 323.0, 36.0], shoonya_3sR6TNUFCVWMBS, 5695528]
[paragraph, [113.0, 805.0, 323.0, 36.0], shoonya_3sR6TNUFCVWMBS, 5695528]
[paragraph, [113.0, 841.0, 323.0, 36.0], shoonya_3sR6TNUFCVWMBS, 5695528]
[paragraph, [113.0, 877.0, 323.0, 36.0], shoonya_3sR6TNUFCVWMBS, 5695528]
[paragraph, [113.0, 913.0, 323.0, 36.0], shoonya_3sR6TNUFCVWMBS, 5695528]
[paragraph, [113.0, 949.0, 323.0, 36.0], shoonya_3sR6TNUFCVWMBS, 5695528]
[paragraph, [113.0, 985.0, 323.0, 36.0], shoonya_3sR6TNUFCVWMBS, 5695528]
[paragraph, [688.0, 1040.0, 355.0, 36.0], shoonya_4sWEBSMYVFVIIQ, 5695528]
[paragraph, [688.0, 1076.0, 355.0, 36.0], shoonya_4sWEBSMYVFVIIQ, 5695528]
[paragraph, [688.0, 1112.0, 355.0, 36.0], shoonya_4sWEBSMYVFVIIQ, 5695528]
[paragraph, [688.0, 1161.0, 353.0, 36.0], shoonya_7sPUC57G4H5FBF, 5695528]
[paragraph, [688.0, 1197.0, 353.0, 36.0], shoonya_7sPUC57G4H5FBF, 5695528]
[paragraph, [688.0, 1233.0, 353.0, 36.0], shoonya_7sPUC57G4H5FBF, 5695528]
[paragraph, [688.0, 1269.0, 353.0, 36.0], shoonya_7sPUC57G4H5FBF, 5695528]
[paragraph, [691.0, 1337.0, 354.0, 36.0], DnAEHaCqrG, 5695528]
[paragraph, [691.0, 1373.0, 354.0, 36.0], DnAEHaCqrG, 5695528]
[paragraph, [691.0, 1409.0, 354.0, 36.0], DnAEHaCqrG, 5695528]
