[1951, 1219]
[folio, [245.0, 131.0, 209.0, 36.0], shoonya_1sRFZWFKYTL5OD, 5683252]
[folio, [245.0, 167.0, 209.0, 36.0], shoonya_1sRFZWFKYTL5OD, 5683252]
[paragraph, [124.0, 229.0, 973.0, 36.0], SlglIfL0xD, 5683252]
[paragraph, [124.0, 265.0, 973.0, 36.0], SlglIfL0xD, 5683252]
[paragraph, [124.0, 301.0, 973.0, 36.0], SlglIfL0xD, 5683252]
[paragraph, [119.0, 352.0, 978.0, 36.0], zfuAS7Iy9f, 5683252]
[paragraph, [119.0, 388.0, 978.0, 36.0], zfuAS7Iy9f, 5683252]
[paragraph, [119.0, 424.0, 978.0, 36.0], zfuAS7Iy9f, 5683252]
[paragraph, [119.0, 460.0, 978.0, 36.0], zfuAS7Iy9f, 5683252]
[paragraph, [119.0, 496.0, 978.0, 36.0], zfuAS7Iy9f, 5683252]
[paragraph, [119.0, 532.0, 978.0, 36.0], zfuAS7Iy9f, 5683252]
[paragraph, [206.0, 578.0, 216.0, 36.0], k97YYwFq0B, 5683252]
[paragraph, [114.0, 639.0, 983.0, 36.0], jIRGn9tmgk, 5683252]
[paragraph, [114.0, 675.0, 983.0, 36.0], jIRGn9tmgk, 5683252]
[paragraph, [114.0, 711.0, 983.0, 36.0], jIRGn9tmgk, 5683252]
[paragraph, [114.0, 747.0, 983.0, 36.0], jIRGn9tmgk, 5683252]
[paragraph, [114.0, 783.0, 983.0, 36.0], jIRGn9tmgk, 5683252]
[paragraph, [114.0, 819.0, 983.0, 36.0], jIRGn9tmgk, 5683252]
[paragraph, [114.0, 855.0, 983.0, 36.0], jIRGn9tmgk, 5683252]
[paragraph, [195.0, 922.0, 640.0, 36.0], Bv1vNiLMG3, 5683252]
[paragraph, [208.0, 981.0, 142.0, 36.0], N-QodNwlOB, 5683252]
[paragraph, [205.0, 1036.0, 405.0, 36.0], E0JC4FOZku, 5683252]
[paragraph, [116.0, 1091.0, 983.0, 36.0], Cg0AG9P0GX, 5683252]
[paragraph, [116.0, 1127.0, 983.0, 36.0], Cg0AG9P0GX, 5683252]
[paragraph, [116.0, 1163.0, 983.0, 36.0], Cg0AG9P0GX, 5683252]
[paragraph, [122.0, 1211.0, 984.0, 36.0], ZAnoaYjbwe, 5683252]
[paragraph, [122.0, 1247.0, 984.0, 36.0], ZAnoaYjbwe, 5683252]
[paragraph, [122.0, 1283.0, 984.0, 36.0], ZAnoaYjbwe, 5683252]
[paragraph, [122.0, 1319.0, 984.0, 36.0], ZAnoaYjbwe, 5683252]
[paragraph, [122.0, 1379.0, 981.0, 36.0], VQzR6Kg3DT, 5683252]
[paragraph, [122.0, 1415.0, 981.0, 36.0], VQzR6Kg3DT, 5683252]
[paragraph, [122.0, 1451.0, 981.0, 36.0], VQzR6Kg3DT, 5683252]
[paragraph, [122.0, 1487.0, 981.0, 36.0], VQzR6Kg3DT, 5683252]
[paragraph, [122.0, 1523.0, 981.0, 36.0], VQzR6Kg3DT, 5683252]
[paragraph, [122.0, 1559.0, 981.0, 36.0], VQzR6Kg3DT, 5683252]
[paragraph, [122.0, 1595.0, 981.0, 36.0], VQzR6Kg3DT, 5683252]
[paragraph, [122.0, 1631.0, 981.0, 36.0], VQzR6Kg3DT, 5683252]
[paragraph, [122.0, 1667.0, 981.0, 36.0], VQzR6Kg3DT, 5683252]
[paragraph, [122.0, 1703.0, 981.0, 36.0], VQzR6Kg3DT, 5683252]
[paragraph, [122.0, 1739.0, 981.0, 36.0], VQzR6Kg3DT, 5683252]
[paragraph, [122.0, 1775.0, 981.0, 36.0], VQzR6Kg3DT, 5683252]
[paragraph, [122.0, 1811.0, 981.0, 36.0], VQzR6Kg3DT, 5683252]
