[2339, 1653]
[paragraph, [143.0, 153.0, 1360.0, 36.0], shoonya_0s2WSGR6MCFHLN, 5752473]
[paragraph, [143.0, 189.0, 1360.0, 36.0], shoonya_0s2WSGR6MCFHLN, 5752473]
[paragraph, [143.0, 225.0, 1360.0, 36.0], shoonya_0s2WSGR6MCFHLN, 5752473]
[paragraph, [143.0, 261.0, 1360.0, 36.0], shoonya_0s2WSGR6MCFHLN, 5752473]
[paragraph, [146.0, 353.0, 347.0, 36.0], vLpCTJAtq4, 5752473]
[paragraph, [146.0, 389.0, 347.0, 36.0], vLpCTJAtq4, 5752473]
[paragraph, [148.0, 477.0, 1357.0, 36.0], -xqsWgj1lg, 5752473]
[paragraph, [148.0, 513.0, 1357.0, 36.0], -xqsWgj1lg, 5752473]
[paragraph, [148.0, 549.0, 1357.0, 36.0], -xqsWgj1lg, 5752473]
[paragraph, [148.0, 585.0, 1357.0, 36.0], -xqsWgj1lg, 5752473]
[paragraph, [146.0, 681.0, 1357.0, 36.0], 44yWPg-Sh3, 5752473]
[paragraph, [146.0, 717.0, 1357.0, 36.0], 44yWPg-Sh3, 5752473]
[paragraph, [146.0, 753.0, 1357.0, 36.0], 44yWPg-Sh3, 5752473]
[paragraph, [146.0, 789.0, 1357.0, 36.0], 44yWPg-Sh3, 5752473]
[paragraph, [152.0, 886.0, 741.0, 36.0], xmBCDKkmcE, 5752473]
[paragraph, [152.0, 922.0, 741.0, 36.0], xmBCDKkmcE, 5752473]
[paragraph, [152.0, 1010.0, 938.0, 36.0], SvAZptgQZr, 5752473]
[paragraph, [152.0, 1046.0, 938.0, 36.0], SvAZptgQZr, 5752473]
[paragraph, [152.0, 1134.0, 1031.0, 36.0], w9D2E-qwZm, 5752473]
[paragraph, [150.0, 1252.0, 1345.0, 36.0], 9XHjc9Douq, 5752473]
[paragraph, [150.0, 1288.0, 1345.0, 36.0], 9XHjc9Douq, 5752473]
[paragraph, [150.0, 1324.0, 1345.0, 36.0], 9XHjc9Douq, 5752473]
[paragraph, [150.0, 1360.0, 1345.0, 36.0], 9XHjc9Douq, 5752473]
[paragraph, [154.0, 1467.0, 252.0, 36.0], fscxD2n1Aw, 5752473]
[paragraph, [148.0, 1578.0, 1357.0, 36.0], ow121yn3sI, 5752473]
[paragraph, [148.0, 1614.0, 1357.0, 36.0], ow121yn3sI, 5752473]
[paragraph, [148.0, 1650.0, 1357.0, 36.0], ow121yn3sI, 5752473]
[paragraph, [148.0, 1686.0, 1357.0, 36.0], ow121yn3sI, 5752473]
[paragraph, [148.0, 1722.0, 1357.0, 36.0], ow121yn3sI, 5752473]
[paragraph, [148.0, 1758.0, 1357.0, 36.0], ow121yn3sI, 5752473]
[paragraph, [146.0, 1867.0, 1361.0, 36.0], 3-aPrk-F35, 5752473]
[paragraph, [146.0, 1903.0, 1361.0, 36.0], 3-aPrk-F35, 5752473]
[paragraph, [146.0, 1939.0, 1361.0, 36.0], 3-aPrk-F35, 5752473]
[paragraph, [146.0, 1975.0, 1361.0, 36.0], 3-aPrk-F35, 5752473]
