[1241, 1241]
[headline, [120.0, 847.0, 409.0, 25.5], shoonya_1s5LL6E16CVLFC, 5726344]
[paragraph, [628.0, 917.0, 499.0, 18.0], shoonya_7sLEGOCSQCU2OZ, 5726344]
[paragraph, [628.0, 935.0, 499.0, 18.0], shoonya_7sLEGOCSQCU2OZ, 5726344]
[paragraph, [628.0, 953.0, 499.0, 18.0], shoonya_7sLEGOCSQCU2OZ, 5726344]
[paragraph, [628.0, 971.0, 499.0, 18.0], shoonya_7sLEGOCSQCU2OZ, 5726344]
[paragraph, [628.0, 989.0, 499.0, 18.0], shoonya_7sLEGOCSQCU2OZ, 5726344]
[paragraph, [628.0, 1007.0, 499.0, 18.0], shoonya_7sLEGOCSQCU2OZ, 5726344]
[paragraph, [628.0, 1025.0, 499.0, 18.0], shoonya_7sLEGOCSQCU2OZ, 5726344]
[paragraph, [628.0, 1043.0, 499.0, 18.0], shoonya_7sLEGOCSQCU2OZ, 5726344]
[paragraph, [628.0, 1061.0, 499.0, 18.0], shoonya_7sLEGOCSQCU2OZ, 5726344]
[paragraph, [628.0, 1079.0, 499.0, 18.0], shoonya_7sLEGOCSQCU2OZ, 5726344]
[paragraph, [628.0, 1097.0, 499.0, 18.0], shoonya_7sLEGOCSQCU2OZ, 5726344]
[paragraph, [114.0, 918.0, 476.0, 18.0], shoonya_0s4B2LF14ZGHQF, 5726344]
[paragraph, [114.0, 936.0, 476.0, 18.0], shoonya_0s4B2LF14ZGHQF, 5726344]
[paragraph, [114.0, 954.0, 476.0, 18.0], shoonya_0s4B2LF14ZGHQF, 5726344]
[paragraph, [114.0, 972.0, 476.0, 18.0], shoonya_0s4B2LF14ZGHQF, 5726344]
[paragraph, [114.0, 990.0, 476.0, 18.0], shoonya_0s4B2LF14ZGHQF, 5726344]
[paragraph, [114.0, 1008.0, 476.0, 18.0], shoonya_0s4B2LF14ZGHQF, 5726344]
[paragraph, [114.0, 1026.0, 476.0, 18.0], shoonya_0s4B2LF14ZGHQF, 5726344]
[paragraph, [114.0, 1044.0, 476.0, 18.0], shoonya_0s4B2LF14ZGHQF, 5726344]
[paragraph, [114.0, 1062.0, 476.0, 18.0], shoonya_0s4B2LF14ZGHQF, 5726344]
[paragraph, [114.0, 1080.0, 476.0, 18.0], shoonya_0s4B2LF14ZGHQF, 5726344]
[paragraph, [114.0, 1098.0, 476.0, 18.0], shoonya_0s4B2LF14ZGHQF, 5726344]
[folio, [901.0, 1146.0, 169.0, 18.0], R8o2FfDE79, 5726344]
