[2241, 1705]
[paragraph, [780.0, 167.0, 771.0, 36.0], shoonya_0sMJVC4FK6ES3C, 5654365]
[paragraph, [780.0, 203.0, 771.0, 36.0], shoonya_0sMJVC4FK6ES3C, 5654365]
[paragraph, [780.0, 239.0, 771.0, 36.0], shoonya_0sMJVC4FK6ES3C, 5654365]
[paragraph, [780.0, 275.0, 771.0, 36.0], shoonya_0sMJVC4FK6ES3C, 5654365]
[paragraph, [780.0, 311.0, 771.0, 36.0], shoonya_0sMJVC4FK6ES3C, 5654365]
[paragraph, [780.0, 347.0, 771.0, 36.0], shoonya_0sMJVC4FK6ES3C, 5654365]
[paragraph, [780.0, 383.0, 771.0, 36.0], shoonya_0sMJVC4FK6ES3C, 5654365]
[paragraph, [780.0, 419.0, 771.0, 36.0], shoonya_0sMJVC4FK6ES3C, 5654365]
[paragraph, [780.0, 455.0, 771.0, 36.0], shoonya_0sMJVC4FK6ES3C, 5654365]
[paragraph, [780.0, 491.0, 771.0, 36.0], shoonya_0sMJVC4FK6ES3C, 5654365]
[paragraph, [780.0, 527.0, 771.0, 36.0], shoonya_0sMJVC4FK6ES3C, 5654365]
[paragraph, [780.0, 563.0, 771.0, 36.0], shoonya_0sMJVC4FK6ES3C, 5654365]
[paragraph, [780.0, 599.0, 771.0, 36.0], shoonya_0sMJVC4FK6ES3C, 5654365]
[paragraph, [16.0, 173.0, 761.0, 36.0], shoonya_10sVFV8K7C6P88, 5654365]
[paragraph, [16.0, 209.0, 761.0, 36.0], shoonya_10sVFV8K7C6P88, 5654365]
[paragraph, [16.0, 245.0, 761.0, 36.0], shoonya_10sVFV8K7C6P88, 5654365]
[paragraph, [11.0, 273.0, 761.0, 36.0], shoonya_7sUP6E3IN5M8B4, 5654365]
[paragraph, [11.0, 309.0, 761.0, 36.0], shoonya_7sUP6E3IN5M8B4, 5654365]
[paragraph, [11.0, 345.0, 761.0, 36.0], shoonya_7sUP6E3IN5M8B4, 5654365]
[paragraph, [11.0, 381.0, 761.0, 36.0], shoonya_7sUP6E3IN5M8B4, 5654365]
[paragraph, [11.0, 417.0, 761.0, 36.0], shoonya_7sUP6E3IN5M8B4, 5654365]
[paragraph, [15.0, 463.0, 764.0, 36.0], shoonya_8sUFXYXXEX7KW1, 5654365]
[paragraph, [15.0, 499.0, 764.0, 36.0], shoonya_8sUFXYXXEX7KW1, 5654365]
[paragraph, [15.0, 535.0, 764.0, 36.0], shoonya_8sUFXYXXEX7KW1, 5654365]
[paragraph, [15.0, 571.0, 764.0, 36.0], shoonya_8sUFXYXXEX7KW1, 5654365]
[paragraph, [15.0, 607.0, 764.0, 36.0], shoonya_8sUFXYXXEX7KW1, 5654365]
[paragraph, [1026.0, 647.0, 263.0, 36.0], shoonya_12sHZOKTRJRJ6B, 5654365]
[paragraph, [25.0, 656.0, 530.0, 36.0], shoonya_5s9RZECPUGN3PH, 5654365]
[paragraph, [25.0, 692.0, 530.0, 36.0], shoonya_5s9RZECPUGN3PH, 5654365]
[paragraph, [25.0, 728.0, 530.0, 36.0], shoonya_5s9RZECPUGN3PH, 5654365]
[paragraph, [25.0, 764.0, 530.0, 36.0], shoonya_5s9RZECPUGN3PH, 5654365]
[paragraph, [25.0, 800.0, 530.0, 36.0], shoonya_5s9RZECPUGN3PH, 5654365]
[paragraph, [25.0, 836.0, 530.0, 36.0], shoonya_5s9RZECPUGN3PH, 5654365]
[paragraph, [25.0, 872.0, 530.0, 36.0], shoonya_5s9RZECPUGN3PH, 5654365]
[paragraph, [25.0, 908.0, 530.0, 36.0], shoonya_5s9RZECPUGN3PH, 5654365]
[paragraph, [25.0, 944.0, 530.0, 36.0], shoonya_5s9RZECPUGN3PH, 5654365]
[paragraph, [25.0, 980.0, 530.0, 36.0], shoonya_5s9RZECPUGN3PH, 5654365]
[paragraph, [25.0, 1016.0, 530.0, 36.0], shoonya_5s9RZECPUGN3PH, 5654365]
[paragraph, [25.0, 1052.0, 530.0, 36.0], shoonya_5s9RZECPUGN3PH, 5654365]
[paragraph, [25.0, 1088.0, 530.0, 36.0], shoonya_5s9RZECPUGN3PH, 5654365]
[paragraph, [25.0, 1124.0, 530.0, 36.0], shoonya_5s9RZECPUGN3PH, 5654365]
[paragraph, [25.0, 1160.0, 530.0, 36.0], shoonya_5s9RZECPUGN3PH, 5654365]
[paragraph, [25.0, 1196.0, 530.0, 36.0], shoonya_5s9RZECPUGN3PH, 5654365]
[paragraph, [1020.0, 679.0, 518.0, 36.0], shoonya_3s8Y1ONTWRMF6L, 5654365]
[paragraph, [1020.0, 715.0, 518.0, 36.0], shoonya_3s8Y1ONTWRMF6L, 5654365]
[paragraph, [1020.0, 751.0, 518.0, 36.0], shoonya_3s8Y1ONTWRMF6L, 5654365]
[paragraph, [1020.0, 787.0, 518.0, 36.0], shoonya_3s8Y1ONTWRMF6L, 5654365]
[paragraph, [1020.0, 823.0, 518.0, 36.0], shoonya_3s8Y1ONTWRMF6L, 5654365]
[paragraph, [1020.0, 859.0, 518.0, 36.0], shoonya_3s8Y1ONTWRMF6L, 5654365]
[paragraph, [1020.0, 895.0, 518.0, 36.0], shoonya_3s8Y1ONTWRMF6L, 5654365]
[paragraph, [1020.0, 931.0, 518.0, 36.0], shoonya_3s8Y1ONTWRMF6L, 5654365]
[paragraph, [1020.0, 967.0, 518.0, 36.0], shoonya_3s8Y1ONTWRMF6L, 5654365]
[paragraph, [1020.0, 1003.0, 518.0, 36.0], shoonya_3s8Y1ONTWRMF6L, 5654365]
[paragraph, [1020.0, 1039.0, 518.0, 36.0], shoonya_3s8Y1ONTWRMF6L, 5654365]
[paragraph, [1020.0, 1075.0, 518.0, 36.0], shoonya_3s8Y1ONTWRMF6L, 5654365]
[paragraph, [1020.0, 1111.0, 518.0, 36.0], shoonya_3s8Y1ONTWRMF6L, 5654365]
[paragraph, [1020.0, 1147.0, 518.0, 36.0], shoonya_3s8Y1ONTWRMF6L, 5654365]
[paragraph, [1020.0, 1183.0, 518.0, 36.0], shoonya_3s8Y1ONTWRMF6L, 5654365]
[paragraph, [803.0, 1220.0, 745.0, 36.0], shoonya_2sR0H25D1O51AS, 5654365]
[paragraph, [803.0, 1256.0, 745.0, 36.0], shoonya_2sR0H25D1O51AS, 5654365]
[paragraph, [803.0, 1292.0, 745.0, 36.0], shoonya_2sR0H25D1O51AS, 5654365]
[paragraph, [803.0, 1328.0, 745.0, 36.0], shoonya_2sR0H25D1O51AS, 5654365]
[paragraph, [803.0, 1364.0, 745.0, 36.0], shoonya_2sR0H25D1O51AS, 5654365]
[paragraph, [803.0, 1400.0, 745.0, 36.0], shoonya_2sR0H25D1O51AS, 5654365]
[paragraph, [803.0, 1436.0, 745.0, 36.0], shoonya_2sR0H25D1O51AS, 5654365]
[paragraph, [803.0, 1472.0, 745.0, 36.0], shoonya_2sR0H25D1O51AS, 5654365]
[paragraph, [803.0, 1508.0, 745.0, 36.0], shoonya_2sR0H25D1O51AS, 5654365]
[paragraph, [803.0, 1544.0, 745.0, 36.0], shoonya_2sR0H25D1O51AS, 5654365]
[paragraph, [803.0, 1580.0, 745.0, 36.0], shoonya_2sR0H25D1O51AS, 5654365]
[paragraph, [803.0, 1616.0, 745.0, 36.0], shoonya_2sR0H25D1O51AS, 5654365]
[paragraph, [803.0, 1652.0, 745.0, 36.0], shoonya_2sR0H25D1O51AS, 5654365]
[paragraph, [35.0, 1248.0, 753.0, 36.0], shoonya_6sT0YOVOAOJYEV, 5654365]
[paragraph, [35.0, 1284.0, 753.0, 36.0], shoonya_6sT0YOVOAOJYEV, 5654365]
[paragraph, [35.0, 1320.0, 753.0, 36.0], shoonya_6sT0YOVOAOJYEV, 5654365]
[paragraph, [35.0, 1356.0, 753.0, 36.0], shoonya_6sT0YOVOAOJYEV, 5654365]
[paragraph, [35.0, 1392.0, 753.0, 36.0], shoonya_6sT0YOVOAOJYEV, 5654365]
[paragraph, [35.0, 1428.0, 753.0, 36.0], shoonya_6sT0YOVOAOJYEV, 5654365]
