[1418, 1063]
[ordered-list, [152.0, 112.0, 802.0, 18.0], shoonya_1s5U2ZLGVLB50D, 6468242]
[ordered-list, [152.0, 130.0, 802.0, 18.0], shoonya_1s5U2ZLGVLB50D, 6468242]
[ordered-list, [152.0, 148.0, 802.0, 18.0], shoonya_1s5U2ZLGVLB50D, 6468242]
[ordered-list, [152.0, 166.0, 802.0, 18.0], shoonya_1s5U2ZLGVLB50D, 6468242]
[ordered-list, [152.0, 184.0, 802.0, 18.0], shoonya_1s5U2ZLGVLB50D, 6468242]
[ordered-list, [152.0, 202.0, 802.0, 18.0], shoonya_1s5U2ZLGVLB50D, 6468242]
[ordered-list, [152.0, 220.0, 802.0, 18.0], shoonya_1s5U2ZLGVLB50D, 6468242]
[ordered-list, [152.0, 238.0, 802.0, 18.0], shoonya_1s5U2ZLGVLB50D, 6468242]
[ordered-list, [152.0, 256.0, 802.0, 18.0], shoonya_1s5U2ZLGVLB50D, 6468242]
[ordered-list, [152.0, 274.0, 802.0, 18.0], shoonya_1s5U2ZLGVLB50D, 6468242]
[ordered-list, [152.0, 292.0, 802.0, 18.0], shoonya_1s5U2ZLGVLB50D, 6468242]
[ordered-list, [152.0, 310.0, 802.0, 18.0], shoonya_1s5U2ZLGVLB50D, 6468242]
[ordered-list, [152.0, 328.0, 802.0, 18.0], shoonya_1s5U2ZLGVLB50D, 6468242]
[ordered-list, [152.0, 346.0, 802.0, 18.0], shoonya_1s5U2ZLGVLB50D, 6468242]
[ordered-list, [152.0, 364.0, 802.0, 18.0], shoonya_1s5U2ZLGVLB50D, 6468242]
[ordered-list, [152.0, 382.0, 802.0, 18.0], shoonya_1s5U2ZLGVLB50D, 6468242]
[ordered-list, [152.0, 400.0, 802.0, 18.0], shoonya_1s5U2ZLGVLB50D, 6468242]
[ordered-list, [152.0, 418.0, 802.0, 18.0], shoonya_1s5U2ZLGVLB50D, 6468242]
[ordered-list, [152.0, 436.0, 802.0, 18.0], shoonya_1s5U2ZLGVLB50D, 6468242]
[ordered-list, [152.0, 454.0, 802.0, 18.0], shoonya_1s5U2ZLGVLB50D, 6468242]
[ordered-list, [152.0, 472.0, 802.0, 18.0], shoonya_1s5U2ZLGVLB50D, 6468242]
[ordered-list, [152.0, 490.0, 802.0, 18.0], shoonya_1s5U2ZLGVLB50D, 6468242]
[ordered-list, [152.0, 508.0, 802.0, 18.0], shoonya_1s5U2ZLGVLB50D, 6468242]
[ordered-list, [152.0, 526.0, 802.0, 18.0], shoonya_1s5U2ZLGVLB50D, 6468242]
[ordered-list, [152.0, 544.0, 802.0, 18.0], shoonya_1s5U2ZLGVLB50D, 6468242]
[ordered-list, [152.0, 562.0, 802.0, 18.0], shoonya_1s5U2ZLGVLB50D, 6468242]
[ordered-list, [152.0, 580.0, 802.0, 18.0], shoonya_1s5U2ZLGVLB50D, 6468242]
[ordered-list, [152.0, 598.0, 802.0, 18.0], shoonya_1s5U2ZLGVLB50D, 6468242]
[paragraph, [108.0, 640.0, 843.0, 18.0], E_OuIw6ely, 6468242]
[paragraph, [108.0, 658.0, 843.0, 18.0], E_OuIw6ely, 6468242]
[paragraph, [108.0, 676.0, 843.0, 18.0], E_OuIw6ely, 6468242]
[paragraph, [108.0, 694.0, 843.0, 18.0], E_OuIw6ely, 6468242]
