[612, 792]
[section-title, [232.0, 42.0, 355.0, 30.0], b-eeHbcJyY, 6534890]
[sub-section-title, [555.0, 144.0, 74.0, 25.5], R7ANULUVbN, 6534890]
[sub-section-title, [158.0, 148.0, 69.0, 25.5], 7SdD8Dwyus, 6534890]
[author, [512.0, 178.0, 183.0, 18.0], e3KtWaQHpr, 6534890]
[author, [512.0, 196.0, 183.0, 18.0], e3KtWaQHpr, 6534890]
[author, [512.0, 214.0, 183.0, 18.0], e3KtWaQHpr, 6534890]
[author, [512.0, 232.0, 183.0, 18.0], e3KtWaQHpr, 6534890]
[author, [512.0, 250.0, 183.0, 18.0], e3KtWaQHpr, 6534890]
[author, [512.0, 268.0, 183.0, 18.0], e3KtWaQHpr, 6534890]
[author, [512.0, 286.0, 183.0, 18.0], e3KtWaQHpr, 6534890]
[author, [512.0, 304.0, 183.0, 18.0], e3KtWaQHpr, 6534890]
[author, [512.0, 322.0, 183.0, 18.0], e3KtWaQHpr, 6534890]
[paragraph, [113.0, 183.0, 162.0, 18.0], b5TmaPsIM1, 6534890]
[paragraph, [113.0, 201.0, 162.0, 18.0], b5TmaPsIM1, 6534890]
[paragraph, [113.0, 219.0, 162.0, 18.0], b5TmaPsIM1, 6534890]
[paragraph, [113.0, 237.0, 162.0, 18.0], b5TmaPsIM1, 6534890]
[paragraph, [324.0, 183.0, 151.0, 18.0], 8jaAWxFORt, 6534890]
[paragraph, [324.0, 201.0, 151.0, 18.0], 8jaAWxFORt, 6534890]
[paragraph, [324.0, 219.0, 151.0, 18.0], 8jaAWxFORt, 6534890]
[flag, [190.0, 460.0, 433.0, 18.0], elaB4HN-r-, 6534890]
[contact-info, [282.0, 489.0, 247.0, 18.0], dXxksQotVP, 6534890]
[contact-info, [282.0, 507.0, 247.0, 18.0], dXxksQotVP, 6534890]
[contact-info, [282.0, 525.0, 247.0, 18.0], dXxksQotVP, 6534890]
[contact-info, [282.0, 543.0, 247.0, 18.0], dXxksQotVP, 6534890]
