[3508, 2481]
[unordered-list, [254.0, 105.0, 2036.0, 52.5], iZD5ljAzQC, 6490592]
[unordered-list, [254.0, 157.5, 2036.0, 52.5], iZD5ljAzQC, 6490592]
[unordered-list, [254.0, 210.0, 2036.0, 52.5], iZD5ljAzQC, 6490592]
[unordered-list, [254.0, 262.5, 2036.0, 52.5], iZD5ljAzQC, 6490592]
[unordered-list, [254.0, 315.0, 2036.0, 52.5], iZD5ljAzQC, 6490592]
[unordered-list, [254.0, 367.5, 2036.0, 52.5], iZD5ljAzQC, 6490592]
[unordered-list, [254.0, 420.0, 2036.0, 52.5], iZD5ljAzQC, 6490592]
[unordered-list, [254.0, 472.5, 2036.0, 52.5], iZD5ljAzQC, 6490592]
[unordered-list, [254.0, 525.0, 2036.0, 52.5], iZD5ljAzQC, 6490592]
[unordered-list, [254.0, 577.5, 2036.0, 52.5], iZD5ljAzQC, 6490592]
[unordered-list, [254.0, 630.0, 2036.0, 52.5], iZD5ljAzQC, 6490592]
[unordered-list, [254.0, 682.5, 2036.0, 52.5], iZD5ljAzQC, 6490592]
[contact-info, [208.0, 917.0, 525.0, 52.5], xh40EVja4R, 6490592]
[contact-info, [208.0, 969.5, 525.0, 52.5], xh40EVja4R, 6490592]
