[1650, 1275]
[paragraph, [180.0, 142.0, 904.0, 36.0], shoonya_2sJX3RYZOFT4QM, 5704163]
[paragraph, [180.0, 178.0, 904.0, 36.0], shoonya_2sJX3RYZOFT4QM, 5704163]
[paragraph, [180.0, 214.0, 904.0, 36.0], shoonya_2sJX3RYZOFT4QM, 5704163]
[paragraph, [180.0, 250.0, 904.0, 36.0], shoonya_2sJX3RYZOFT4QM, 5704163]
[paragraph, [180.0, 286.0, 904.0, 36.0], shoonya_2sJX3RYZOFT4QM, 5704163]
[paragraph, [180.0, 322.0, 904.0, 36.0], shoonya_2sJX3RYZOFT4QM, 5704163]
[paragraph, [180.0, 358.0, 904.0, 36.0], shoonya_2sJX3RYZOFT4QM, 5704163]
[paragraph, [180.0, 394.0, 904.0, 36.0], shoonya_2sJX3RYZOFT4QM, 5704163]
[paragraph, [180.0, 430.0, 904.0, 36.0], shoonya_2sJX3RYZOFT4QM, 5704163]
[paragraph, [180.0, 466.0, 904.0, 36.0], shoonya_2sJX3RYZOFT4QM, 5704163]
[paragraph, [180.0, 502.0, 904.0, 36.0], shoonya_2sJX3RYZOFT4QM, 5704163]
[paragraph, [180.0, 538.0, 904.0, 36.0], shoonya_2sJX3RYZOFT4QM, 5704163]
[paragraph, [180.0, 574.0, 904.0, 36.0], shoonya_2sJX3RYZOFT4QM, 5704163]
[paragraph, [180.0, 610.0, 904.0, 36.0], shoonya_2sJX3RYZOFT4QM, 5704163]
[paragraph, [180.0, 646.0, 904.0, 36.0], shoonya_2sJX3RYZOFT4QM, 5704163]
[paragraph, [180.0, 682.0, 904.0, 36.0], shoonya_2sJX3RYZOFT4QM, 5704163]
[paragraph, [180.0, 718.0, 904.0, 36.0], shoonya_2sJX3RYZOFT4QM, 5704163]
[paragraph, [180.0, 754.0, 904.0, 36.0], shoonya_2sJX3RYZOFT4QM, 5704163]
[paragraph, [180.0, 790.0, 904.0, 36.0], shoonya_2sJX3RYZOFT4QM, 5704163]
[paragraph, [180.0, 826.0, 904.0, 36.0], shoonya_2sJX3RYZOFT4QM, 5704163]
[paragraph, [180.0, 862.0, 904.0, 36.0], shoonya_2sJX3RYZOFT4QM, 5704163]
[paragraph, [180.0, 898.0, 904.0, 36.0], shoonya_2sJX3RYZOFT4QM, 5704163]
[paragraph, [180.0, 934.0, 904.0, 36.0], shoonya_2sJX3RYZOFT4QM, 5704163]
[paragraph, [180.0, 970.0, 904.0, 36.0], shoonya_2sJX3RYZOFT4QM, 5704163]
[paragraph, [180.0, 1006.0, 904.0, 36.0], shoonya_2sJX3RYZOFT4QM, 5704163]
[paragraph, [184.0, 1092.0, 906.0, 36.0], shoonya_1sHBBHCY5U5Q6P, 5704163]
[paragraph, [184.0, 1128.0, 906.0, 36.0], shoonya_1sHBBHCY5U5Q6P, 5704163]
[paragraph, [184.0, 1164.0, 906.0, 36.0], shoonya_1sHBBHCY5U5Q6P, 5704163]
[paragraph, [184.0, 1200.0, 906.0, 36.0], shoonya_1sHBBHCY5U5Q6P, 5704163]
[paragraph, [184.0, 1236.0, 906.0, 36.0], shoonya_1sHBBHCY5U5Q6P, 5704163]
[paragraph, [184.0, 1272.0, 906.0, 36.0], shoonya_1sHBBHCY5U5Q6P, 5704163]
[paragraph, [184.0, 1308.0, 906.0, 36.0], shoonya_1sHBBHCY5U5Q6P, 5704163]
[paragraph, [184.0, 1344.0, 906.0, 36.0], shoonya_1sHBBHCY5U5Q6P, 5704163]
[paragraph, [184.0, 1380.0, 906.0, 36.0], shoonya_1sHBBHCY5U5Q6P, 5704163]
[paragraph, [184.0, 1416.0, 906.0, 36.0], shoonya_1sHBBHCY5U5Q6P, 5704163]
[paragraph, [184.0, 1452.0, 906.0, 36.0], shoonya_1sHBBHCY5U5Q6P, 5704163]
