[2339, 1656]
[dateline, [922.0, 10.0, 324.0, 64.5], _v59CPSjiL, 5657023]
[folio, [432.0, 16.0, 487.0, 36.0], fmwTP6v_Ws, 5657023]
[chapter-title, [200.0, 97.0, 1356.0, 70.5], 9KeYcnFgwd, 5657023]
[paragraph, [106.0, 215.0, 1442.0, 36.0], shoonya_4sMRC1SU5FPZ4C, 5657023]
[paragraph, [106.0, 251.0, 1442.0, 36.0], shoonya_4sMRC1SU5FPZ4C, 5657023]
[paragraph, [106.0, 287.0, 1442.0, 36.0], shoonya_4sMRC1SU5FPZ4C, 5657023]
[paragraph, [106.0, 323.0, 1442.0, 36.0], shoonya_4sMRC1SU5FPZ4C, 5657023]
[paragraph, [106.0, 359.0, 1442.0, 36.0], shoonya_4sMRC1SU5FPZ4C, 5657023]
[paragraph, [106.0, 395.0, 1442.0, 36.0], shoonya_4sMRC1SU5FPZ4C, 5657023]
[contact-info, [475.0, 473.0, 740.0, 36.0], 6-xey6CI8N, 5657023]
[contact-info, [475.0, 509.0, 740.0, 36.0], 6-xey6CI8N, 5657023]
[contact-info, [475.0, 545.0, 740.0, 36.0], 6-xey6CI8N, 5657023]
[contact-info, [475.0, 581.0, 740.0, 36.0], 6-xey6CI8N, 5657023]
[contact-info, [475.0, 617.0, 740.0, 36.0], 6-xey6CI8N, 5657023]
[paragraph, [42.0, 799.0, 1571.0, 36.0], shoonya_1sP6VUZCH0S0G3, 5657023]
[paragraph, [42.0, 835.0, 1571.0, 36.0], shoonya_1sP6VUZCH0S0G3, 5657023]
[paragraph, [42.0, 871.0, 1571.0, 36.0], shoonya_1sP6VUZCH0S0G3, 5657023]
[paragraph, [42.0, 907.0, 1571.0, 36.0], shoonya_1sP6VUZCH0S0G3, 5657023]
[paragraph, [42.0, 943.0, 1571.0, 36.0], shoonya_1sP6VUZCH0S0G3, 5657023]
[paragraph, [42.0, 979.0, 1571.0, 36.0], shoonya_1sP6VUZCH0S0G3, 5657023]
[paragraph, [42.0, 1015.0, 1571.0, 36.0], shoonya_1sP6VUZCH0S0G3, 5657023]
[paragraph, [42.0, 1051.0, 1571.0, 36.0], shoonya_1sP6VUZCH0S0G3, 5657023]
[paragraph, [42.0, 1087.0, 1571.0, 36.0], shoonya_1sP6VUZCH0S0G3, 5657023]
[paragraph, [42.0, 1123.0, 1571.0, 36.0], shoonya_1sP6VUZCH0S0G3, 5657023]
[paragraph, [42.0, 1159.0, 1571.0, 36.0], shoonya_1sP6VUZCH0S0G3, 5657023]
[paragraph, [42.0, 1195.0, 1571.0, 36.0], shoonya_1sP6VUZCH0S0G3, 5657023]
[paragraph, [42.0, 1231.0, 1571.0, 36.0], shoonya_1sP6VUZCH0S0G3, 5657023]
[paragraph, [42.0, 1267.0, 1571.0, 36.0], shoonya_1sP6VUZCH0S0G3, 5657023]
[paragraph, [42.0, 1303.0, 1571.0, 36.0], shoonya_1sP6VUZCH0S0G3, 5657023]
[paragraph, [42.0, 1339.0, 1571.0, 36.0], shoonya_1sP6VUZCH0S0G3, 5657023]
[paragraph, [42.0, 1375.0, 1571.0, 36.0], shoonya_1sP6VUZCH0S0G3, 5657023]
[paragraph, [42.0, 1411.0, 1571.0, 36.0], shoonya_1sP6VUZCH0S0G3, 5657023]
[paragraph, [41.0, 1476.0, 1573.0, 36.0], shoonya_0sDJZHG7MK7D28, 5657023]
[paragraph, [41.0, 1512.0, 1573.0, 36.0], shoonya_0sDJZHG7MK7D28, 5657023]
[paragraph, [41.0, 1548.0, 1573.0, 36.0], shoonya_0sDJZHG7MK7D28, 5657023]
[paragraph, [41.0, 1584.0, 1573.0, 36.0], shoonya_0sDJZHG7MK7D28, 5657023]
[paragraph, [41.0, 1620.0, 1573.0, 36.0], shoonya_0sDJZHG7MK7D28, 5657023]
[paragraph, [41.0, 1656.0, 1573.0, 36.0], shoonya_0sDJZHG7MK7D28, 5657023]
[paragraph, [41.0, 1692.0, 1573.0, 36.0], shoonya_0sDJZHG7MK7D28, 5657023]
[paragraph, [41.0, 1728.0, 1573.0, 36.0], shoonya_0sDJZHG7MK7D28, 5657023]
[paragraph, [41.0, 1764.0, 1573.0, 36.0], shoonya_0sDJZHG7MK7D28, 5657023]
[paragraph, [41.0, 1800.0, 1573.0, 36.0], shoonya_0sDJZHG7MK7D28, 5657023]
[paragraph, [41.0, 1836.0, 1573.0, 36.0], shoonya_0sDJZHG7MK7D28, 5657023]
[paragraph, [41.0, 1872.0, 1573.0, 36.0], shoonya_0sDJZHG7MK7D28, 5657023]
[paragraph, [41.0, 1908.0, 1573.0, 36.0], shoonya_0sDJZHG7MK7D28, 5657023]
[paragraph, [41.0, 1944.0, 1573.0, 36.0], shoonya_0sDJZHG7MK7D28, 5657023]
[paragraph, [41.0, 1980.0, 1573.0, 36.0], shoonya_0sDJZHG7MK7D28, 5657023]
[paragraph, [41.0, 2016.0, 1573.0, 36.0], shoonya_0sDJZHG7MK7D28, 5657023]
[paragraph, [41.0, 2052.0, 1573.0, 36.0], shoonya_0sDJZHG7MK7D28, 5657023]
[paragraph, [41.0, 2088.0, 1573.0, 36.0], shoonya_0sDJZHG7MK7D28, 5657023]
[folio, [351.0, 2248.0, 953.0, 36.0], ONF-5qVIBX, 5657023]
[folio, [351.0, 2284.0, 953.0, 36.0], ONF-5qVIBX, 5657023]
