[1461, 1106]
[quote, [378.0, 121.0, 550.0, 18.0], shoonya_2s7V8OQZ06OLGZ, 5759027]
[quote, [378.0, 139.0, 550.0, 18.0], shoonya_2s7V8OQZ06OLGZ, 5759027]
[quote, [378.0, 157.0, 550.0, 18.0], shoonya_2s7V8OQZ06OLGZ, 5759027]
[quote, [378.0, 175.0, 550.0, 18.0], shoonya_2s7V8OQZ06OLGZ, 5759027]
[section-title, [454.0, 265.0, 392.0, 30.0], d20qR-U2bd, 5759027]
[paragraph, [319.0, 328.0, 666.0, 18.0], shoonya_0sSFNE16N2PYB1, 5759027]
[paragraph, [142.0, 353.0, 846.0, 18.0], shoonya_4sSIVGMFZLR6HL, 5759027]
[paragraph, [142.0, 371.0, 846.0, 18.0], shoonya_4sSIVGMFZLR6HL, 5759027]
[paragraph, [142.0, 389.0, 846.0, 18.0], shoonya_4sSIVGMFZLR6HL, 5759027]
[paragraph, [142.0, 407.0, 846.0, 18.0], shoonya_4sSIVGMFZLR6HL, 5759027]
[paragraph, [142.0, 425.0, 846.0, 18.0], shoonya_4sSIVGMFZLR6HL, 5759027]
[paragraph, [142.0, 443.0, 846.0, 18.0], shoonya_4sSIVGMFZLR6HL, 5759027]
[paragraph, [142.0, 461.0, 846.0, 18.0], shoonya_4sSIVGMFZLR6HL, 5759027]
[paragraph, [142.0, 479.0, 846.0, 18.0], shoonya_4sSIVGMFZLR6HL, 5759027]
[paragraph, [142.0, 497.0, 846.0, 18.0], shoonya_4sSIVGMFZLR6HL, 5759027]
[paragraph, [142.0, 515.0, 846.0, 18.0], shoonya_4sSIVGMFZLR6HL, 5759027]
[paragraph, [142.0, 533.0, 846.0, 18.0], shoonya_4sSIVGMFZLR6HL, 5759027]
[paragraph, [134.0, 575.0, 853.0, 18.0], K-0eQJJC92, 5759027]
[paragraph, [134.0, 593.0, 853.0, 18.0], K-0eQJJC92, 5759027]
[paragraph, [134.0, 611.0, 853.0, 18.0], K-0eQJJC92, 5759027]
[paragraph, [134.0, 629.0, 853.0, 18.0], K-0eQJJC92, 5759027]
[paragraph, [134.0, 647.0, 853.0, 18.0], K-0eQJJC92, 5759027]
[paragraph, [134.0, 665.0, 853.0, 18.0], K-0eQJJC92, 5759027]
[paragraph, [134.0, 683.0, 853.0, 18.0], K-0eQJJC92, 5759027]
[paragraph, [132.0, 728.0, 853.0, 18.0], YTJwCXKRAw, 5759027]
[paragraph, [132.0, 746.0, 853.0, 18.0], YTJwCXKRAw, 5759027]
[paragraph, [132.0, 764.0, 853.0, 18.0], YTJwCXKRAw, 5759027]
[paragraph, [132.0, 782.0, 853.0, 18.0], YTJwCXKRAw, 5759027]
[paragraph, [132.0, 800.0, 853.0, 18.0], YTJwCXKRAw, 5759027]
[paragraph, [132.0, 818.0, 853.0, 18.0], YTJwCXKRAw, 5759027]
[paragraph, [132.0, 836.0, 853.0, 18.0], YTJwCXKRAw, 5759027]
[paragraph, [132.0, 854.0, 853.0, 18.0], YTJwCXKRAw, 5759027]
[paragraph, [132.0, 872.0, 853.0, 18.0], YTJwCXKRAw, 5759027]
[paragraph, [136.0, 926.0, 848.0, 18.0], x9dvAtun74, 5759027]
[paragraph, [136.0, 944.0, 848.0, 18.0], x9dvAtun74, 5759027]
[paragraph, [136.0, 962.0, 848.0, 18.0], x9dvAtun74, 5759027]
[paragraph, [136.0, 980.0, 848.0, 18.0], x9dvAtun74, 5759027]
[paragraph, [136.0, 998.0, 848.0, 18.0], x9dvAtun74, 5759027]
[paragraph, [136.0, 1016.0, 848.0, 18.0], x9dvAtun74, 5759027]
[paragraph, [136.0, 1034.0, 848.0, 18.0], x9dvAtun74, 5759027]
[paragraph, [136.0, 1052.0, 848.0, 18.0], x9dvAtun74, 5759027]
[paragraph, [138.0, 1097.0, 851.0, 18.0], SMxCKOj8NL, 5759027]
[paragraph, [138.0, 1115.0, 851.0, 18.0], SMxCKOj8NL, 5759027]
[paragraph, [138.0, 1133.0, 851.0, 18.0], SMxCKOj8NL, 5759027]
[paragraph, [138.0, 1151.0, 851.0, 18.0], SMxCKOj8NL, 5759027]
[paragraph, [138.0, 1169.0, 851.0, 18.0], SMxCKOj8NL, 5759027]
[paragraph, [138.0, 1187.0, 851.0, 18.0], SMxCKOj8NL, 5759027]
[author, [120.0, 1214.0, 283.0, 18.0], shoonya_3sLKS7WR21UIKO, 5759027]
[author, [120.0, 1232.0, 283.0, 18.0], shoonya_3sLKS7WR21UIKO, 5759027]
[author, [120.0, 1250.0, 283.0, 18.0], shoonya_3sLKS7WR21UIKO, 5759027]
[author, [120.0, 1268.0, 283.0, 18.0], shoonya_3sLKS7WR21UIKO, 5759027]
[author, [120.0, 1286.0, 283.0, 18.0], shoonya_3sLKS7WR21UIKO, 5759027]
[author, [120.0, 1304.0, 283.0, 18.0], shoonya_3sLKS7WR21UIKO, 5759027]
[author, [120.0, 1322.0, 283.0, 18.0], shoonya_3sLKS7WR21UIKO, 5759027]
