[1754, 1241]
[paragraph, [181.0, 102.0, 954.0, 36.0], XMRKLMklPb, 5709144]
[paragraph, [178.0, 165.0, 967.0, 36.0], WwG_2rR3fx, 5709144]
[paragraph, [178.0, 201.0, 967.0, 36.0], WwG_2rR3fx, 5709144]
[paragraph, [178.0, 237.0, 967.0, 36.0], WwG_2rR3fx, 5709144]
[paragraph, [178.0, 273.0, 967.0, 36.0], WwG_2rR3fx, 5709144]
[ordered-list, [107.0, 310.0, 1038.0, 36.0], -6Q-kzgWPM, 5709144]
[ordered-list, [107.0, 346.0, 1038.0, 36.0], -6Q-kzgWPM, 5709144]
[ordered-list, [107.0, 382.0, 1038.0, 36.0], -6Q-kzgWPM, 5709144]
[ordered-list, [107.0, 418.0, 1038.0, 36.0], -6Q-kzgWPM, 5709144]
[ordered-list, [107.0, 454.0, 1038.0, 36.0], -6Q-kzgWPM, 5709144]
[ordered-list, [107.0, 490.0, 1038.0, 36.0], -6Q-kzgWPM, 5709144]
[ordered-list, [107.0, 526.0, 1038.0, 36.0], -6Q-kzgWPM, 5709144]
[ordered-list, [107.0, 562.0, 1038.0, 36.0], -6Q-kzgWPM, 5709144]
[ordered-list, [107.0, 598.0, 1038.0, 36.0], -6Q-kzgWPM, 5709144]
[ordered-list, [107.0, 634.0, 1038.0, 36.0], -6Q-kzgWPM, 5709144]
[ordered-list, [107.0, 670.0, 1038.0, 36.0], -6Q-kzgWPM, 5709144]
[ordered-list, [107.0, 706.0, 1038.0, 36.0], -6Q-kzgWPM, 5709144]
[ordered-list, [107.0, 742.0, 1038.0, 36.0], -6Q-kzgWPM, 5709144]
[ordered-list, [107.0, 778.0, 1038.0, 36.0], -6Q-kzgWPM, 5709144]
[ordered-list, [107.0, 814.0, 1038.0, 36.0], -6Q-kzgWPM, 5709144]
[ordered-list, [107.0, 850.0, 1038.0, 36.0], -6Q-kzgWPM, 5709144]
[ordered-list, [107.0, 886.0, 1038.0, 36.0], -6Q-kzgWPM, 5709144]
[ordered-list, [107.0, 922.0, 1038.0, 36.0], -6Q-kzgWPM, 5709144]
[ordered-list, [107.0, 958.0, 1038.0, 36.0], -6Q-kzgWPM, 5709144]
[ordered-list, [107.0, 994.0, 1038.0, 36.0], -6Q-kzgWPM, 5709144]
[ordered-list, [107.0, 1030.0, 1038.0, 36.0], -6Q-kzgWPM, 5709144]
[ordered-list, [107.0, 1066.0, 1038.0, 36.0], -6Q-kzgWPM, 5709144]
[ordered-list, [107.0, 1102.0, 1038.0, 36.0], -6Q-kzgWPM, 5709144]
[ordered-list, [107.0, 1138.0, 1038.0, 36.0], -6Q-kzgWPM, 5709144]
[ordered-list, [107.0, 1174.0, 1038.0, 36.0], -6Q-kzgWPM, 5709144]
[ordered-list, [107.0, 1210.0, 1038.0, 36.0], -6Q-kzgWPM, 5709144]
[ordered-list, [107.0, 1246.0, 1038.0, 36.0], -6Q-kzgWPM, 5709144]
[ordered-list, [107.0, 1282.0, 1038.0, 36.0], -6Q-kzgWPM, 5709144]
[ordered-list, [107.0, 1318.0, 1038.0, 36.0], -6Q-kzgWPM, 5709144]
[ordered-list, [107.0, 1354.0, 1038.0, 36.0], -6Q-kzgWPM, 5709144]
[ordered-list, [107.0, 1390.0, 1038.0, 36.0], -6Q-kzgWPM, 5709144]
[ordered-list, [107.0, 1426.0, 1038.0, 36.0], -6Q-kzgWPM, 5709144]
