[2339, 1653]
[folio, [277.0, 223.0, 212.0, 36.0], shoonya_0sZFB0KO0O00CS, 5654998]
[reference, [260.0, 303.0, 1142.0, 36.0], shoonya_1sBA95KRS3YLLG, 5654998]
[reference, [260.0, 339.0, 1142.0, 36.0], shoonya_1sBA95KRS3YLLG, 5654998]
[reference, [260.0, 375.0, 1142.0, 36.0], shoonya_1sBA95KRS3YLLG, 5654998]
[reference, [260.0, 411.0, 1142.0, 36.0], shoonya_1sBA95KRS3YLLG, 5654998]
[reference, [260.0, 447.0, 1142.0, 36.0], shoonya_1sBA95KRS3YLLG, 5654998]
[reference, [260.0, 483.0, 1142.0, 36.0], shoonya_1sBA95KRS3YLLG, 5654998]
[reference, [260.0, 519.0, 1142.0, 36.0], shoonya_1sBA95KRS3YLLG, 5654998]
[reference, [260.0, 555.0, 1142.0, 36.0], shoonya_1sBA95KRS3YLLG, 5654998]
[reference, [260.0, 591.0, 1142.0, 36.0], shoonya_1sBA95KRS3YLLG, 5654998]
[reference, [260.0, 627.0, 1142.0, 36.0], shoonya_1sBA95KRS3YLLG, 5654998]
[reference, [260.0, 663.0, 1142.0, 36.0], shoonya_1sBA95KRS3YLLG, 5654998]
[reference, [260.0, 699.0, 1142.0, 36.0], shoonya_1sBA95KRS3YLLG, 5654998]
[reference, [260.0, 735.0, 1142.0, 36.0], shoonya_1sBA95KRS3YLLG, 5654998]
[reference, [260.0, 771.0, 1142.0, 36.0], shoonya_1sBA95KRS3YLLG, 5654998]
[reference, [260.0, 807.0, 1142.0, 36.0], shoonya_1sBA95KRS3YLLG, 5654998]
[reference, [260.0, 843.0, 1142.0, 36.0], shoonya_1sBA95KRS3YLLG, 5654998]
[reference, [260.0, 879.0, 1142.0, 36.0], shoonya_1sBA95KRS3YLLG, 5654998]
[reference, [260.0, 915.0, 1142.0, 36.0], shoonya_1sBA95KRS3YLLG, 5654998]
[reference, [260.0, 951.0, 1142.0, 36.0], shoonya_1sBA95KRS3YLLG, 5654998]
[reference, [260.0, 987.0, 1142.0, 36.0], shoonya_1sBA95KRS3YLLG, 5654998]
[reference, [260.0, 1023.0, 1142.0, 36.0], shoonya_1sBA95KRS3YLLG, 5654998]
[reference, [260.0, 1059.0, 1142.0, 36.0], shoonya_1sBA95KRS3YLLG, 5654998]
[reference, [260.0, 1095.0, 1142.0, 36.0], shoonya_1sBA95KRS3YLLG, 5654998]
[reference, [260.0, 1131.0, 1142.0, 36.0], shoonya_1sBA95KRS3YLLG, 5654998]
[reference, [260.0, 1167.0, 1142.0, 36.0], shoonya_1sBA95KRS3YLLG, 5654998]
[reference, [260.0, 1203.0, 1142.0, 36.0], shoonya_1sBA95KRS3YLLG, 5654998]
[reference, [260.0, 1239.0, 1142.0, 36.0], shoonya_1sBA95KRS3YLLG, 5654998]
[reference, [260.0, 1275.0, 1142.0, 36.0], shoonya_1sBA95KRS3YLLG, 5654998]
[reference, [260.0, 1311.0, 1142.0, 36.0], shoonya_1sBA95KRS3YLLG, 5654998]
[reference, [260.0, 1347.0, 1142.0, 36.0], shoonya_1sBA95KRS3YLLG, 5654998]
[reference, [260.0, 1383.0, 1142.0, 36.0], shoonya_1sBA95KRS3YLLG, 5654998]
[reference, [260.0, 1419.0, 1142.0, 36.0], shoonya_1sBA95KRS3YLLG, 5654998]
[reference, [260.0, 1455.0, 1142.0, 36.0], shoonya_1sBA95KRS3YLLG, 5654998]
