[3509, 2480]
[paragraph, [666.0, 394.0, 830.0, 52.5], shoonya_1sW94XDPFWKKL4, 5724125]
[paragraph, [666.0, 446.5, 830.0, 52.5], shoonya_1sW94XDPFWKKL4, 5724125]
[paragraph, [666.0, 499.0, 830.0, 52.5], shoonya_1sW94XDPFWKKL4, 5724125]
[paragraph, [666.0, 551.5, 830.0, 52.5], shoonya_1sW94XDPFWKKL4, 5724125]
[paragraph, [666.0, 604.0, 830.0, 52.5], shoonya_1sW94XDPFWKKL4, 5724125]
[paragraph, [666.0, 656.5, 830.0, 52.5], shoonya_1sW94XDPFWKKL4, 5724125]
[paragraph, [666.0, 709.0, 830.0, 52.5], shoonya_1sW94XDPFWKKL4, 5724125]
[paragraph, [517.0, 790.0, 886.0, 52.5], GEym77yd5_, 5724125]
[paragraph, [517.0, 842.5, 886.0, 52.5], GEym77yd5_, 5724125]
[paragraph, [517.0, 895.0, 886.0, 52.5], GEym77yd5_, 5724125]
[paragraph, [517.0, 947.5, 886.0, 52.5], GEym77yd5_, 5724125]
[paragraph, [517.0, 1000.0, 886.0, 52.5], GEym77yd5_, 5724125]
[paragraph, [517.0, 1052.5, 886.0, 52.5], GEym77yd5_, 5724125]
[paragraph, [517.0, 1105.0, 886.0, 52.5], GEym77yd5_, 5724125]
[paragraph, [517.0, 1157.5, 886.0, 52.5], GEym77yd5_, 5724125]
[paragraph, [517.0, 1210.0, 886.0, 52.5], GEym77yd5_, 5724125]
[paragraph, [365.0, 1339.0, 1754.0, 52.5], TXeEYnKgo9, 5724125]
[paragraph, [365.0, 1391.5, 1754.0, 52.5], TXeEYnKgo9, 5724125]
[paragraph, [365.0, 1444.0, 1754.0, 52.5], TXeEYnKgo9, 5724125]
[paragraph, [365.0, 1496.5, 1754.0, 52.5], TXeEYnKgo9, 5724125]
[paragraph, [365.0, 1549.0, 1754.0, 52.5], TXeEYnKgo9, 5724125]
[paragraph, [365.0, 1601.5, 1754.0, 52.5], TXeEYnKgo9, 5724125]
[paragraph, [365.0, 1654.0, 1754.0, 52.5], TXeEYnKgo9, 5724125]
[paragraph, [365.0, 1706.5, 1754.0, 52.5], TXeEYnKgo9, 5724125]
[paragraph, [365.0, 1759.0, 1754.0, 52.5], TXeEYnKgo9, 5724125]
[paragraph, [365.0, 1811.5, 1754.0, 52.5], TXeEYnKgo9, 5724125]
[paragraph, [365.0, 1864.0, 1754.0, 52.5], TXeEYnKgo9, 5724125]
[paragraph, [365.0, 1916.5, 1754.0, 52.5], TXeEYnKgo9, 5724125]
[paragraph, [365.0, 1969.0, 1754.0, 52.5], TXeEYnKgo9, 5724125]
[paragraph, [365.0, 2021.5, 1754.0, 52.5], TXeEYnKgo9, 5724125]
[paragraph, [365.0, 2074.0, 1754.0, 52.5], TXeEYnKgo9, 5724125]
[paragraph, [365.0, 2126.5, 1754.0, 52.5], TXeEYnKgo9, 5724125]
[paragraph, [364.0, 2257.0, 1761.0, 52.5], shoonya_2sSJHLLKYPKEG6, 5724125]
[paragraph, [364.0, 2309.5, 1761.0, 52.5], shoonya_2sSJHLLKYPKEG6, 5724125]
[paragraph, [364.0, 2362.0, 1761.0, 52.5], shoonya_2sSJHLLKYPKEG6, 5724125]
[paragraph, [364.0, 2414.5, 1761.0, 52.5], shoonya_2sSJHLLKYPKEG6, 5724125]
[paragraph, [364.0, 2467.0, 1761.0, 52.5], shoonya_2sSJHLLKYPKEG6, 5724125]
[paragraph, [364.0, 2519.5, 1761.0, 52.5], shoonya_2sSJHLLKYPKEG6, 5724125]
[paragraph, [364.0, 2572.0, 1761.0, 52.5], shoonya_2sSJHLLKYPKEG6, 5724125]
[paragraph, [364.0, 2624.5, 1761.0, 52.5], shoonya_2sSJHLLKYPKEG6, 5724125]
[paragraph, [364.0, 2677.0, 1761.0, 52.5], shoonya_2sSJHLLKYPKEG6, 5724125]
[paragraph, [364.0, 2729.5, 1761.0, 52.5], shoonya_2sSJHLLKYPKEG6, 5724125]
[paragraph, [364.0, 2782.0, 1761.0, 52.5], shoonya_2sSJHLLKYPKEG6, 5724125]
[paragraph, [364.0, 2834.5, 1761.0, 52.5], shoonya_2sSJHLLKYPKEG6, 5724125]
[paragraph, [364.0, 2887.0, 1761.0, 52.5], shoonya_2sSJHLLKYPKEG6, 5724125]
[paragraph, [364.0, 2939.5, 1761.0, 52.5], shoonya_2sSJHLLKYPKEG6, 5724125]
[paragraph, [364.0, 2992.0, 1761.0, 52.5], shoonya_2sSJHLLKYPKEG6, 5724125]
[paragraph, [364.0, 3044.5, 1761.0, 52.5], shoonya_2sSJHLLKYPKEG6, 5724125]
