[1650, 1275]
[paragraph, [255.0, 178.0, 836.0, 36.0], shoonya_0sVHAESNAU2SL6, 6471013]
[paragraph, [255.0, 214.0, 836.0, 36.0], shoonya_0sVHAESNAU2SL6, 6471013]
[paragraph, [255.0, 250.0, 836.0, 36.0], shoonya_0sVHAESNAU2SL6, 6471013]
[paragraph, [255.0, 286.0, 836.0, 36.0], shoonya_0sVHAESNAU2SL6, 6471013]
[paragraph, [255.0, 322.0, 836.0, 36.0], shoonya_0sVHAESNAU2SL6, 6471013]
[paragraph, [255.0, 358.0, 836.0, 36.0], shoonya_0sVHAESNAU2SL6, 6471013]
[paragraph, [255.0, 394.0, 836.0, 36.0], shoonya_0sVHAESNAU2SL6, 6471013]
[paragraph, [255.0, 430.0, 836.0, 36.0], shoonya_0sVHAESNAU2SL6, 6471013]
[paragraph, [255.0, 466.0, 836.0, 36.0], shoonya_0sVHAESNAU2SL6, 6471013]
[paragraph, [255.0, 502.0, 836.0, 36.0], shoonya_0sVHAESNAU2SL6, 6471013]
[paragraph, [255.0, 538.0, 836.0, 36.0], shoonya_0sVHAESNAU2SL6, 6471013]
[paragraph, [255.0, 574.0, 836.0, 36.0], shoonya_0sVHAESNAU2SL6, 6471013]
[paragraph, [255.0, 610.0, 836.0, 36.0], shoonya_0sVHAESNAU2SL6, 6471013]
[paragraph, [255.0, 646.0, 836.0, 36.0], shoonya_0sVHAESNAU2SL6, 6471013]
[paragraph, [255.0, 682.0, 836.0, 36.0], shoonya_0sVHAESNAU2SL6, 6471013]
[paragraph, [255.0, 718.0, 836.0, 36.0], shoonya_0sVHAESNAU2SL6, 6471013]
[paragraph, [255.0, 754.0, 836.0, 36.0], shoonya_0sVHAESNAU2SL6, 6471013]
[paragraph, [255.0, 790.0, 836.0, 36.0], shoonya_0sVHAESNAU2SL6, 6471013]
[paragraph, [255.0, 826.0, 836.0, 36.0], shoonya_0sVHAESNAU2SL6, 6471013]
[paragraph, [257.0, 909.0, 839.0, 36.0], shoonya_2sQ8VDP3CL3QA8, 6471013]
[paragraph, [257.0, 945.0, 839.0, 36.0], shoonya_2sQ8VDP3CL3QA8, 6471013]
[paragraph, [257.0, 981.0, 839.0, 36.0], shoonya_2sQ8VDP3CL3QA8, 6471013]
[paragraph, [257.0, 1017.0, 839.0, 36.0], shoonya_2sQ8VDP3CL3QA8, 6471013]
[paragraph, [257.0, 1053.0, 839.0, 36.0], shoonya_2sQ8VDP3CL3QA8, 6471013]
[paragraph, [257.0, 1089.0, 839.0, 36.0], shoonya_2sQ8VDP3CL3QA8, 6471013]
[paragraph, [257.0, 1125.0, 839.0, 36.0], shoonya_2sQ8VDP3CL3QA8, 6471013]
[paragraph, [257.0, 1161.0, 839.0, 36.0], shoonya_2sQ8VDP3CL3QA8, 6471013]
[paragraph, [257.0, 1197.0, 839.0, 36.0], shoonya_2sQ8VDP3CL3QA8, 6471013]
[paragraph, [255.0, 1282.0, 839.0, 36.0], shoonya_1sV0RCU06JC1OM, 6471013]
[paragraph, [255.0, 1318.0, 839.0, 36.0], shoonya_1sV0RCU06JC1OM, 6471013]
[paragraph, [255.0, 1354.0, 839.0, 36.0], shoonya_1sV0RCU06JC1OM, 6471013]
[paragraph, [255.0, 1390.0, 839.0, 36.0], shoonya_1sV0RCU06JC1OM, 6471013]
[paragraph, [255.0, 1426.0, 839.0, 36.0], shoonya_1sV0RCU06JC1OM, 6471013]
[paragraph, [255.0, 1462.0, 839.0, 36.0], shoonya_1sV0RCU06JC1OM, 6471013]
