[2339, 1656]
[figure-caption, [389.0, 608.0, 708.0, 36.0], shoonya_3s2SDZBSV8WM6T, 5730661]
[paragraph, [187.0, 704.0, 1283.0, 36.0], shoonya_0sJA2882F8CDK8, 5730661]
[paragraph, [187.0, 740.0, 1283.0, 36.0], shoonya_0sJA2882F8CDK8, 5730661]
[paragraph, [187.0, 776.0, 1283.0, 36.0], shoonya_0sJA2882F8CDK8, 5730661]
[paragraph, [187.0, 812.0, 1283.0, 36.0], shoonya_0sJA2882F8CDK8, 5730661]
[paragraph, [187.0, 848.0, 1283.0, 36.0], shoonya_0sJA2882F8CDK8, 5730661]
[paragraph, [187.0, 884.0, 1283.0, 36.0], shoonya_0sJA2882F8CDK8, 5730661]
[paragraph, [187.0, 920.0, 1283.0, 36.0], shoonya_0sJA2882F8CDK8, 5730661]
[paragraph, [187.0, 956.0, 1283.0, 36.0], shoonya_0sJA2882F8CDK8, 5730661]
[paragraph, [187.0, 992.0, 1283.0, 36.0], shoonya_0sJA2882F8CDK8, 5730661]
[paragraph, [187.0, 1028.0, 1283.0, 36.0], shoonya_0sJA2882F8CDK8, 5730661]
[paragraph, [187.0, 1064.0, 1283.0, 36.0], shoonya_0sJA2882F8CDK8, 5730661]
[paragraph, [187.0, 1100.0, 1283.0, 36.0], shoonya_0sJA2882F8CDK8, 5730661]
[paragraph, [187.0, 1136.0, 1283.0, 36.0], shoonya_0sJA2882F8CDK8, 5730661]
[paragraph, [187.0, 1172.0, 1283.0, 36.0], shoonya_0sJA2882F8CDK8, 5730661]
[paragraph, [187.0, 1208.0, 1283.0, 36.0], shoonya_0sJA2882F8CDK8, 5730661]
[paragraph, [187.0, 1244.0, 1283.0, 36.0], shoonya_0sJA2882F8CDK8, 5730661]
[paragraph, [187.0, 1280.0, 1283.0, 36.0], shoonya_0sJA2882F8CDK8, 5730661]
[paragraph, [187.0, 1316.0, 1283.0, 36.0], shoonya_0sJA2882F8CDK8, 5730661]
[paragraph, [187.0, 1352.0, 1283.0, 36.0], shoonya_0sJA2882F8CDK8, 5730661]
[paragraph, [187.0, 1388.0, 1283.0, 36.0], shoonya_0sJA2882F8CDK8, 5730661]
[paragraph, [187.0, 1424.0, 1283.0, 36.0], shoonya_0sJA2882F8CDK8, 5730661]
[paragraph, [187.0, 1460.0, 1283.0, 36.0], shoonya_0sJA2882F8CDK8, 5730661]
[paragraph, [187.0, 1496.0, 1283.0, 36.0], shoonya_0sJA2882F8CDK8, 5730661]
[paragraph, [187.0, 1532.0, 1283.0, 36.0], shoonya_0sJA2882F8CDK8, 5730661]
[paragraph, [187.0, 1568.0, 1283.0, 36.0], shoonya_0sJA2882F8CDK8, 5730661]
[paragraph, [184.0, 1639.0, 1280.0, 36.0], shoonya_2sI5XRTHQIHP2B, 5730661]
[paragraph, [184.0, 1675.0, 1280.0, 36.0], shoonya_2sI5XRTHQIHP2B, 5730661]
[paragraph, [184.0, 1711.0, 1280.0, 36.0], shoonya_2sI5XRTHQIHP2B, 5730661]
[paragraph, [184.0, 1747.0, 1280.0, 36.0], shoonya_2sI5XRTHQIHP2B, 5730661]
[paragraph, [184.0, 1783.0, 1280.0, 36.0], shoonya_2sI5XRTHQIHP2B, 5730661]
[paragraph, [184.0, 1819.0, 1280.0, 36.0], shoonya_2sI5XRTHQIHP2B, 5730661]
[paragraph, [184.0, 1855.0, 1280.0, 36.0], shoonya_2sI5XRTHQIHP2B, 5730661]
[paragraph, [184.0, 1891.0, 1280.0, 36.0], shoonya_2sI5XRTHQIHP2B, 5730661]
[paragraph, [184.0, 1927.0, 1280.0, 36.0], shoonya_2sI5XRTHQIHP2B, 5730661]
[paragraph, [184.0, 1963.0, 1280.0, 36.0], shoonya_2sI5XRTHQIHP2B, 5730661]
[paragraph, [184.0, 1999.0, 1280.0, 36.0], shoonya_2sI5XRTHQIHP2B, 5730661]
