[676, 461]
[folio, [224.0, 65.0, 74.0, 18.0], B_goljOWDT, 6464324]
[paragraph, [95.0, 103.0, 333.0, 18.0], BXvbd4BnEt, 6464324]
[paragraph, [95.0, 121.0, 333.0, 18.0], BXvbd4BnEt, 6464324]
[paragraph, [95.0, 139.0, 333.0, 18.0], BXvbd4BnEt, 6464324]
[paragraph, [95.0, 157.0, 333.0, 18.0], BXvbd4BnEt, 6464324]
[paragraph, [95.0, 175.0, 333.0, 18.0], BXvbd4BnEt, 6464324]
[paragraph, [95.0, 193.0, 333.0, 18.0], BXvbd4BnEt, 6464324]
[paragraph, [95.0, 211.0, 333.0, 18.0], BXvbd4BnEt, 6464324]
[paragraph, [95.0, 229.0, 333.0, 18.0], BXvbd4BnEt, 6464324]
[paragraph, [95.0, 247.0, 333.0, 18.0], BXvbd4BnEt, 6464324]
[paragraph, [95.0, 265.0, 333.0, 18.0], BXvbd4BnEt, 6464324]
[paragraph, [95.0, 283.0, 333.0, 18.0], BXvbd4BnEt, 6464324]
[paragraph, [95.0, 301.0, 333.0, 18.0], BXvbd4BnEt, 6464324]
[paragraph, [95.0, 319.0, 333.0, 18.0], BXvbd4BnEt, 6464324]
[paragraph, [95.0, 337.0, 333.0, 18.0], BXvbd4BnEt, 6464324]
[paragraph, [95.0, 355.0, 333.0, 18.0], BXvbd4BnEt, 6464324]
[paragraph, [95.0, 373.0, 333.0, 18.0], BXvbd4BnEt, 6464324]
[paragraph, [95.0, 391.0, 333.0, 18.0], BXvbd4BnEt, 6464324]
[paragraph, [95.0, 409.0, 333.0, 18.0], BXvbd4BnEt, 6464324]
[paragraph, [95.0, 427.0, 333.0, 18.0], BXvbd4BnEt, 6464324]
[paragraph, [95.0, 445.0, 333.0, 18.0], BXvbd4BnEt, 6464324]
[paragraph, [95.0, 463.0, 333.0, 18.0], BXvbd4BnEt, 6464324]
[paragraph, [95.0, 481.0, 333.0, 18.0], BXvbd4BnEt, 6464324]
[paragraph, [95.0, 499.0, 333.0, 18.0], BXvbd4BnEt, 6464324]
[paragraph, [95.0, 517.0, 333.0, 18.0], BXvbd4BnEt, 6464324]
[paragraph, [95.0, 535.0, 333.0, 18.0], BXvbd4BnEt, 6464324]
[paragraph, [95.0, 553.0, 333.0, 18.0], BXvbd4BnEt, 6464324]
[paragraph, [95.0, 571.0, 333.0, 18.0], BXvbd4BnEt, 6464324]
[footnote, [106.0, 645.0, 248.0, 18.0], UlLFsG7Ufk, 6464324]
