[2339, 1656]
[paragraph, [192.0, 194.0, 500.0, 36.0], -EK8lDfgH0, 5752914]
[paragraph, [192.0, 230.0, 500.0, 36.0], -EK8lDfgH0, 5752914]
[paragraph, [192.0, 266.0, 500.0, 36.0], -EK8lDfgH0, 5752914]
[paragraph, [192.0, 302.0, 500.0, 36.0], -EK8lDfgH0, 5752914]
[paragraph, [192.0, 338.0, 500.0, 36.0], -EK8lDfgH0, 5752914]
[paragraph, [180.0, 546.0, 865.0, 36.0], TswAuVJYs5, 5752914]
[paragraph, [180.0, 582.0, 865.0, 36.0], TswAuVJYs5, 5752914]
[paragraph, [180.0, 618.0, 865.0, 36.0], TswAuVJYs5, 5752914]
[paragraph, [180.0, 654.0, 865.0, 36.0], TswAuVJYs5, 5752914]
[paragraph, [180.0, 690.0, 865.0, 36.0], TswAuVJYs5, 5752914]
[paragraph, [180.0, 726.0, 865.0, 36.0], TswAuVJYs5, 5752914]
[paragraph, [180.0, 762.0, 865.0, 36.0], TswAuVJYs5, 5752914]
[paragraph, [180.0, 798.0, 865.0, 36.0], TswAuVJYs5, 5752914]
[paragraph, [180.0, 834.0, 865.0, 36.0], TswAuVJYs5, 5752914]
[paragraph, [180.0, 870.0, 865.0, 36.0], TswAuVJYs5, 5752914]
[paragraph, [180.0, 906.0, 865.0, 36.0], TswAuVJYs5, 5752914]
[paragraph, [180.0, 942.0, 865.0, 36.0], TswAuVJYs5, 5752914]
[paragraph, [180.0, 978.0, 865.0, 36.0], TswAuVJYs5, 5752914]
[paragraph, [180.0, 1014.0, 865.0, 36.0], TswAuVJYs5, 5752914]
[paragraph, [180.0, 1050.0, 865.0, 36.0], TswAuVJYs5, 5752914]
[paragraph, [180.0, 1086.0, 865.0, 36.0], TswAuVJYs5, 5752914]
[paragraph, [180.0, 1122.0, 865.0, 36.0], TswAuVJYs5, 5752914]
[paragraph, [180.0, 1158.0, 865.0, 36.0], TswAuVJYs5, 5752914]
[paragraph, [182.0, 1353.0, 865.0, 36.0], E0A1_hvchv, 5752914]
[paragraph, [182.0, 1389.0, 865.0, 36.0], E0A1_hvchv, 5752914]
[paragraph, [182.0, 1425.0, 865.0, 36.0], E0A1_hvchv, 5752914]
[paragraph, [182.0, 1461.0, 865.0, 36.0], E0A1_hvchv, 5752914]
[paragraph, [182.0, 1497.0, 865.0, 36.0], E0A1_hvchv, 5752914]
[paragraph, [182.0, 1533.0, 865.0, 36.0], E0A1_hvchv, 5752914]
[paragraph, [182.0, 1569.0, 865.0, 36.0], E0A1_hvchv, 5752914]
[paragraph, [182.0, 1605.0, 865.0, 36.0], E0A1_hvchv, 5752914]
[paragraph, [182.0, 1641.0, 865.0, 36.0], E0A1_hvchv, 5752914]
[paragraph, [182.0, 1677.0, 865.0, 36.0], E0A1_hvchv, 5752914]
[paragraph, [182.0, 1713.0, 865.0, 36.0], E0A1_hvchv, 5752914]
[paragraph, [182.0, 1749.0, 865.0, 36.0], E0A1_hvchv, 5752914]
[paragraph, [182.0, 1785.0, 865.0, 36.0], E0A1_hvchv, 5752914]
[paragraph, [182.0, 1821.0, 865.0, 36.0], E0A1_hvchv, 5752914]
[paragraph, [182.0, 1857.0, 865.0, 36.0], E0A1_hvchv, 5752914]
[paragraph, [182.0, 1893.0, 865.0, 36.0], E0A1_hvchv, 5752914]
[paragraph, [182.0, 1929.0, 865.0, 36.0], E0A1_hvchv, 5752914]
[paragraph, [182.0, 1965.0, 865.0, 36.0], E0A1_hvchv, 5752914]
[paragraph, [182.0, 2001.0, 865.0, 36.0], E0A1_hvchv, 5752914]
[folio, [287.0, 2247.0, 175.0, 36.0], jAaE1VW5xK, 5752914]
