[576, 792]
[section-title, [47.0, 197.0, 196.0, 30.0], OLWYX5uw4W, 5656924]
[paragraph, [54.0, 238.0, 264.0, 18.0], shoonya_5sU8ZTI6TL0W5Z, 5656924]
[paragraph, [54.0, 256.0, 264.0, 18.0], shoonya_5sU8ZTI6TL0W5Z, 5656924]
[paragraph, [54.0, 274.0, 264.0, 18.0], shoonya_5sU8ZTI6TL0W5Z, 5656924]
[paragraph, [54.0, 292.0, 264.0, 18.0], shoonya_5sU8ZTI6TL0W5Z, 5656924]
[unordered-list, [372.0, 286.0, 370.0, 18.0], shoonya_0s2O543Z2FK0G2, 5656924]
[unordered-list, [372.0, 304.0, 370.0, 18.0], shoonya_0s2O543Z2FK0G2, 5656924]
[unordered-list, [372.0, 322.0, 370.0, 18.0], shoonya_0s2O543Z2FK0G2, 5656924]
[unordered-list, [372.0, 340.0, 370.0, 18.0], shoonya_0s2O543Z2FK0G2, 5656924]
[unordered-list, [372.0, 358.0, 370.0, 18.0], shoonya_0s2O543Z2FK0G2, 5656924]
[unordered-list, [372.0, 376.0, 370.0, 18.0], shoonya_0s2O543Z2FK0G2, 5656924]
[unordered-list, [372.0, 394.0, 370.0, 18.0], shoonya_0s2O543Z2FK0G2, 5656924]
[unordered-list, [372.0, 412.0, 370.0, 18.0], shoonya_0s2O543Z2FK0G2, 5656924]
[unordered-list, [372.0, 430.0, 370.0, 18.0], shoonya_0s2O543Z2FK0G2, 5656924]
[unordered-list, [372.0, 448.0, 370.0, 18.0], shoonya_0s2O543Z2FK0G2, 5656924]
[paragraph, [62.0, 313.0, 244.0, 18.0], shoonya_1sZ3KVQSZ1HZDR, 5656924]
[paragraph, [62.0, 331.0, 244.0, 18.0], shoonya_1sZ3KVQSZ1HZDR, 5656924]
[paragraph, [62.0, 349.0, 244.0, 18.0], shoonya_1sZ3KVQSZ1HZDR, 5656924]
[paragraph, [62.0, 367.0, 244.0, 18.0], shoonya_1sZ3KVQSZ1HZDR, 5656924]
[folio, [11.0, 506.0, 205.0, 18.0], eiLNOsbH8b, 5656924]
[folio, [11.0, 524.0, 205.0, 18.0], eiLNOsbH8b, 5656924]
