[2061, 1233]
[paragraph, [93.0, 120.0, 1027.0, 36.0], shoonya_4sD8D3IU2MPNLF, 5692375]
[paragraph, [93.0, 156.0, 1027.0, 36.0], shoonya_4sD8D3IU2MPNLF, 5692375]
[paragraph, [93.0, 192.0, 1027.0, 36.0], shoonya_4sD8D3IU2MPNLF, 5692375]
[paragraph, [93.0, 228.0, 1027.0, 36.0], shoonya_4sD8D3IU2MPNLF, 5692375]
[paragraph, [93.0, 264.0, 1027.0, 36.0], shoonya_4sD8D3IU2MPNLF, 5692375]
[paragraph, [93.0, 300.0, 1027.0, 36.0], shoonya_4sD8D3IU2MPNLF, 5692375]
[paragraph, [93.0, 336.0, 1027.0, 36.0], shoonya_4sD8D3IU2MPNLF, 5692375]
[paragraph, [99.0, 405.0, 1023.0, 36.0], shoonya_2s373HJC2MF5LA, 5692375]
[paragraph, [99.0, 441.0, 1023.0, 36.0], shoonya_2s373HJC2MF5LA, 5692375]
[paragraph, [99.0, 477.0, 1023.0, 36.0], shoonya_2s373HJC2MF5LA, 5692375]
[paragraph, [99.0, 513.0, 1023.0, 36.0], shoonya_2s373HJC2MF5LA, 5692375]
[paragraph, [99.0, 549.0, 1023.0, 36.0], shoonya_2s373HJC2MF5LA, 5692375]
[paragraph, [99.0, 585.0, 1023.0, 36.0], shoonya_2s373HJC2MF5LA, 5692375]
[paragraph, [99.0, 621.0, 1023.0, 36.0], shoonya_2s373HJC2MF5LA, 5692375]
[paragraph, [99.0, 657.0, 1023.0, 36.0], shoonya_2s373HJC2MF5LA, 5692375]
[paragraph, [99.0, 693.0, 1023.0, 36.0], shoonya_2s373HJC2MF5LA, 5692375]
[paragraph, [99.0, 729.0, 1023.0, 36.0], shoonya_2s373HJC2MF5LA, 5692375]
[paragraph, [99.0, 765.0, 1023.0, 36.0], shoonya_2s373HJC2MF5LA, 5692375]
[paragraph, [99.0, 801.0, 1023.0, 36.0], shoonya_2s373HJC2MF5LA, 5692375]
[paragraph, [99.0, 837.0, 1023.0, 36.0], shoonya_2s373HJC2MF5LA, 5692375]
[paragraph, [99.0, 873.0, 1023.0, 36.0], shoonya_2s373HJC2MF5LA, 5692375]
[paragraph, [96.0, 972.0, 1026.0, 36.0], shoonya_0sE8DCILOCM2ZN, 5692375]
[paragraph, [96.0, 1008.0, 1026.0, 36.0], shoonya_0sE8DCILOCM2ZN, 5692375]
[paragraph, [96.0, 1044.0, 1026.0, 36.0], shoonya_0sE8DCILOCM2ZN, 5692375]
[paragraph, [96.0, 1080.0, 1026.0, 36.0], shoonya_0sE8DCILOCM2ZN, 5692375]
[paragraph, [96.0, 1116.0, 1026.0, 36.0], shoonya_0sE8DCILOCM2ZN, 5692375]
[paragraph, [96.0, 1152.0, 1026.0, 36.0], shoonya_0sE8DCILOCM2ZN, 5692375]
[paragraph, [96.0, 1188.0, 1026.0, 36.0], shoonya_0sE8DCILOCM2ZN, 5692375]
[paragraph, [96.0, 1224.0, 1026.0, 36.0], shoonya_0sE8DCILOCM2ZN, 5692375]
[paragraph, [96.0, 1260.0, 1026.0, 36.0], shoonya_0sE8DCILOCM2ZN, 5692375]
[paragraph, [96.0, 1296.0, 1026.0, 36.0], shoonya_0sE8DCILOCM2ZN, 5692375]
[paragraph, [96.0, 1332.0, 1026.0, 36.0], shoonya_0sE8DCILOCM2ZN, 5692375]
[paragraph, [96.0, 1368.0, 1026.0, 36.0], shoonya_0sE8DCILOCM2ZN, 5692375]
[paragraph, [96.0, 1404.0, 1026.0, 36.0], shoonya_0sE8DCILOCM2ZN, 5692375]
[paragraph, [96.0, 1440.0, 1026.0, 36.0], shoonya_0sE8DCILOCM2ZN, 5692375]
[paragraph, [96.0, 1476.0, 1026.0, 36.0], shoonya_0sE8DCILOCM2ZN, 5692375]
[paragraph, [96.0, 1512.0, 1026.0, 36.0], shoonya_0sE8DCILOCM2ZN, 5692375]
[paragraph, [96.0, 1548.0, 1026.0, 36.0], shoonya_0sE8DCILOCM2ZN, 5692375]
[paragraph, [96.0, 1584.0, 1026.0, 36.0], shoonya_0sE8DCILOCM2ZN, 5692375]
[paragraph, [96.0, 1620.0, 1026.0, 36.0], shoonya_0sE8DCILOCM2ZN, 5692375]
[paragraph, [96.0, 1656.0, 1026.0, 36.0], shoonya_0sE8DCILOCM2ZN, 5692375]
[paragraph, [96.0, 1692.0, 1026.0, 36.0], shoonya_0sE8DCILOCM2ZN, 5692375]
[paragraph, [96.0, 1728.0, 1026.0, 36.0], shoonya_0sE8DCILOCM2ZN, 5692375]
[paragraph, [104.0, 1765.0, 1021.0, 36.0], 8QD4ROf9sZ, 5692375]
[paragraph, [104.0, 1801.0, 1021.0, 36.0], 8QD4ROf9sZ, 5692375]
[paragraph, [104.0, 1837.0, 1021.0, 36.0], 8QD4ROf9sZ, 5692375]
