[792, 612]
[paragraph, [192.0, 32.0, 369.0, 18.0], shoonya_0s9BE01NOY1FFQ, 6461334]
[paragraph, [192.0, 50.0, 369.0, 18.0], shoonya_0s9BE01NOY1FFQ, 6461334]
[paragraph, [191.0, 77.0, 340.0, 18.0], j41z8wOtFw, 6461334]
[ordered-list, [354.0, 98.0, 205.0, 18.0], PuBoUNw59e, 6461334]
[ordered-list, [194.0, 119.0, 367.0, 18.0], bTd86JIBcV, 6461334]
[ordered-list, [194.0, 137.0, 367.0, 18.0], bTd86JIBcV, 6461334]
[ordered-list, [194.0, 155.0, 367.0, 18.0], bTd86JIBcV, 6461334]
[ordered-list, [194.0, 173.0, 367.0, 18.0], bTd86JIBcV, 6461334]
[ordered-list, [194.0, 191.0, 367.0, 18.0], bTd86JIBcV, 6461334]
[ordered-list, [194.0, 209.0, 367.0, 18.0], bTd86JIBcV, 6461334]
[ordered-list, [194.0, 227.0, 367.0, 18.0], bTd86JIBcV, 6461334]
[ordered-list, [190.0, 261.0, 381.0, 18.0], wJLRH5sw9c, 6461334]
[ordered-list, [190.0, 279.0, 381.0, 18.0], wJLRH5sw9c, 6461334]
[ordered-list, [190.0, 297.0, 381.0, 18.0], wJLRH5sw9c, 6461334]
[ordered-list, [190.0, 315.0, 381.0, 18.0], wJLRH5sw9c, 6461334]
[ordered-list, [190.0, 333.0, 381.0, 18.0], wJLRH5sw9c, 6461334]
[ordered-list, [190.0, 351.0, 381.0, 18.0], wJLRH5sw9c, 6461334]
[ordered-list, [190.0, 369.0, 381.0, 18.0], wJLRH5sw9c, 6461334]
[ordered-list, [190.0, 387.0, 381.0, 18.0], wJLRH5sw9c, 6461334]
[ordered-list, [190.0, 405.0, 381.0, 18.0], wJLRH5sw9c, 6461334]
[ordered-list, [190.0, 423.0, 381.0, 18.0], wJLRH5sw9c, 6461334]
[ordered-list, [190.0, 441.0, 381.0, 18.0], wJLRH5sw9c, 6461334]
[ordered-list, [190.0, 459.0, 381.0, 18.0], wJLRH5sw9c, 6461334]
[ordered-list, [190.0, 477.0, 381.0, 18.0], wJLRH5sw9c, 6461334]
[ordered-list, [190.0, 495.0, 381.0, 18.0], wJLRH5sw9c, 6461334]
[ordered-list, [190.0, 513.0, 381.0, 18.0], wJLRH5sw9c, 6461334]
[ordered-list, [190.0, 531.0, 381.0, 18.0], wJLRH5sw9c, 6461334]
[ordered-list, [190.0, 549.0, 381.0, 18.0], wJLRH5sw9c, 6461334]
[ordered-list, [190.0, 567.0, 381.0, 18.0], wJLRH5sw9c, 6461334]
[ordered-list, [190.0, 585.0, 381.0, 18.0], wJLRH5sw9c, 6461334]
[ordered-list, [190.0, 603.0, 381.0, 18.0], wJLRH5sw9c, 6461334]
[ordered-list, [190.0, 621.0, 381.0, 18.0], wJLRH5sw9c, 6461334]
[ordered-list, [190.0, 639.0, 381.0, 18.0], wJLRH5sw9c, 6461334]
[ordered-list, [190.0, 657.0, 381.0, 18.0], wJLRH5sw9c, 6461334]
[sub-ordered-list, [270.0, 420.0, 289.0, 18.0], kimADPyena, 6461334]
[sub-ordered-list, [194.0, 441.0, 366.0, 18.0], W0aeKlKOzo, 6461334]
[sub-ordered-list, [194.0, 459.0, 366.0, 18.0], W0aeKlKOzo, 6461334]
[sub-ordered-list, [194.0, 477.0, 366.0, 18.0], W0aeKlKOzo, 6461334]
[sub-ordered-list, [409.0, 578.0, 154.0, 18.0], 1NYiW9y7w3, 6461334]
[sub-ordered-list, [197.0, 599.0, 369.0, 18.0], KlJtL0imsb, 6461334]
[sub-ordered-list, [197.0, 617.0, 369.0, 18.0], KlJtL0imsb, 6461334]
[sub-ordered-list, [197.0, 635.0, 369.0, 18.0], KlJtL0imsb, 6461334]
[sub-ordered-list, [197.0, 653.0, 369.0, 18.0], KlJtL0imsb, 6461334]
[folio, [190.0, 713.0, 153.0, 18.0], 2DktRLj8qU, 6461334]
