[1754, 1241]
[ordered-list, [143.0, 102.0, 983.0, 36.0], shoonya_1sBD7JKWU6B0UZ, 5706624]
[ordered-list, [143.0, 138.0, 983.0, 36.0], shoonya_1sBD7JKWU6B0UZ, 5706624]
[ordered-list, [143.0, 174.0, 983.0, 36.0], shoonya_1sBD7JKWU6B0UZ, 5706624]
[ordered-list, [143.0, 210.0, 983.0, 36.0], shoonya_1sBD7JKWU6B0UZ, 5706624]
[ordered-list, [143.0, 246.0, 983.0, 36.0], shoonya_1sBD7JKWU6B0UZ, 5706624]
[ordered-list, [143.0, 282.0, 983.0, 36.0], shoonya_1sBD7JKWU6B0UZ, 5706624]
[ordered-list, [143.0, 318.0, 983.0, 36.0], shoonya_1sBD7JKWU6B0UZ, 5706624]
[ordered-list, [143.0, 354.0, 983.0, 36.0], shoonya_1sBD7JKWU6B0UZ, 5706624]
[ordered-list, [143.0, 390.0, 983.0, 36.0], shoonya_1sBD7JKWU6B0UZ, 5706624]
[ordered-list, [143.0, 426.0, 983.0, 36.0], shoonya_1sBD7JKWU6B0UZ, 5706624]
[ordered-list, [143.0, 462.0, 983.0, 36.0], shoonya_1sBD7JKWU6B0UZ, 5706624]
[ordered-list, [143.0, 498.0, 983.0, 36.0], shoonya_1sBD7JKWU6B0UZ, 5706624]
[ordered-list, [143.0, 534.0, 983.0, 36.0], shoonya_1sBD7JKWU6B0UZ, 5706624]
[ordered-list, [143.0, 570.0, 983.0, 36.0], shoonya_1sBD7JKWU6B0UZ, 5706624]
[ordered-list, [143.0, 606.0, 983.0, 36.0], shoonya_1sBD7JKWU6B0UZ, 5706624]
[ordered-list, [143.0, 642.0, 983.0, 36.0], shoonya_1sBD7JKWU6B0UZ, 5706624]
[ordered-list, [143.0, 678.0, 983.0, 36.0], shoonya_1sBD7JKWU6B0UZ, 5706624]
[ordered-list, [143.0, 714.0, 983.0, 36.0], shoonya_1sBD7JKWU6B0UZ, 5706624]
[ordered-list, [143.0, 750.0, 983.0, 36.0], shoonya_1sBD7JKWU6B0UZ, 5706624]
[ordered-list, [143.0, 786.0, 983.0, 36.0], shoonya_1sBD7JKWU6B0UZ, 5706624]
[ordered-list, [143.0, 822.0, 983.0, 36.0], shoonya_1sBD7JKWU6B0UZ, 5706624]
[ordered-list, [143.0, 858.0, 983.0, 36.0], shoonya_1sBD7JKWU6B0UZ, 5706624]
[ordered-list, [143.0, 894.0, 983.0, 36.0], shoonya_1sBD7JKWU6B0UZ, 5706624]
[ordered-list, [143.0, 930.0, 983.0, 36.0], shoonya_1sBD7JKWU6B0UZ, 5706624]
[ordered-list, [143.0, 966.0, 983.0, 36.0], shoonya_1sBD7JKWU6B0UZ, 5706624]
[ordered-list, [143.0, 1002.0, 983.0, 36.0], shoonya_1sBD7JKWU6B0UZ, 5706624]
[ordered-list, [143.0, 1038.0, 983.0, 36.0], shoonya_1sBD7JKWU6B0UZ, 5706624]
[ordered-list, [143.0, 1074.0, 983.0, 36.0], shoonya_1sBD7JKWU6B0UZ, 5706624]
[ordered-list, [143.0, 1110.0, 983.0, 36.0], shoonya_1sBD7JKWU6B0UZ, 5706624]
[ordered-list, [143.0, 1146.0, 983.0, 36.0], shoonya_1sBD7JKWU6B0UZ, 5706624]
[ordered-list, [143.0, 1182.0, 983.0, 36.0], shoonya_1sBD7JKWU6B0UZ, 5706624]
[ordered-list, [143.0, 1218.0, 983.0, 36.0], shoonya_1sBD7JKWU6B0UZ, 5706624]
[ordered-list, [143.0, 1254.0, 983.0, 36.0], shoonya_1sBD7JKWU6B0UZ, 5706624]
[ordered-list, [143.0, 1290.0, 983.0, 36.0], shoonya_1sBD7JKWU6B0UZ, 5706624]
[ordered-list, [143.0, 1326.0, 983.0, 36.0], shoonya_1sBD7JKWU6B0UZ, 5706624]
[ordered-list, [143.0, 1362.0, 983.0, 36.0], shoonya_1sBD7JKWU6B0UZ, 5706624]
[ordered-list, [143.0, 1398.0, 983.0, 36.0], shoonya_1sBD7JKWU6B0UZ, 5706624]
[ordered-list, [143.0, 1434.0, 983.0, 36.0], shoonya_1sBD7JKWU6B0UZ, 5706624]
[ordered-list, [143.0, 1470.0, 983.0, 36.0], shoonya_1sBD7JKWU6B0UZ, 5706624]
[ordered-list, [143.0, 1506.0, 983.0, 36.0], shoonya_1sBD7JKWU6B0UZ, 5706624]
[ordered-list, [143.0, 1542.0, 983.0, 36.0], shoonya_1sBD7JKWU6B0UZ, 5706624]
[ordered-list, [143.0, 1578.0, 983.0, 36.0], shoonya_1sBD7JKWU6B0UZ, 5706624]
