[1755, 1240]
[paragraph, [228.0, 566.0, 784.0, 36.0], shoonya_0sHRX7TM5D0GEV, 5743632]
[paragraph, [228.0, 602.0, 784.0, 36.0], shoonya_0sHRX7TM5D0GEV, 5743632]
[paragraph, [228.0, 638.0, 784.0, 36.0], shoonya_0sHRX7TM5D0GEV, 5743632]
[paragraph, [228.0, 674.0, 784.0, 36.0], shoonya_0sHRX7TM5D0GEV, 5743632]
[paragraph, [228.0, 710.0, 784.0, 36.0], shoonya_0sHRX7TM5D0GEV, 5743632]
[paragraph, [228.0, 746.0, 784.0, 36.0], shoonya_0sHRX7TM5D0GEV, 5743632]
[paragraph, [228.0, 782.0, 784.0, 36.0], shoonya_0sHRX7TM5D0GEV, 5743632]
[paragraph, [228.0, 818.0, 784.0, 36.0], shoonya_0sHRX7TM5D0GEV, 5743632]
[paragraph, [228.0, 854.0, 784.0, 36.0], shoonya_0sHRX7TM5D0GEV, 5743632]
[paragraph, [228.0, 890.0, 784.0, 36.0], shoonya_0sHRX7TM5D0GEV, 5743632]
[paragraph, [228.0, 926.0, 784.0, 36.0], shoonya_0sHRX7TM5D0GEV, 5743632]
[paragraph, [228.0, 962.0, 784.0, 36.0], shoonya_0sHRX7TM5D0GEV, 5743632]
[paragraph, [228.0, 998.0, 784.0, 36.0], shoonya_0sHRX7TM5D0GEV, 5743632]
[paragraph, [228.0, 1034.0, 784.0, 36.0], shoonya_0sHRX7TM5D0GEV, 5743632]
[paragraph, [228.0, 1070.0, 784.0, 36.0], shoonya_0sHRX7TM5D0GEV, 5743632]
[paragraph, [228.0, 1106.0, 784.0, 36.0], shoonya_0sHRX7TM5D0GEV, 5743632]
[paragraph, [228.0, 1142.0, 784.0, 36.0], shoonya_0sHRX7TM5D0GEV, 5743632]
[paragraph, [228.0, 1178.0, 784.0, 36.0], shoonya_0sHRX7TM5D0GEV, 5743632]
[paragraph, [229.0, 1235.0, 782.0, 36.0], shoonya_1s5QKMRPFNWFSS, 5743632]
[paragraph, [229.0, 1271.0, 782.0, 36.0], shoonya_1s5QKMRPFNWFSS, 5743632]
[paragraph, [229.0, 1307.0, 782.0, 36.0], shoonya_1s5QKMRPFNWFSS, 5743632]
[paragraph, [229.0, 1343.0, 782.0, 36.0], shoonya_1s5QKMRPFNWFSS, 5743632]
[paragraph, [229.0, 1379.0, 782.0, 36.0], shoonya_1s5QKMRPFNWFSS, 5743632]
[paragraph, [229.0, 1415.0, 782.0, 36.0], shoonya_1s5QKMRPFNWFSS, 5743632]
