[1754, 1241]
[paragraph, [211.0, 141.0, 884.0, 36.0], shoonya_0sRY0LPZX2Y81T, 6471137]
[paragraph, [211.0, 177.0, 884.0, 36.0], shoonya_0sRY0LPZX2Y81T, 6471137]
[paragraph, [211.0, 213.0, 884.0, 36.0], shoonya_0sRY0LPZX2Y81T, 6471137]
[paragraph, [211.0, 249.0, 884.0, 36.0], shoonya_0sRY0LPZX2Y81T, 6471137]
[paragraph, [211.0, 285.0, 884.0, 36.0], shoonya_0sRY0LPZX2Y81T, 6471137]
[paragraph, [211.0, 321.0, 884.0, 36.0], shoonya_0sRY0LPZX2Y81T, 6471137]
[paragraph, [211.0, 357.0, 884.0, 36.0], shoonya_0sRY0LPZX2Y81T, 6471137]
[paragraph, [211.0, 393.0, 884.0, 36.0], shoonya_0sRY0LPZX2Y81T, 6471137]
[paragraph, [211.0, 429.0, 884.0, 36.0], shoonya_0sRY0LPZX2Y81T, 6471137]
[paragraph, [207.0, 485.0, 885.0, 36.0], K1Nbz4vW6G, 6471137]
[paragraph, [207.0, 521.0, 885.0, 36.0], K1Nbz4vW6G, 6471137]
[paragraph, [207.0, 557.0, 885.0, 36.0], K1Nbz4vW6G, 6471137]
[paragraph, [207.0, 593.0, 885.0, 36.0], K1Nbz4vW6G, 6471137]
[paragraph, [207.0, 629.0, 885.0, 36.0], K1Nbz4vW6G, 6471137]
[paragraph, [207.0, 665.0, 885.0, 36.0], K1Nbz4vW6G, 6471137]
[paragraph, [207.0, 701.0, 885.0, 36.0], K1Nbz4vW6G, 6471137]
[paragraph, [209.0, 778.0, 884.0, 36.0], LlUGZhCk10, 6471137]
[paragraph, [209.0, 814.0, 884.0, 36.0], LlUGZhCk10, 6471137]
[paragraph, [209.0, 850.0, 884.0, 36.0], LlUGZhCk10, 6471137]
[paragraph, [209.0, 886.0, 884.0, 36.0], LlUGZhCk10, 6471137]
[paragraph, [209.0, 922.0, 884.0, 36.0], LlUGZhCk10, 6471137]
[paragraph, [209.0, 958.0, 884.0, 36.0], LlUGZhCk10, 6471137]
[paragraph, [209.0, 994.0, 884.0, 36.0], LlUGZhCk10, 6471137]
[paragraph, [207.0, 1063.0, 887.0, 36.0], a_bJA_XqCT, 6471137]
[paragraph, [207.0, 1099.0, 887.0, 36.0], a_bJA_XqCT, 6471137]
[paragraph, [207.0, 1135.0, 887.0, 36.0], a_bJA_XqCT, 6471137]
[paragraph, [207.0, 1171.0, 887.0, 36.0], a_bJA_XqCT, 6471137]
[paragraph, [207.0, 1207.0, 887.0, 36.0], a_bJA_XqCT, 6471137]
[paragraph, [207.0, 1243.0, 887.0, 36.0], a_bJA_XqCT, 6471137]
[paragraph, [207.0, 1279.0, 887.0, 36.0], a_bJA_XqCT, 6471137]
[paragraph, [207.0, 1315.0, 887.0, 36.0], a_bJA_XqCT, 6471137]
[paragraph, [207.0, 1351.0, 887.0, 36.0], a_bJA_XqCT, 6471137]
[paragraph, [206.0, 1411.0, 895.0, 36.0], vVARsJzxcZ, 6471137]
[paragraph, [206.0, 1447.0, 895.0, 36.0], vVARsJzxcZ, 6471137]
[paragraph, [206.0, 1483.0, 895.0, 36.0], vVARsJzxcZ, 6471137]
[paragraph, [206.0, 1519.0, 895.0, 36.0], vVARsJzxcZ, 6471137]
