[1951, 1219]
[folio, [801.0, 127.0, 191.0, 36.0], shoonya_0sY0IR6W1SWYZD, 5682916]
[paragraph, [120.0, 219.0, 966.0, 36.0], Dc82h-qVP6, 5682916]
[paragraph, [120.0, 255.0, 966.0, 36.0], Dc82h-qVP6, 5682916]
[paragraph, [120.0, 291.0, 966.0, 36.0], Dc82h-qVP6, 5682916]
[paragraph, [120.0, 339.0, 965.0, 36.0], utVDJSsHcN, 5682916]
[paragraph, [120.0, 375.0, 965.0, 36.0], utVDJSsHcN, 5682916]
[paragraph, [120.0, 411.0, 965.0, 36.0], utVDJSsHcN, 5682916]
[paragraph, [120.0, 447.0, 965.0, 36.0], utVDJSsHcN, 5682916]
[paragraph, [121.0, 507.0, 971.0, 36.0], N7Zgq9EuCe, 5682916]
[paragraph, [121.0, 543.0, 971.0, 36.0], N7Zgq9EuCe, 5682916]
[paragraph, [121.0, 579.0, 971.0, 36.0], N7Zgq9EuCe, 5682916]
[paragraph, [121.0, 615.0, 971.0, 36.0], N7Zgq9EuCe, 5682916]
[paragraph, [121.0, 682.0, 974.0, 36.0], z0WMuoOvrg, 5682916]
[paragraph, [121.0, 718.0, 974.0, 36.0], z0WMuoOvrg, 5682916]
[paragraph, [121.0, 754.0, 974.0, 36.0], z0WMuoOvrg, 5682916]
[paragraph, [121.0, 790.0, 974.0, 36.0], z0WMuoOvrg, 5682916]
[paragraph, [121.0, 826.0, 974.0, 36.0], z0WMuoOvrg, 5682916]
[paragraph, [121.0, 862.0, 974.0, 36.0], z0WMuoOvrg, 5682916]
[paragraph, [121.0, 898.0, 974.0, 36.0], z0WMuoOvrg, 5682916]
[paragraph, [121.0, 934.0, 974.0, 36.0], z0WMuoOvrg, 5682916]
[paragraph, [121.0, 970.0, 974.0, 36.0], z0WMuoOvrg, 5682916]
[paragraph, [121.0, 1030.0, 970.0, 36.0], NjmS5R6I3O, 5682916]
[paragraph, [121.0, 1066.0, 970.0, 36.0], NjmS5R6I3O, 5682916]
[paragraph, [121.0, 1102.0, 970.0, 36.0], NjmS5R6I3O, 5682916]
[paragraph, [121.0, 1138.0, 970.0, 36.0], NjmS5R6I3O, 5682916]
[paragraph, [121.0, 1174.0, 970.0, 36.0], NjmS5R6I3O, 5682916]
[paragraph, [121.0, 1210.0, 970.0, 36.0], NjmS5R6I3O, 5682916]
[paragraph, [121.0, 1246.0, 970.0, 36.0], NjmS5R6I3O, 5682916]
[paragraph, [123.0, 1321.0, 975.0, 36.0], NvcXoMDcpW, 5682916]
[paragraph, [123.0, 1357.0, 975.0, 36.0], NvcXoMDcpW, 5682916]
[paragraph, [123.0, 1393.0, 975.0, 36.0], NvcXoMDcpW, 5682916]
[paragraph, [123.0, 1429.0, 975.0, 36.0], NvcXoMDcpW, 5682916]
[paragraph, [123.0, 1465.0, 975.0, 36.0], NvcXoMDcpW, 5682916]
[paragraph, [123.0, 1501.0, 975.0, 36.0], NvcXoMDcpW, 5682916]
[paragraph, [214.0, 1554.0, 495.0, 36.0], nR3M6LCjGC, 5682916]
[paragraph, [123.0, 1611.0, 978.0, 36.0], y0yDmdRDXr, 5682916]
[paragraph, [123.0, 1647.0, 978.0, 36.0], y0yDmdRDXr, 5682916]
[paragraph, [123.0, 1683.0, 978.0, 36.0], y0yDmdRDXr, 5682916]
[paragraph, [123.0, 1719.0, 978.0, 36.0], y0yDmdRDXr, 5682916]
[paragraph, [219.0, 1784.0, 860.0, 36.0], EZYGo88X_o, 5682916]
