[1787, 1218]
[paragraph, [106.0, 102.0, 996.0, 36.0], shoonya_1sYII8OR1SXYNU, 5651269]
[paragraph, [106.0, 138.0, 996.0, 36.0], shoonya_1sYII8OR1SXYNU, 5651269]
[paragraph, [106.0, 174.0, 996.0, 36.0], shoonya_1sYII8OR1SXYNU, 5651269]
[paragraph, [106.0, 210.0, 996.0, 36.0], shoonya_1sYII8OR1SXYNU, 5651269]
[paragraph, [106.0, 246.0, 996.0, 36.0], shoonya_1sYII8OR1SXYNU, 5651269]
[paragraph, [106.0, 282.0, 996.0, 36.0], shoonya_1sYII8OR1SXYNU, 5651269]
[paragraph, [67.0, 340.0, 1077.0, 36.0], shoonya_4sXFOT26TLKBTM, 5651269]
[paragraph, [67.0, 376.0, 1077.0, 36.0], shoonya_4sXFOT26TLKBTM, 5651269]
[paragraph, [67.0, 412.0, 1077.0, 36.0], shoonya_4sXFOT26TLKBTM, 5651269]
[paragraph, [67.0, 448.0, 1077.0, 36.0], shoonya_4sXFOT26TLKBTM, 5651269]
[paragraph, [67.0, 484.0, 1077.0, 36.0], shoonya_4sXFOT26TLKBTM, 5651269]
[paragraph, [67.0, 520.0, 1077.0, 36.0], shoonya_4sXFOT26TLKBTM, 5651269]
[paragraph, [67.0, 556.0, 1077.0, 36.0], shoonya_4sXFOT26TLKBTM, 5651269]
[paragraph, [67.0, 592.0, 1077.0, 36.0], shoonya_4sXFOT26TLKBTM, 5651269]
[paragraph, [67.0, 628.0, 1077.0, 36.0], shoonya_4sXFOT26TLKBTM, 5651269]
[paragraph, [67.0, 664.0, 1077.0, 36.0], shoonya_4sXFOT26TLKBTM, 5651269]
[paragraph, [67.0, 700.0, 1077.0, 36.0], shoonya_4sXFOT26TLKBTM, 5651269]
[paragraph, [67.0, 736.0, 1077.0, 36.0], shoonya_4sXFOT26TLKBTM, 5651269]
[paragraph, [67.0, 772.0, 1077.0, 36.0], shoonya_4sXFOT26TLKBTM, 5651269]
[paragraph, [67.0, 808.0, 1077.0, 36.0], shoonya_4sXFOT26TLKBTM, 5651269]
[paragraph, [67.0, 844.0, 1077.0, 36.0], shoonya_4sXFOT26TLKBTM, 5651269]
[paragraph, [67.0, 880.0, 1077.0, 36.0], shoonya_4sXFOT26TLKBTM, 5651269]
[paragraph, [67.0, 916.0, 1077.0, 36.0], shoonya_4sXFOT26TLKBTM, 5651269]
[paragraph, [45.0, 969.0, 1106.0, 36.0], shoonya_2s3HJZHNQP4VL8, 5651269]
[paragraph, [45.0, 1005.0, 1106.0, 36.0], shoonya_2s3HJZHNQP4VL8, 5651269]
[paragraph, [45.0, 1041.0, 1106.0, 36.0], shoonya_2s3HJZHNQP4VL8, 5651269]
[paragraph, [45.0, 1077.0, 1106.0, 36.0], shoonya_2s3HJZHNQP4VL8, 5651269]
[paragraph, [45.0, 1113.0, 1106.0, 36.0], shoonya_2s3HJZHNQP4VL8, 5651269]
[paragraph, [45.0, 1149.0, 1106.0, 36.0], shoonya_2s3HJZHNQP4VL8, 5651269]
[paragraph, [45.0, 1185.0, 1106.0, 36.0], shoonya_2s3HJZHNQP4VL8, 5651269]
[paragraph, [107.0, 1246.0, 1010.0, 36.0], shoonya_0sOPI1FVUCOY2M, 5651269]
[paragraph, [107.0, 1282.0, 1010.0, 36.0], shoonya_0sOPI1FVUCOY2M, 5651269]
[paragraph, [107.0, 1318.0, 1010.0, 36.0], shoonya_0sOPI1FVUCOY2M, 5651269]
[paragraph, [107.0, 1354.0, 1010.0, 36.0], shoonya_0sOPI1FVUCOY2M, 5651269]
[paragraph, [107.0, 1390.0, 1010.0, 36.0], shoonya_0sOPI1FVUCOY2M, 5651269]
[paragraph, [107.0, 1426.0, 1010.0, 36.0], shoonya_0sOPI1FVUCOY2M, 5651269]
[paragraph, [107.0, 1462.0, 1010.0, 36.0], shoonya_0sOPI1FVUCOY2M, 5651269]
[paragraph, [107.0, 1498.0, 1010.0, 36.0], shoonya_0sOPI1FVUCOY2M, 5651269]
[paragraph, [158.0, 1564.0, 961.0, 36.0], UFlvcWTfCw, 5651269]
