[2200, 1700]
[paragraph, [266.0, 244.0, 1016.0, 36.0], shoonya_6s02TXP9QBXGV5, 5652812]
[paragraph, [266.0, 280.0, 1016.0, 36.0], shoonya_6s02TXP9QBXGV5, 5652812]
[paragraph, [266.0, 316.0, 1016.0, 36.0], shoonya_6s02TXP9QBXGV5, 5652812]
[paragraph, [353.0, 371.0, 855.0, 36.0], shoonya_5sA3VW01TRQCZ9, 5652812]
[paragraph, [255.0, 430.0, 1024.0, 36.0], shoonya_1sV8SYJWI3D11I, 5652812]
[paragraph, [255.0, 466.0, 1024.0, 36.0], shoonya_1sV8SYJWI3D11I, 5652812]
[paragraph, [255.0, 502.0, 1024.0, 36.0], shoonya_1sV8SYJWI3D11I, 5652812]
[paragraph, [255.0, 538.0, 1024.0, 36.0], shoonya_1sV8SYJWI3D11I, 5652812]
[paragraph, [255.0, 574.0, 1024.0, 36.0], shoonya_1sV8SYJWI3D11I, 5652812]
[paragraph, [255.0, 610.0, 1024.0, 36.0], shoonya_1sV8SYJWI3D11I, 5652812]
[paragraph, [355.0, 680.0, 464.0, 36.0], shoonya_3sPJAXFNEV8B6G, 5652812]
[paragraph, [259.0, 749.0, 1005.0, 36.0], shoonya_2sBRAGFGNLAKPR, 5652812]
[paragraph, [259.0, 785.0, 1005.0, 36.0], shoonya_2sBRAGFGNLAKPR, 5652812]
[paragraph, [259.0, 821.0, 1005.0, 36.0], shoonya_2sBRAGFGNLAKPR, 5652812]
[paragraph, [259.0, 857.0, 1005.0, 36.0], shoonya_2sBRAGFGNLAKPR, 5652812]
[paragraph, [259.0, 893.0, 1005.0, 36.0], shoonya_2sBRAGFGNLAKPR, 5652812]
[paragraph, [249.0, 935.0, 1010.0, 36.0], shoonya_0sU919Q0O6GPIV, 5652812]
[paragraph, [249.0, 971.0, 1010.0, 36.0], shoonya_0sU919Q0O6GPIV, 5652812]
[paragraph, [249.0, 1007.0, 1010.0, 36.0], shoonya_0sU919Q0O6GPIV, 5652812]
[paragraph, [249.0, 1043.0, 1010.0, 36.0], shoonya_0sU919Q0O6GPIV, 5652812]
[paragraph, [249.0, 1079.0, 1010.0, 36.0], shoonya_0sU919Q0O6GPIV, 5652812]
[paragraph, [249.0, 1115.0, 1010.0, 36.0], shoonya_0sU919Q0O6GPIV, 5652812]
[paragraph, [249.0, 1151.0, 1010.0, 36.0], shoonya_0sU919Q0O6GPIV, 5652812]
[paragraph, [249.0, 1187.0, 1010.0, 36.0], shoonya_0sU919Q0O6GPIV, 5652812]
[paragraph, [249.0, 1223.0, 1010.0, 36.0], shoonya_0sU919Q0O6GPIV, 5652812]
[paragraph, [249.0, 1259.0, 1010.0, 36.0], shoonya_0sU919Q0O6GPIV, 5652812]
[paragraph, [249.0, 1295.0, 1010.0, 36.0], shoonya_0sU919Q0O6GPIV, 5652812]
[paragraph, [249.0, 1331.0, 1010.0, 36.0], shoonya_0sU919Q0O6GPIV, 5652812]
[paragraph, [249.0, 1367.0, 1010.0, 36.0], shoonya_0sU919Q0O6GPIV, 5652812]
[paragraph, [249.0, 1403.0, 1010.0, 36.0], shoonya_0sU919Q0O6GPIV, 5652812]
[paragraph, [249.0, 1439.0, 1010.0, 36.0], shoonya_0sU919Q0O6GPIV, 5652812]
[paragraph, [249.0, 1475.0, 1010.0, 36.0], shoonya_0sU919Q0O6GPIV, 5652812]
[paragraph, [249.0, 1511.0, 1010.0, 36.0], shoonya_0sU919Q0O6GPIV, 5652812]
[paragraph, [249.0, 1547.0, 1010.0, 36.0], shoonya_0sU919Q0O6GPIV, 5652812]
[paragraph, [249.0, 1583.0, 1010.0, 36.0], shoonya_0sU919Q0O6GPIV, 5652812]
[paragraph, [249.0, 1619.0, 1010.0, 36.0], shoonya_0sU919Q0O6GPIV, 5652812]
[paragraph, [249.0, 1655.0, 1010.0, 36.0], shoonya_0sU919Q0O6GPIV, 5652812]
[paragraph, [249.0, 1691.0, 1010.0, 36.0], shoonya_0sU919Q0O6GPIV, 5652812]
[paragraph, [249.0, 1727.0, 1010.0, 36.0], shoonya_0sU919Q0O6GPIV, 5652812]
[paragraph, [249.0, 1763.0, 1010.0, 36.0], shoonya_0sU919Q0O6GPIV, 5652812]
[paragraph, [249.0, 1799.0, 1010.0, 36.0], shoonya_0sU919Q0O6GPIV, 5652812]
[folio, [335.0, 1902.0, 104.0, 36.0], h1G2iAUzJK, 5652812]
