[789, 571]
[folio, [150.0, 70.0, 261.0, 18.0], sRp7Yeipe1, 5702523]
[paragraph, [53.0, 105.0, 454.0, 18.0], shoonya_1sMTRE4DWZ88W0, 5702523]
[paragraph, [53.0, 123.0, 454.0, 18.0], shoonya_1sMTRE4DWZ88W0, 5702523]
[paragraph, [53.0, 141.0, 454.0, 18.0], shoonya_1sMTRE4DWZ88W0, 5702523]
[paragraph, [53.0, 159.0, 454.0, 18.0], shoonya_1sMTRE4DWZ88W0, 5702523]
[paragraph, [53.0, 177.0, 454.0, 18.0], shoonya_1sMTRE4DWZ88W0, 5702523]
[paragraph, [53.0, 195.0, 454.0, 18.0], shoonya_1sMTRE4DWZ88W0, 5702523]
[paragraph, [53.0, 213.0, 454.0, 18.0], shoonya_1sMTRE4DWZ88W0, 5702523]
[paragraph, [54.0, 246.0, 457.0, 18.0], shoonya_0sDIGEA1HS62ZK, 5702523]
[paragraph, [54.0, 264.0, 457.0, 18.0], shoonya_0sDIGEA1HS62ZK, 5702523]
[paragraph, [54.0, 282.0, 457.0, 18.0], shoonya_0sDIGEA1HS62ZK, 5702523]
[paragraph, [54.0, 300.0, 457.0, 18.0], shoonya_0sDIGEA1HS62ZK, 5702523]
[paragraph, [54.0, 318.0, 457.0, 18.0], shoonya_0sDIGEA1HS62ZK, 5702523]
[paragraph, [54.0, 336.0, 457.0, 18.0], shoonya_0sDIGEA1HS62ZK, 5702523]
[paragraph, [54.0, 354.0, 457.0, 18.0], shoonya_0sDIGEA1HS62ZK, 5702523]
[paragraph, [54.0, 372.0, 457.0, 18.0], shoonya_0sDIGEA1HS62ZK, 5702523]
[paragraph, [54.0, 390.0, 457.0, 18.0], shoonya_0sDIGEA1HS62ZK, 5702523]
[paragraph, [54.0, 408.0, 457.0, 18.0], shoonya_0sDIGEA1HS62ZK, 5702523]
[paragraph, [54.0, 426.0, 457.0, 18.0], shoonya_0sDIGEA1HS62ZK, 5702523]
[paragraph, [54.0, 444.0, 457.0, 18.0], shoonya_0sDIGEA1HS62ZK, 5702523]
[paragraph, [54.0, 462.0, 457.0, 18.0], shoonya_0sDIGEA1HS62ZK, 5702523]
[paragraph, [54.0, 480.0, 457.0, 18.0], shoonya_0sDIGEA1HS62ZK, 5702523]
[paragraph, [54.0, 498.0, 457.0, 18.0], shoonya_0sDIGEA1HS62ZK, 5702523]
[paragraph, [54.0, 516.0, 457.0, 18.0], shoonya_0sDIGEA1HS62ZK, 5702523]
[paragraph, [56.0, 543.0, 456.0, 18.0], shoonya_2sZJ5Q8EO4QGL0, 5702523]
[paragraph, [56.0, 561.0, 456.0, 18.0], shoonya_2sZJ5Q8EO4QGL0, 5702523]
[paragraph, [56.0, 579.0, 456.0, 18.0], shoonya_2sZJ5Q8EO4QGL0, 5702523]
[paragraph, [56.0, 597.0, 456.0, 18.0], shoonya_2sZJ5Q8EO4QGL0, 5702523]
[paragraph, [56.0, 615.0, 456.0, 18.0], shoonya_2sZJ5Q8EO4QGL0, 5702523]
[paragraph, [56.0, 633.0, 456.0, 18.0], shoonya_2sZJ5Q8EO4QGL0, 5702523]
[paragraph, [56.0, 651.0, 456.0, 18.0], shoonya_2sZJ5Q8EO4QGL0, 5702523]
[paragraph, [57.0, 671.0, 455.0, 18.0], shoonya_3sY6Q2ADZD30EL, 5702523]
[paragraph, [57.0, 689.0, 455.0, 18.0], shoonya_3sY6Q2ADZD30EL, 5702523]
[paragraph, [57.0, 707.0, 455.0, 18.0], shoonya_3sY6Q2ADZD30EL, 5702523]
[paragraph, [57.0, 725.0, 455.0, 18.0], shoonya_3sY6Q2ADZD30EL, 5702523]
