[2084, 1289]
[ordered-list, [132.0, 272.0, 1041.0, 36.0], shoonya_2sY7ZMDGNCHQEO, 5660694]
[ordered-list, [132.0, 308.0, 1041.0, 36.0], shoonya_2sY7ZMDGNCHQEO, 5660694]
[ordered-list, [132.0, 344.0, 1041.0, 36.0], shoonya_2sY7ZMDGNCHQEO, 5660694]
[ordered-list, [132.0, 380.0, 1041.0, 36.0], shoonya_2sY7ZMDGNCHQEO, 5660694]
[ordered-list, [132.0, 416.0, 1041.0, 36.0], shoonya_2sY7ZMDGNCHQEO, 5660694]
[ordered-list, [132.0, 452.0, 1041.0, 36.0], shoonya_2sY7ZMDGNCHQEO, 5660694]
[ordered-list, [132.0, 488.0, 1041.0, 36.0], shoonya_2sY7ZMDGNCHQEO, 5660694]
[ordered-list, [132.0, 524.0, 1041.0, 36.0], shoonya_2sY7ZMDGNCHQEO, 5660694]
[ordered-list, [132.0, 560.0, 1041.0, 36.0], shoonya_2sY7ZMDGNCHQEO, 5660694]
[ordered-list, [132.0, 596.0, 1041.0, 36.0], shoonya_2sY7ZMDGNCHQEO, 5660694]
[ordered-list, [132.0, 632.0, 1041.0, 36.0], shoonya_2sY7ZMDGNCHQEO, 5660694]
[ordered-list, [132.0, 668.0, 1041.0, 36.0], shoonya_2sY7ZMDGNCHQEO, 5660694]
[ordered-list, [132.0, 704.0, 1041.0, 36.0], shoonya_2sY7ZMDGNCHQEO, 5660694]
[ordered-list, [132.0, 740.0, 1041.0, 36.0], shoonya_2sY7ZMDGNCHQEO, 5660694]
[ordered-list, [132.0, 776.0, 1041.0, 36.0], shoonya_2sY7ZMDGNCHQEO, 5660694]
[ordered-list, [132.0, 812.0, 1041.0, 36.0], shoonya_2sY7ZMDGNCHQEO, 5660694]
[ordered-list, [132.0, 848.0, 1041.0, 36.0], shoonya_2sY7ZMDGNCHQEO, 5660694]
[ordered-list, [132.0, 884.0, 1041.0, 36.0], shoonya_2sY7ZMDGNCHQEO, 5660694]
[section-title, [448.0, 943.0, 391.0, 52.5], shoonya_4sTPZCO3HDNWHR, 5660694]
[ordered-list, [126.0, 1033.0, 1026.0, 36.0], shoonya_0s9GLMYSENJ1P7, 5660694]
[ordered-list, [126.0, 1069.0, 1026.0, 36.0], shoonya_0s9GLMYSENJ1P7, 5660694]
[ordered-list, [126.0, 1105.0, 1026.0, 36.0], shoonya_0s9GLMYSENJ1P7, 5660694]
[ordered-list, [126.0, 1141.0, 1026.0, 36.0], shoonya_0s9GLMYSENJ1P7, 5660694]
[ordered-list, [126.0, 1177.0, 1026.0, 36.0], shoonya_0s9GLMYSENJ1P7, 5660694]
[ordered-list, [126.0, 1213.0, 1026.0, 36.0], shoonya_0s9GLMYSENJ1P7, 5660694]
[ordered-list, [126.0, 1249.0, 1026.0, 36.0], shoonya_0s9GLMYSENJ1P7, 5660694]
[ordered-list, [126.0, 1285.0, 1026.0, 36.0], shoonya_0s9GLMYSENJ1P7, 5660694]
[ordered-list, [126.0, 1321.0, 1026.0, 36.0], shoonya_0s9GLMYSENJ1P7, 5660694]
[ordered-list, [126.0, 1357.0, 1026.0, 36.0], shoonya_0s9GLMYSENJ1P7, 5660694]
[ordered-list, [126.0, 1393.0, 1026.0, 36.0], shoonya_0s9GLMYSENJ1P7, 5660694]
[ordered-list, [126.0, 1429.0, 1026.0, 36.0], shoonya_0s9GLMYSENJ1P7, 5660694]
[ordered-list, [126.0, 1465.0, 1026.0, 36.0], shoonya_0s9GLMYSENJ1P7, 5660694]
[ordered-list, [126.0, 1501.0, 1026.0, 36.0], shoonya_0s9GLMYSENJ1P7, 5660694]
[ordered-list, [126.0, 1537.0, 1026.0, 36.0], shoonya_0s9GLMYSENJ1P7, 5660694]
[ordered-list, [126.0, 1573.0, 1026.0, 36.0], shoonya_0s9GLMYSENJ1P7, 5660694]
[ordered-list, [126.0, 1609.0, 1026.0, 36.0], shoonya_0s9GLMYSENJ1P7, 5660694]
[ordered-list, [126.0, 1645.0, 1026.0, 36.0], shoonya_0s9GLMYSENJ1P7, 5660694]
[ordered-list, [126.0, 1681.0, 1026.0, 36.0], shoonya_0s9GLMYSENJ1P7, 5660694]
[ordered-list, [126.0, 1717.0, 1026.0, 36.0], shoonya_0s9GLMYSENJ1P7, 5660694]
[ordered-list, [126.0, 1753.0, 1026.0, 36.0], shoonya_0s9GLMYSENJ1P7, 5660694]
[ordered-list, [126.0, 1789.0, 1026.0, 36.0], shoonya_0s9GLMYSENJ1P7, 5660694]
[ordered-list, [126.0, 1825.0, 1026.0, 36.0], shoonya_0s9GLMYSENJ1P7, 5660694]
[folio, [632.0, 1937.0, 655.0, 36.0], shoonya_7sM9KFA4D6QZ45, 5660694]
[folio, [632.0, 1973.0, 655.0, 36.0], shoonya_7sM9KFA4D6QZ45, 5660694]
