[2230, 1704]
[section-title, [21.0, 155.0, 134.0, 52.5], NgANbqc8jR, 5654715]
[section-title, [518.0, 373.0, 668.0, 52.5], shoonya_8sMDANVXZM91BQ, 5654715]
[section-title, [518.0, 425.5, 668.0, 52.5], shoonya_8sMDANVXZM91BQ, 5654715]
[author, [733.0, 520.0, 265.0, 36.0], shoonya_13sJEDWRR67EF0, 5654715]
[paragraph, [72.0, 616.0, 796.0, 36.0], shoonya_1sH416QEX9XYD3, 5654715]
[paragraph, [72.0, 652.0, 796.0, 36.0], shoonya_1sH416QEX9XYD3, 5654715]
[paragraph, [72.0, 688.0, 796.0, 36.0], shoonya_1sH416QEX9XYD3, 5654715]
[paragraph, [72.0, 724.0, 796.0, 36.0], shoonya_1sH416QEX9XYD3, 5654715]
[paragraph, [72.0, 760.0, 796.0, 36.0], shoonya_1sH416QEX9XYD3, 5654715]
[paragraph, [72.0, 796.0, 796.0, 36.0], shoonya_1sH416QEX9XYD3, 5654715]
[paragraph, [72.0, 832.0, 796.0, 36.0], shoonya_1sH416QEX9XYD3, 5654715]
[paragraph, [72.0, 868.0, 796.0, 36.0], shoonya_1sH416QEX9XYD3, 5654715]
[paragraph, [72.0, 904.0, 796.0, 36.0], shoonya_1sH416QEX9XYD3, 5654715]
[paragraph, [72.0, 940.0, 796.0, 36.0], shoonya_1sH416QEX9XYD3, 5654715]
[paragraph, [72.0, 976.0, 796.0, 36.0], shoonya_1sH416QEX9XYD3, 5654715]
[paragraph, [72.0, 1012.0, 796.0, 36.0], shoonya_1sH416QEX9XYD3, 5654715]
[paragraph, [72.0, 1048.0, 796.0, 36.0], shoonya_1sH416QEX9XYD3, 5654715]
[paragraph, [72.0, 1084.0, 796.0, 36.0], shoonya_1sH416QEX9XYD3, 5654715]
[paragraph, [72.0, 1120.0, 796.0, 36.0], shoonya_1sH416QEX9XYD3, 5654715]
[paragraph, [72.0, 1156.0, 796.0, 36.0], shoonya_1sH416QEX9XYD3, 5654715]
[paragraph, [72.0, 1192.0, 796.0, 36.0], shoonya_1sH416QEX9XYD3, 5654715]
[paragraph, [72.0, 1228.0, 796.0, 36.0], shoonya_1sH416QEX9XYD3, 5654715]
[paragraph, [72.0, 1264.0, 796.0, 36.0], shoonya_1sH416QEX9XYD3, 5654715]
[figure-caption, [1117.0, 638.0, 532.0, 36.0], shoonya_16s75FI7DDSJ5D, 5654715]
[figure-caption, [1117.0, 674.0, 532.0, 36.0], shoonya_16s75FI7DDSJ5D, 5654715]
[figure-caption, [1117.0, 710.0, 532.0, 36.0], shoonya_16s75FI7DDSJ5D, 5654715]
[figure-caption, [1117.0, 746.0, 532.0, 36.0], shoonya_16s75FI7DDSJ5D, 5654715]
[figure-caption, [1117.0, 782.0, 532.0, 36.0], shoonya_16s75FI7DDSJ5D, 5654715]
[figure-caption, [1117.0, 818.0, 532.0, 36.0], shoonya_16s75FI7DDSJ5D, 5654715]
[figure-caption, [1117.0, 854.0, 532.0, 36.0], shoonya_16s75FI7DDSJ5D, 5654715]
[figure-caption, [1117.0, 890.0, 532.0, 36.0], shoonya_16s75FI7DDSJ5D, 5654715]
[figure-caption, [894.0, 957.0, 302.0, 36.0], shoonya_10sFHNP2CK8BVY, 5654715]
[paragraph, [892.0, 1023.0, 775.0, 36.0], shoonya_5s575YWAHURWNL, 5654715]
[paragraph, [892.0, 1059.0, 775.0, 36.0], shoonya_5s575YWAHURWNL, 5654715]
[paragraph, [892.0, 1095.0, 775.0, 36.0], shoonya_5s575YWAHURWNL, 5654715]
[paragraph, [892.0, 1131.0, 775.0, 36.0], shoonya_5s575YWAHURWNL, 5654715]
[paragraph, [892.0, 1167.0, 775.0, 36.0], shoonya_5s575YWAHURWNL, 5654715]
[paragraph, [892.0, 1203.0, 775.0, 36.0], shoonya_5s575YWAHURWNL, 5654715]
