[842, 595]
[paragraph, [67.0, 72.0, 462.0, 18.0], shoonya_1sUO6Y46ED8L49, 5770666]
[paragraph, [67.0, 90.0, 462.0, 18.0], shoonya_1sUO6Y46ED8L49, 5770666]
[paragraph, [67.0, 108.0, 462.0, 18.0], shoonya_1sUO6Y46ED8L49, 5770666]
[paragraph, [67.0, 126.0, 462.0, 18.0], shoonya_1sUO6Y46ED8L49, 5770666]
[paragraph, [67.0, 144.0, 462.0, 18.0], shoonya_1sUO6Y46ED8L49, 5770666]
[paragraph, [67.0, 162.0, 462.0, 18.0], shoonya_1sUO6Y46ED8L49, 5770666]
[paragraph, [66.0, 215.0, 463.0, 18.0], shoonya_0sH4T8DKP7BP6A, 5770666]
[paragraph, [66.0, 233.0, 463.0, 18.0], shoonya_0sH4T8DKP7BP6A, 5770666]
[paragraph, [66.0, 251.0, 463.0, 18.0], shoonya_0sH4T8DKP7BP6A, 5770666]
[paragraph, [66.0, 269.0, 463.0, 18.0], shoonya_0sH4T8DKP7BP6A, 5770666]
[paragraph, [66.0, 287.0, 463.0, 18.0], shoonya_0sH4T8DKP7BP6A, 5770666]
[paragraph, [66.0, 305.0, 463.0, 18.0], shoonya_0sH4T8DKP7BP6A, 5770666]
[paragraph, [66.0, 323.0, 463.0, 18.0], shoonya_0sH4T8DKP7BP6A, 5770666]
[paragraph, [66.0, 341.0, 463.0, 18.0], shoonya_0sH4T8DKP7BP6A, 5770666]
[paragraph, [66.0, 359.0, 463.0, 18.0], shoonya_0sH4T8DKP7BP6A, 5770666]
[paragraph, [66.0, 377.0, 463.0, 18.0], shoonya_0sH4T8DKP7BP6A, 5770666]
[paragraph, [66.0, 395.0, 463.0, 18.0], shoonya_0sH4T8DKP7BP6A, 5770666]
[paragraph, [66.0, 413.0, 463.0, 18.0], shoonya_0sH4T8DKP7BP6A, 5770666]
[paragraph, [66.0, 431.0, 463.0, 18.0], shoonya_0sH4T8DKP7BP6A, 5770666]
[paragraph, [67.0, 482.0, 460.0, 18.0], shoonya_3s6NS07KKFGVQA, 5770666]
[paragraph, [67.0, 500.0, 460.0, 18.0], shoonya_3s6NS07KKFGVQA, 5770666]
[paragraph, [67.0, 518.0, 460.0, 18.0], shoonya_3s6NS07KKFGVQA, 5770666]
[paragraph, [67.0, 536.0, 460.0, 18.0], shoonya_3s6NS07KKFGVQA, 5770666]
[paragraph, [67.0, 554.0, 460.0, 18.0], shoonya_3s6NS07KKFGVQA, 5770666]
[paragraph, [67.0, 572.0, 460.0, 18.0], shoonya_3s6NS07KKFGVQA, 5770666]
[paragraph, [67.0, 590.0, 460.0, 18.0], shoonya_3s6NS07KKFGVQA, 5770666]
[paragraph, [67.0, 608.0, 460.0, 18.0], shoonya_3s6NS07KKFGVQA, 5770666]
[paragraph, [67.0, 626.0, 460.0, 18.0], shoonya_3s6NS07KKFGVQA, 5770666]
[paragraph, [67.0, 644.0, 460.0, 18.0], shoonya_3s6NS07KKFGVQA, 5770666]
[paragraph, [67.0, 662.0, 460.0, 18.0], shoonya_3s6NS07KKFGVQA, 5770666]
[paragraph, [67.0, 680.0, 460.0, 18.0], shoonya_3s6NS07KKFGVQA, 5770666]
[paragraph, [67.0, 698.0, 460.0, 18.0], shoonya_3s6NS07KKFGVQA, 5770666]
[paragraph, [67.0, 716.0, 460.0, 18.0], shoonya_3s6NS07KKFGVQA, 5770666]
[paragraph, [67.0, 734.0, 460.0, 18.0], shoonya_3s6NS07KKFGVQA, 5770666]
