[2200, 1700]
[paragraph, [887.0, 157.0, 738.0, 36.0], SsYwrbHNdR, 5752456]
[paragraph, [887.0, 193.0, 738.0, 36.0], SsYwrbHNdR, 5752456]
[paragraph, [887.0, 229.0, 738.0, 36.0], SsYwrbHNdR, 5752456]
[paragraph, [887.0, 265.0, 738.0, 36.0], SsYwrbHNdR, 5752456]
[paragraph, [887.0, 301.0, 738.0, 36.0], SsYwrbHNdR, 5752456]
[paragraph, [887.0, 337.0, 738.0, 36.0], SsYwrbHNdR, 5752456]
[paragraph, [887.0, 373.0, 738.0, 36.0], SsYwrbHNdR, 5752456]
[paragraph, [887.0, 409.0, 738.0, 36.0], SsYwrbHNdR, 5752456]
[paragraph, [85.0, 162.0, 728.0, 36.0], shoonya_3sCVN168EV9WLT, 5752456]
[paragraph, [85.0, 198.0, 728.0, 36.0], shoonya_3sCVN168EV9WLT, 5752456]
[paragraph, [85.0, 234.0, 728.0, 36.0], shoonya_3sCVN168EV9WLT, 5752456]
[paragraph, [85.0, 270.0, 728.0, 36.0], shoonya_3sCVN168EV9WLT, 5752456]
[paragraph, [85.0, 306.0, 728.0, 36.0], shoonya_3sCVN168EV9WLT, 5752456]
[paragraph, [85.0, 342.0, 728.0, 36.0], shoonya_3sCVN168EV9WLT, 5752456]
[paragraph, [85.0, 378.0, 728.0, 36.0], shoonya_3sCVN168EV9WLT, 5752456]
[paragraph, [85.0, 414.0, 728.0, 36.0], shoonya_3sCVN168EV9WLT, 5752456]
[paragraph, [85.0, 450.0, 728.0, 36.0], shoonya_3sCVN168EV9WLT, 5752456]
[paragraph, [85.0, 486.0, 728.0, 36.0], shoonya_3sCVN168EV9WLT, 5752456]
[paragraph, [85.0, 522.0, 728.0, 36.0], shoonya_3sCVN168EV9WLT, 5752456]
[paragraph, [890.0, 576.0, 718.0, 36.0], shoonya_9s574KPF9H9BDG, 5752456]
[paragraph, [890.0, 612.0, 718.0, 36.0], shoonya_9s574KPF9H9BDG, 5752456]
[paragraph, [890.0, 648.0, 718.0, 36.0], shoonya_9s574KPF9H9BDG, 5752456]
[paragraph, [890.0, 684.0, 718.0, 36.0], shoonya_9s574KPF9H9BDG, 5752456]
[paragraph, [890.0, 720.0, 718.0, 36.0], shoonya_9s574KPF9H9BDG, 5752456]
[paragraph, [890.0, 756.0, 718.0, 36.0], shoonya_9s574KPF9H9BDG, 5752456]
[paragraph, [81.0, 608.0, 732.0, 36.0], shoonya_1sNBUEQ2NAMDGU, 5752456]
[paragraph, [81.0, 644.0, 732.0, 36.0], shoonya_1sNBUEQ2NAMDGU, 5752456]
[paragraph, [81.0, 680.0, 732.0, 36.0], shoonya_1sNBUEQ2NAMDGU, 5752456]
[paragraph, [81.0, 716.0, 732.0, 36.0], shoonya_1sNBUEQ2NAMDGU, 5752456]
[paragraph, [81.0, 752.0, 732.0, 36.0], shoonya_1sNBUEQ2NAMDGU, 5752456]
[paragraph, [81.0, 788.0, 732.0, 36.0], shoonya_1sNBUEQ2NAMDGU, 5752456]
[paragraph, [81.0, 824.0, 732.0, 36.0], shoonya_1sNBUEQ2NAMDGU, 5752456]
[paragraph, [81.0, 860.0, 732.0, 36.0], shoonya_1sNBUEQ2NAMDGU, 5752456]
[paragraph, [81.0, 896.0, 732.0, 36.0], shoonya_1sNBUEQ2NAMDGU, 5752456]
[paragraph, [81.0, 932.0, 732.0, 36.0], shoonya_1sNBUEQ2NAMDGU, 5752456]
[paragraph, [81.0, 968.0, 732.0, 36.0], shoonya_1sNBUEQ2NAMDGU, 5752456]
[paragraph, [81.0, 1004.0, 732.0, 36.0], shoonya_1sNBUEQ2NAMDGU, 5752456]
[paragraph, [81.0, 1040.0, 732.0, 36.0], shoonya_1sNBUEQ2NAMDGU, 5752456]
[paragraph, [890.0, 843.0, 718.0, 36.0], shoonya_2s030OR8BF9N7U, 5752456]
[paragraph, [890.0, 879.0, 718.0, 36.0], shoonya_2s030OR8BF9N7U, 5752456]
[paragraph, [890.0, 915.0, 718.0, 36.0], shoonya_2s030OR8BF9N7U, 5752456]
[paragraph, [890.0, 951.0, 718.0, 36.0], shoonya_2s030OR8BF9N7U, 5752456]
[paragraph, [890.0, 987.0, 718.0, 36.0], shoonya_2s030OR8BF9N7U, 5752456]
[paragraph, [890.0, 1023.0, 718.0, 36.0], shoonya_2s030OR8BF9N7U, 5752456]
[paragraph, [890.0, 1059.0, 718.0, 36.0], shoonya_2s030OR8BF9N7U, 5752456]
[paragraph, [890.0, 1095.0, 718.0, 36.0], shoonya_2s030OR8BF9N7U, 5752456]
[paragraph, [890.0, 1131.0, 718.0, 36.0], shoonya_2s030OR8BF9N7U, 5752456]
[paragraph, [890.0, 1167.0, 718.0, 36.0], shoonya_2s030OR8BF9N7U, 5752456]
[paragraph, [87.0, 1126.0, 721.0, 36.0], shoonya_7sQ5QA3TCLBSSZ, 5752456]
[paragraph, [87.0, 1162.0, 721.0, 36.0], shoonya_7sQ5QA3TCLBSSZ, 5752456]
[paragraph, [87.0, 1198.0, 721.0, 36.0], shoonya_7sQ5QA3TCLBSSZ, 5752456]
[paragraph, [87.0, 1234.0, 721.0, 36.0], shoonya_7sQ5QA3TCLBSSZ, 5752456]
[paragraph, [887.0, 1221.0, 727.0, 36.0], K--HtAHGtt, 5752456]
[paragraph, [887.0, 1257.0, 727.0, 36.0], K--HtAHGtt, 5752456]
[paragraph, [887.0, 1293.0, 727.0, 36.0], K--HtAHGtt, 5752456]
[paragraph, [887.0, 1329.0, 727.0, 36.0], K--HtAHGtt, 5752456]
[paragraph, [887.0, 1365.0, 727.0, 36.0], K--HtAHGtt, 5752456]
[paragraph, [83.0, 1318.0, 730.0, 36.0], shoonya_5s62QGLZ9ZC5CJ, 5752456]
[paragraph, [83.0, 1354.0, 730.0, 36.0], shoonya_5s62QGLZ9ZC5CJ, 5752456]
[paragraph, [83.0, 1390.0, 730.0, 36.0], shoonya_5s62QGLZ9ZC5CJ, 5752456]
[paragraph, [83.0, 1426.0, 730.0, 36.0], shoonya_5s62QGLZ9ZC5CJ, 5752456]
[paragraph, [83.0, 1462.0, 730.0, 36.0], shoonya_5s62QGLZ9ZC5CJ, 5752456]
[paragraph, [83.0, 1498.0, 730.0, 36.0], shoonya_5s62QGLZ9ZC5CJ, 5752456]
[paragraph, [83.0, 1534.0, 730.0, 36.0], shoonya_5s62QGLZ9ZC5CJ, 5752456]
[paragraph, [83.0, 1570.0, 730.0, 36.0], shoonya_5s62QGLZ9ZC5CJ, 5752456]
[paragraph, [884.0, 1432.0, 744.0, 36.0], shoonya_0sYCAZ6M8M0K1F, 5752456]
[paragraph, [884.0, 1468.0, 744.0, 36.0], shoonya_0sYCAZ6M8M0K1F, 5752456]
[paragraph, [884.0, 1504.0, 744.0, 36.0], shoonya_0sYCAZ6M8M0K1F, 5752456]
[paragraph, [884.0, 1540.0, 744.0, 36.0], shoonya_0sYCAZ6M8M0K1F, 5752456]
[paragraph, [884.0, 1576.0, 744.0, 36.0], shoonya_0sYCAZ6M8M0K1F, 5752456]
[paragraph, [884.0, 1612.0, 744.0, 36.0], shoonya_0sYCAZ6M8M0K1F, 5752456]
[paragraph, [884.0, 1648.0, 744.0, 36.0], shoonya_0sYCAZ6M8M0K1F, 5752456]
[paragraph, [884.0, 1684.0, 744.0, 36.0], shoonya_0sYCAZ6M8M0K1F, 5752456]
[paragraph, [884.0, 1720.0, 744.0, 36.0], shoonya_0sYCAZ6M8M0K1F, 5752456]
[paragraph, [884.0, 1756.0, 744.0, 36.0], shoonya_0sYCAZ6M8M0K1F, 5752456]
[paragraph, [884.0, 1792.0, 744.0, 36.0], shoonya_0sYCAZ6M8M0K1F, 5752456]
[paragraph, [884.0, 1828.0, 744.0, 36.0], shoonya_0sYCAZ6M8M0K1F, 5752456]
[paragraph, [884.0, 1864.0, 744.0, 36.0], shoonya_0sYCAZ6M8M0K1F, 5752456]
[paragraph, [884.0, 1900.0, 744.0, 36.0], shoonya_0sYCAZ6M8M0K1F, 5752456]
[paragraph, [884.0, 1936.0, 744.0, 36.0], shoonya_0sYCAZ6M8M0K1F, 5752456]
[paragraph, [78.0, 1642.0, 744.0, 36.0], WB4BZvbZuQ, 5752456]
[paragraph, [78.0, 1678.0, 744.0, 36.0], WB4BZvbZuQ, 5752456]
[paragraph, [78.0, 1714.0, 744.0, 36.0], WB4BZvbZuQ, 5752456]
[paragraph, [78.0, 1750.0, 744.0, 36.0], WB4BZvbZuQ, 5752456]
[paragraph, [78.0, 1786.0, 744.0, 36.0], WB4BZvbZuQ, 5752456]
[paragraph, [93.0, 1866.0, 713.0, 36.0], shoonya_10sFQC9DBH8UKY, 5752456]
[paragraph, [93.0, 1902.0, 713.0, 36.0], shoonya_10sFQC9DBH8UKY, 5752456]
[paragraph, [93.0, 1938.0, 713.0, 36.0], shoonya_10sFQC9DBH8UKY, 5752456]
