[2200, 1700]
[paragraph, [352.0, 103.0, 178.0, 36.0], shoonya_1sZJ1GOXULKW2B, 5656322]
[unordered-list, [222.0, 159.0, 1341.0, 36.0], muEjgI-F3H, 5656322]
[unordered-list, [222.0, 195.0, 1341.0, 36.0], muEjgI-F3H, 5656322]
[unordered-list, [222.0, 231.0, 1341.0, 36.0], muEjgI-F3H, 5656322]
[unordered-list, [222.0, 267.0, 1341.0, 36.0], muEjgI-F3H, 5656322]
[unordered-list, [222.0, 303.0, 1341.0, 36.0], muEjgI-F3H, 5656322]
[unordered-list, [222.0, 339.0, 1341.0, 36.0], muEjgI-F3H, 5656322]
[unordered-list, [222.0, 375.0, 1341.0, 36.0], muEjgI-F3H, 5656322]
[ordered-list, [65.0, 433.0, 1610.0, 36.0], rJA_6Ke46w, 5656322]
[ordered-list, [65.0, 469.0, 1610.0, 36.0], rJA_6Ke46w, 5656322]
[ordered-list, [65.0, 505.0, 1610.0, 36.0], rJA_6Ke46w, 5656322]
[ordered-list, [65.0, 541.0, 1610.0, 36.0], rJA_6Ke46w, 5656322]
[ordered-list, [65.0, 577.0, 1610.0, 36.0], rJA_6Ke46w, 5656322]
[ordered-list, [65.0, 613.0, 1610.0, 36.0], rJA_6Ke46w, 5656322]
[ordered-list, [65.0, 649.0, 1610.0, 36.0], rJA_6Ke46w, 5656322]
[ordered-list, [65.0, 685.0, 1610.0, 36.0], rJA_6Ke46w, 5656322]
[ordered-list, [65.0, 721.0, 1610.0, 36.0], rJA_6Ke46w, 5656322]
[ordered-list, [65.0, 757.0, 1610.0, 36.0], rJA_6Ke46w, 5656322]
[ordered-list, [65.0, 793.0, 1610.0, 36.0], rJA_6Ke46w, 5656322]
[ordered-list, [65.0, 829.0, 1610.0, 36.0], rJA_6Ke46w, 5656322]
[ordered-list, [65.0, 865.0, 1610.0, 36.0], rJA_6Ke46w, 5656322]
[ordered-list, [65.0, 901.0, 1610.0, 36.0], rJA_6Ke46w, 5656322]
[ordered-list, [65.0, 937.0, 1610.0, 36.0], rJA_6Ke46w, 5656322]
[ordered-list, [65.0, 973.0, 1610.0, 36.0], rJA_6Ke46w, 5656322]
[ordered-list, [65.0, 1009.0, 1610.0, 36.0], rJA_6Ke46w, 5656322]
[ordered-list, [65.0, 1045.0, 1610.0, 36.0], rJA_6Ke46w, 5656322]
[ordered-list, [65.0, 1081.0, 1610.0, 36.0], rJA_6Ke46w, 5656322]
[ordered-list, [65.0, 1117.0, 1610.0, 36.0], rJA_6Ke46w, 5656322]
[ordered-list, [65.0, 1153.0, 1610.0, 36.0], rJA_6Ke46w, 5656322]
[ordered-list, [65.0, 1189.0, 1610.0, 36.0], rJA_6Ke46w, 5656322]
[ordered-list, [65.0, 1225.0, 1610.0, 36.0], rJA_6Ke46w, 5656322]
[ordered-list, [65.0, 1261.0, 1610.0, 36.0], rJA_6Ke46w, 5656322]
[ordered-list, [65.0, 1297.0, 1610.0, 36.0], rJA_6Ke46w, 5656322]
[ordered-list, [65.0, 1333.0, 1610.0, 36.0], rJA_6Ke46w, 5656322]
[ordered-list, [65.0, 1369.0, 1610.0, 36.0], rJA_6Ke46w, 5656322]
[sub-ordered-list, [159.0, 1010.0, 1424.0, 36.0], KVoz0kmya-, 5656322]
