[2339, 1653]
[paragraph, [109.0, 159.0, 1332.0, 36.0], ErgPi9BoOn, 5751409]
[paragraph, [109.0, 195.0, 1332.0, 36.0], ErgPi9BoOn, 5751409]
[paragraph, [113.0, 264.0, 1429.0, 36.0], As75UJO6sp, 5751409]
[paragraph, [113.0, 300.0, 1429.0, 36.0], As75UJO6sp, 5751409]
[paragraph, [113.0, 336.0, 1429.0, 36.0], As75UJO6sp, 5751409]
[paragraph, [113.0, 372.0, 1429.0, 36.0], As75UJO6sp, 5751409]
[paragraph, [113.0, 408.0, 1429.0, 36.0], As75UJO6sp, 5751409]
[paragraph, [113.0, 444.0, 1429.0, 36.0], As75UJO6sp, 5751409]
[paragraph, [113.0, 480.0, 1429.0, 36.0], As75UJO6sp, 5751409]
[paragraph, [113.0, 516.0, 1429.0, 36.0], As75UJO6sp, 5751409]
[paragraph, [113.0, 552.0, 1429.0, 36.0], As75UJO6sp, 5751409]
[paragraph, [113.0, 588.0, 1429.0, 36.0], As75UJO6sp, 5751409]
[paragraph, [113.0, 624.0, 1429.0, 36.0], As75UJO6sp, 5751409]
[paragraph, [113.0, 660.0, 1429.0, 36.0], As75UJO6sp, 5751409]
[paragraph, [113.0, 696.0, 1429.0, 36.0], As75UJO6sp, 5751409]
[paragraph, [113.0, 732.0, 1429.0, 36.0], As75UJO6sp, 5751409]
[paragraph, [113.0, 768.0, 1429.0, 36.0], As75UJO6sp, 5751409]
[paragraph, [113.0, 804.0, 1429.0, 36.0], As75UJO6sp, 5751409]
[paragraph, [113.0, 840.0, 1429.0, 36.0], As75UJO6sp, 5751409]
[paragraph, [113.0, 876.0, 1429.0, 36.0], As75UJO6sp, 5751409]
[paragraph, [113.0, 912.0, 1429.0, 36.0], As75UJO6sp, 5751409]
[paragraph, [113.0, 948.0, 1429.0, 36.0], As75UJO6sp, 5751409]
[paragraph, [113.0, 984.0, 1429.0, 36.0], As75UJO6sp, 5751409]
[paragraph, [113.0, 1020.0, 1429.0, 36.0], As75UJO6sp, 5751409]
[paragraph, [113.0, 1056.0, 1429.0, 36.0], As75UJO6sp, 5751409]
[paragraph, [113.0, 1092.0, 1429.0, 36.0], As75UJO6sp, 5751409]
[paragraph, [101.0, 1161.0, 1452.0, 36.0], oWgUvWO5DR, 5751409]
[paragraph, [101.0, 1197.0, 1452.0, 36.0], oWgUvWO5DR, 5751409]
[paragraph, [101.0, 1233.0, 1452.0, 36.0], oWgUvWO5DR, 5751409]
[paragraph, [101.0, 1269.0, 1452.0, 36.0], oWgUvWO5DR, 5751409]
[paragraph, [101.0, 1305.0, 1452.0, 36.0], oWgUvWO5DR, 5751409]
[paragraph, [101.0, 1341.0, 1452.0, 36.0], oWgUvWO5DR, 5751409]
[paragraph, [101.0, 1377.0, 1452.0, 36.0], oWgUvWO5DR, 5751409]
[paragraph, [101.0, 1413.0, 1452.0, 36.0], oWgUvWO5DR, 5751409]
[paragraph, [101.0, 1449.0, 1452.0, 36.0], oWgUvWO5DR, 5751409]
[paragraph, [101.0, 1485.0, 1452.0, 36.0], oWgUvWO5DR, 5751409]
[paragraph, [101.0, 1521.0, 1452.0, 36.0], oWgUvWO5DR, 5751409]
[paragraph, [101.0, 1557.0, 1452.0, 36.0], oWgUvWO5DR, 5751409]
[paragraph, [101.0, 1593.0, 1452.0, 36.0], oWgUvWO5DR, 5751409]
[paragraph, [101.0, 1629.0, 1452.0, 36.0], oWgUvWO5DR, 5751409]
[paragraph, [101.0, 1665.0, 1452.0, 36.0], oWgUvWO5DR, 5751409]
[paragraph, [101.0, 1701.0, 1452.0, 36.0], oWgUvWO5DR, 5751409]
[paragraph, [101.0, 1737.0, 1452.0, 36.0], oWgUvWO5DR, 5751409]
[paragraph, [101.0, 1773.0, 1452.0, 36.0], oWgUvWO5DR, 5751409]
[paragraph, [101.0, 1809.0, 1452.0, 36.0], oWgUvWO5DR, 5751409]
[paragraph, [101.0, 1845.0, 1452.0, 36.0], oWgUvWO5DR, 5751409]
[paragraph, [101.0, 1881.0, 1452.0, 36.0], oWgUvWO5DR, 5751409]
[paragraph, [117.0, 1938.0, 1429.0, 36.0], l_naGFQ7XT, 5751409]
[paragraph, [117.0, 1974.0, 1429.0, 36.0], l_naGFQ7XT, 5751409]
[paragraph, [117.0, 2010.0, 1429.0, 36.0], l_naGFQ7XT, 5751409]
[paragraph, [117.0, 2046.0, 1429.0, 36.0], l_naGFQ7XT, 5751409]
[paragraph, [117.0, 2082.0, 1429.0, 36.0], l_naGFQ7XT, 5751409]
