[1320, 1176]
[paragraph, [750.0, 172.0, 349.0, 18.0], gZ_1TC9JZZ, 5694563]
[paragraph, [750.0, 190.0, 349.0, 18.0], gZ_1TC9JZZ, 5694563]
[paragraph, [750.0, 208.0, 349.0, 18.0], gZ_1TC9JZZ, 5694563]
[paragraph, [750.0, 226.0, 349.0, 18.0], gZ_1TC9JZZ, 5694563]
[paragraph, [750.0, 244.0, 349.0, 18.0], gZ_1TC9JZZ, 5694563]
[paragraph, [750.0, 262.0, 349.0, 18.0], gZ_1TC9JZZ, 5694563]
[paragraph, [750.0, 280.0, 349.0, 18.0], gZ_1TC9JZZ, 5694563]
[paragraph, [750.0, 298.0, 349.0, 18.0], gZ_1TC9JZZ, 5694563]
[paragraph, [750.0, 316.0, 349.0, 18.0], gZ_1TC9JZZ, 5694563]
[paragraph, [69.0, 175.0, 346.0, 18.0], shoonya_5sB9BUHXH6DLG1, 5694563]
[paragraph, [69.0, 193.0, 346.0, 18.0], shoonya_5sB9BUHXH6DLG1, 5694563]
[paragraph, [69.0, 211.0, 346.0, 18.0], shoonya_5sB9BUHXH6DLG1, 5694563]
[paragraph, [412.0, 176.0, 338.0, 18.0], KG2E3xDKDc, 5694563]
[paragraph, [412.0, 194.0, 338.0, 18.0], KG2E3xDKDc, 5694563]
[paragraph, [412.0, 212.0, 338.0, 18.0], KG2E3xDKDc, 5694563]
[paragraph, [412.0, 230.0, 338.0, 18.0], KG2E3xDKDc, 5694563]
[paragraph, [412.0, 248.0, 338.0, 18.0], KG2E3xDKDc, 5694563]
[paragraph, [66.0, 253.0, 344.0, 18.0], UW_IkrOLu6, 5694563]
[paragraph, [66.0, 271.0, 344.0, 18.0], UW_IkrOLu6, 5694563]
[paragraph, [66.0, 289.0, 344.0, 18.0], UW_IkrOLu6, 5694563]
[paragraph, [66.0, 307.0, 344.0, 18.0], UW_IkrOLu6, 5694563]
[paragraph, [66.0, 325.0, 344.0, 18.0], UW_IkrOLu6, 5694563]
[paragraph, [66.0, 343.0, 344.0, 18.0], UW_IkrOLu6, 5694563]
[paragraph, [66.0, 361.0, 344.0, 18.0], UW_IkrOLu6, 5694563]
[paragraph, [66.0, 379.0, 344.0, 18.0], UW_IkrOLu6, 5694563]
[paragraph, [66.0, 397.0, 344.0, 18.0], UW_IkrOLu6, 5694563]
[paragraph, [66.0, 415.0, 344.0, 18.0], UW_IkrOLu6, 5694563]
[paragraph, [418.0, 290.0, 333.0, 18.0], tWuBb4zjgs, 5694563]
[paragraph, [418.0, 308.0, 333.0, 18.0], tWuBb4zjgs, 5694563]
[paragraph, [418.0, 326.0, 333.0, 18.0], tWuBb4zjgs, 5694563]
[paragraph, [418.0, 344.0, 333.0, 18.0], tWuBb4zjgs, 5694563]
[paragraph, [418.0, 362.0, 333.0, 18.0], tWuBb4zjgs, 5694563]
[paragraph, [418.0, 380.0, 333.0, 18.0], tWuBb4zjgs, 5694563]
[paragraph, [418.0, 398.0, 333.0, 18.0], tWuBb4zjgs, 5694563]
[paragraph, [418.0, 416.0, 333.0, 18.0], tWuBb4zjgs, 5694563]
[paragraph, [418.0, 434.0, 333.0, 18.0], tWuBb4zjgs, 5694563]
[paragraph, [418.0, 452.0, 333.0, 18.0], tWuBb4zjgs, 5694563]
[sub-section-title, [756.0, 351.0, 191.0, 25.5], csnn47LYTR, 5694563]
[paragraph, [750.0, 382.0, 348.0, 18.0], KQnLcetzW3, 5694563]
[paragraph, [750.0, 400.0, 348.0, 18.0], KQnLcetzW3, 5694563]
[paragraph, [750.0, 418.0, 348.0, 18.0], KQnLcetzW3, 5694563]
[paragraph, [750.0, 436.0, 348.0, 18.0], KQnLcetzW3, 5694563]
[paragraph, [750.0, 454.0, 348.0, 18.0], KQnLcetzW3, 5694563]
[sub-section-title, [66.0, 433.0, 196.0, 25.5], jXPaNPD0yW, 5694563]
[paragraph, [66.0, 472.0, 351.0, 18.0], p5D4lZ5RyN, 5694563]
[paragraph, [66.0, 490.0, 351.0, 18.0], p5D4lZ5RyN, 5694563]
[paragraph, [66.0, 508.0, 351.0, 18.0], p5D4lZ5RyN, 5694563]
[paragraph, [66.0, 526.0, 351.0, 18.0], p5D4lZ5RyN, 5694563]
[paragraph, [66.0, 544.0, 351.0, 18.0], p5D4lZ5RyN, 5694563]
[paragraph, [66.0, 562.0, 351.0, 18.0], p5D4lZ5RyN, 5694563]
[paragraph, [66.0, 580.0, 351.0, 18.0], p5D4lZ5RyN, 5694563]
[paragraph, [66.0, 598.0, 351.0, 18.0], p5D4lZ5RyN, 5694563]
[paragraph, [66.0, 616.0, 351.0, 18.0], p5D4lZ5RyN, 5694563]
[paragraph, [75.0, 670.0, 338.0, 18.0], shoonya_7s0WN1KCP3LBGA, 5694563]
[paragraph, [75.0, 688.0, 338.0, 18.0], shoonya_7s0WN1KCP3LBGA, 5694563]
