[1755, 1240]
[paragraph, [324.0, 142.0, 790.0, 36.0], shoonya_5sTCN9KEBES4FE, 5693441]
[paragraph, [324.0, 178.0, 790.0, 36.0], shoonya_5sTCN9KEBES4FE, 5693441]
[paragraph, [211.0, 353.0, 899.0, 36.0], shoonya_2sT7RSJFH9MN7N, 5693441]
[paragraph, [211.0, 389.0, 899.0, 36.0], shoonya_2sT7RSJFH9MN7N, 5693441]
[paragraph, [211.0, 425.0, 899.0, 36.0], shoonya_2sT7RSJFH9MN7N, 5693441]
[paragraph, [211.0, 461.0, 899.0, 36.0], shoonya_2sT7RSJFH9MN7N, 5693441]
[paragraph, [211.0, 497.0, 899.0, 36.0], shoonya_2sT7RSJFH9MN7N, 5693441]
[paragraph, [211.0, 533.0, 899.0, 36.0], shoonya_2sT7RSJFH9MN7N, 5693441]
[paragraph, [211.0, 569.0, 899.0, 36.0], shoonya_2sT7RSJFH9MN7N, 5693441]
[unordered-list, [278.0, 647.0, 287.0, 36.0], shoonya_7s2WV1UJMRYX0W, 5693441]
[unordered-list, [278.0, 683.0, 287.0, 36.0], shoonya_7s2WV1UJMRYX0W, 5693441]
[unordered-list, [278.0, 719.0, 287.0, 36.0], shoonya_7s2WV1UJMRYX0W, 5693441]
[unordered-list, [278.0, 755.0, 287.0, 36.0], shoonya_7s2WV1UJMRYX0W, 5693441]
[unordered-list, [278.0, 791.0, 287.0, 36.0], shoonya_7s2WV1UJMRYX0W, 5693441]
[unordered-list, [278.0, 827.0, 287.0, 36.0], shoonya_7s2WV1UJMRYX0W, 5693441]
[paragraph, [210.0, 914.0, 890.0, 36.0], shoonya_1sY96NG6DY14J2, 5693441]
[paragraph, [210.0, 950.0, 890.0, 36.0], shoonya_1sY96NG6DY14J2, 5693441]
[paragraph, [210.0, 986.0, 890.0, 36.0], shoonya_1sY96NG6DY14J2, 5693441]
[paragraph, [210.0, 1022.0, 890.0, 36.0], shoonya_1sY96NG6DY14J2, 5693441]
[paragraph, [210.0, 1058.0, 890.0, 36.0], shoonya_1sY96NG6DY14J2, 5693441]
[paragraph, [210.0, 1094.0, 890.0, 36.0], shoonya_1sY96NG6DY14J2, 5693441]
[paragraph, [210.0, 1130.0, 890.0, 36.0], shoonya_1sY96NG6DY14J2, 5693441]
[paragraph, [212.0, 1211.0, 891.0, 36.0], shoonya_0sK0PLXG16Q8F3, 5693441]
[paragraph, [212.0, 1247.0, 891.0, 36.0], shoonya_0sK0PLXG16Q8F3, 5693441]
[paragraph, [212.0, 1283.0, 891.0, 36.0], shoonya_0sK0PLXG16Q8F3, 5693441]
[paragraph, [212.0, 1319.0, 891.0, 36.0], shoonya_0sK0PLXG16Q8F3, 5693441]
[paragraph, [212.0, 1355.0, 891.0, 36.0], shoonya_0sK0PLXG16Q8F3, 5693441]
[paragraph, [212.0, 1391.0, 891.0, 36.0], shoonya_0sK0PLXG16Q8F3, 5693441]
[paragraph, [212.0, 1427.0, 891.0, 36.0], shoonya_0sK0PLXG16Q8F3, 5693441]
[paragraph, [212.0, 1463.0, 891.0, 36.0], shoonya_0sK0PLXG16Q8F3, 5693441]
[paragraph, [212.0, 1499.0, 891.0, 36.0], shoonya_0sK0PLXG16Q8F3, 5693441]
[paragraph, [212.0, 1535.0, 891.0, 36.0], shoonya_0sK0PLXG16Q8F3, 5693441]
