[1300, 900]
[folio, [323.0, 39.0, 251.0, 18.0], YV1pkuqk1a, 5731529]
[paragraph, [94.0, 101.0, 705.0, 18.0], shoonya_0sJJE76M1N5A4Q, 5731529]
[paragraph, [94.0, 119.0, 705.0, 18.0], shoonya_0sJJE76M1N5A4Q, 5731529]
[paragraph, [94.0, 137.0, 705.0, 18.0], shoonya_0sJJE76M1N5A4Q, 5731529]
[paragraph, [94.0, 155.0, 705.0, 18.0], shoonya_0sJJE76M1N5A4Q, 5731529]
[paragraph, [94.0, 173.0, 705.0, 18.0], shoonya_0sJJE76M1N5A4Q, 5731529]
[paragraph, [94.0, 191.0, 705.0, 18.0], shoonya_0sJJE76M1N5A4Q, 5731529]
[paragraph, [94.0, 209.0, 705.0, 18.0], shoonya_0sJJE76M1N5A4Q, 5731529]
[paragraph, [94.0, 227.0, 705.0, 18.0], shoonya_0sJJE76M1N5A4Q, 5731529]
[paragraph, [94.0, 245.0, 705.0, 18.0], shoonya_0sJJE76M1N5A4Q, 5731529]
[paragraph, [94.0, 263.0, 705.0, 18.0], shoonya_0sJJE76M1N5A4Q, 5731529]
[paragraph, [94.0, 281.0, 705.0, 18.0], shoonya_0sJJE76M1N5A4Q, 5731529]
[paragraph, [94.0, 299.0, 705.0, 18.0], shoonya_0sJJE76M1N5A4Q, 5731529]
[paragraph, [94.0, 317.0, 705.0, 18.0], shoonya_0sJJE76M1N5A4Q, 5731529]
[paragraph, [94.0, 335.0, 705.0, 18.0], shoonya_0sJJE76M1N5A4Q, 5731529]
[paragraph, [94.0, 353.0, 705.0, 18.0], shoonya_0sJJE76M1N5A4Q, 5731529]
[paragraph, [94.0, 371.0, 705.0, 18.0], shoonya_0sJJE76M1N5A4Q, 5731529]
[paragraph, [94.0, 389.0, 705.0, 18.0], shoonya_0sJJE76M1N5A4Q, 5731529]
[paragraph, [94.0, 407.0, 705.0, 18.0], shoonya_0sJJE76M1N5A4Q, 5731529]
[paragraph, [94.0, 425.0, 705.0, 18.0], shoonya_0sJJE76M1N5A4Q, 5731529]
[paragraph, [94.0, 443.0, 705.0, 18.0], shoonya_0sJJE76M1N5A4Q, 5731529]
[paragraph, [94.0, 461.0, 705.0, 18.0], shoonya_0sJJE76M1N5A4Q, 5731529]
[paragraph, [94.0, 479.0, 705.0, 18.0], shoonya_0sJJE76M1N5A4Q, 5731529]
[paragraph, [94.0, 497.0, 705.0, 18.0], shoonya_0sJJE76M1N5A4Q, 5731529]
[paragraph, [94.0, 515.0, 705.0, 18.0], shoonya_0sJJE76M1N5A4Q, 5731529]
[paragraph, [94.0, 533.0, 705.0, 18.0], shoonya_0sJJE76M1N5A4Q, 5731529]
[paragraph, [94.0, 551.0, 705.0, 18.0], shoonya_0sJJE76M1N5A4Q, 5731529]
[paragraph, [94.0, 569.0, 705.0, 18.0], shoonya_0sJJE76M1N5A4Q, 5731529]
[paragraph, [94.0, 587.0, 705.0, 18.0], shoonya_0sJJE76M1N5A4Q, 5731529]
[paragraph, [94.0, 605.0, 705.0, 18.0], shoonya_0sJJE76M1N5A4Q, 5731529]
[paragraph, [94.0, 623.0, 705.0, 18.0], shoonya_0sJJE76M1N5A4Q, 5731529]
[paragraph, [94.0, 641.0, 705.0, 18.0], shoonya_0sJJE76M1N5A4Q, 5731529]
[paragraph, [94.0, 659.0, 705.0, 18.0], shoonya_0sJJE76M1N5A4Q, 5731529]
[paragraph, [94.0, 677.0, 705.0, 18.0], shoonya_0sJJE76M1N5A4Q, 5731529]
[paragraph, [94.0, 695.0, 705.0, 18.0], shoonya_0sJJE76M1N5A4Q, 5731529]
[paragraph, [94.0, 713.0, 705.0, 18.0], shoonya_0sJJE76M1N5A4Q, 5731529]
[paragraph, [94.0, 731.0, 705.0, 18.0], shoonya_0sJJE76M1N5A4Q, 5731529]
[paragraph, [94.0, 749.0, 705.0, 18.0], shoonya_0sJJE76M1N5A4Q, 5731529]
[paragraph, [94.0, 767.0, 705.0, 18.0], shoonya_0sJJE76M1N5A4Q, 5731529]
[paragraph, [94.0, 785.0, 705.0, 18.0], shoonya_0sJJE76M1N5A4Q, 5731529]
[paragraph, [94.0, 803.0, 705.0, 18.0], shoonya_0sJJE76M1N5A4Q, 5731529]
[paragraph, [94.0, 821.0, 705.0, 18.0], shoonya_0sJJE76M1N5A4Q, 5731529]
[paragraph, [94.0, 839.0, 705.0, 18.0], shoonya_0sJJE76M1N5A4Q, 5731529]
[paragraph, [94.0, 857.0, 705.0, 18.0], shoonya_0sJJE76M1N5A4Q, 5731529]
[paragraph, [94.0, 875.0, 705.0, 18.0], shoonya_0sJJE76M1N5A4Q, 5731529]
[paragraph, [94.0, 893.0, 705.0, 18.0], shoonya_0sJJE76M1N5A4Q, 5731529]
[paragraph, [94.0, 911.0, 705.0, 18.0], shoonya_0sJJE76M1N5A4Q, 5731529]
[paragraph, [94.0, 929.0, 705.0, 18.0], shoonya_0sJJE76M1N5A4Q, 5731529]
[paragraph, [94.0, 947.0, 705.0, 18.0], shoonya_0sJJE76M1N5A4Q, 5731529]
[paragraph, [94.0, 965.0, 705.0, 18.0], shoonya_0sJJE76M1N5A4Q, 5731529]
[paragraph, [94.0, 983.0, 705.0, 18.0], shoonya_0sJJE76M1N5A4Q, 5731529]
[paragraph, [94.0, 1001.0, 705.0, 18.0], shoonya_0sJJE76M1N5A4Q, 5731529]
[paragraph, [94.0, 1019.0, 705.0, 18.0], shoonya_0sJJE76M1N5A4Q, 5731529]
[paragraph, [94.0, 1037.0, 705.0, 18.0], shoonya_0sJJE76M1N5A4Q, 5731529]
[paragraph, [94.0, 1055.0, 705.0, 18.0], shoonya_0sJJE76M1N5A4Q, 5731529]
[paragraph, [94.0, 1073.0, 705.0, 18.0], shoonya_0sJJE76M1N5A4Q, 5731529]
[paragraph, [94.0, 1091.0, 705.0, 18.0], shoonya_0sJJE76M1N5A4Q, 5731529]
[paragraph, [94.0, 1109.0, 705.0, 18.0], shoonya_0sJJE76M1N5A4Q, 5731529]
[paragraph, [94.0, 1127.0, 705.0, 18.0], shoonya_0sJJE76M1N5A4Q, 5731529]
[paragraph, [94.0, 1145.0, 705.0, 18.0], shoonya_0sJJE76M1N5A4Q, 5731529]
[paragraph, [94.0, 1163.0, 705.0, 18.0], shoonya_0sJJE76M1N5A4Q, 5731529]
[paragraph, [94.0, 1181.0, 705.0, 18.0], shoonya_0sJJE76M1N5A4Q, 5731529]
[paragraph, [94.0, 1199.0, 705.0, 18.0], shoonya_0sJJE76M1N5A4Q, 5731529]
[paragraph, [94.0, 1217.0, 705.0, 18.0], shoonya_0sJJE76M1N5A4Q, 5731529]
