[2339, 1653]
[paragraph, [708.0, 196.0, 704.0, 36.0], shoonya_0sVFUVB8NMQFD6, 5753395]
[paragraph, [708.0, 232.0, 704.0, 36.0], shoonya_0sVFUVB8NMQFD6, 5753395]
[paragraph, [708.0, 268.0, 704.0, 36.0], shoonya_0sVFUVB8NMQFD6, 5753395]
[paragraph, [708.0, 304.0, 704.0, 36.0], shoonya_0sVFUVB8NMQFD6, 5753395]
[paragraph, [708.0, 340.0, 704.0, 36.0], shoonya_0sVFUVB8NMQFD6, 5753395]
[paragraph, [708.0, 376.0, 704.0, 36.0], shoonya_0sVFUVB8NMQFD6, 5753395]
[paragraph, [708.0, 412.0, 704.0, 36.0], shoonya_0sVFUVB8NMQFD6, 5753395]
[paragraph, [708.0, 448.0, 704.0, 36.0], shoonya_0sVFUVB8NMQFD6, 5753395]
[paragraph, [708.0, 484.0, 704.0, 36.0], shoonya_0sVFUVB8NMQFD6, 5753395]
[paragraph, [708.0, 520.0, 704.0, 36.0], shoonya_0sVFUVB8NMQFD6, 5753395]
[paragraph, [708.0, 556.0, 704.0, 36.0], shoonya_0sVFUVB8NMQFD6, 5753395]
[paragraph, [708.0, 592.0, 704.0, 36.0], shoonya_0sVFUVB8NMQFD6, 5753395]
[paragraph, [708.0, 628.0, 704.0, 36.0], shoonya_0sVFUVB8NMQFD6, 5753395]
[paragraph, [708.0, 664.0, 704.0, 36.0], shoonya_0sVFUVB8NMQFD6, 5753395]
[paragraph, [708.0, 700.0, 704.0, 36.0], shoonya_0sVFUVB8NMQFD6, 5753395]
[paragraph, [708.0, 736.0, 704.0, 36.0], shoonya_0sVFUVB8NMQFD6, 5753395]
[paragraph, [708.0, 772.0, 704.0, 36.0], shoonya_0sVFUVB8NMQFD6, 5753395]
[paragraph, [708.0, 808.0, 704.0, 36.0], shoonya_0sVFUVB8NMQFD6, 5753395]
[paragraph, [236.0, 893.0, 1176.0, 36.0], shoonya_3sPPD4UGLU1N8C, 5753395]
[paragraph, [236.0, 929.0, 1176.0, 36.0], shoonya_3sPPD4UGLU1N8C, 5753395]
[paragraph, [236.0, 965.0, 1176.0, 36.0], shoonya_3sPPD4UGLU1N8C, 5753395]
[paragraph, [236.0, 1001.0, 1176.0, 36.0], shoonya_3sPPD4UGLU1N8C, 5753395]
[paragraph, [236.0, 1037.0, 1176.0, 36.0], shoonya_3sPPD4UGLU1N8C, 5753395]
[paragraph, [236.0, 1073.0, 1176.0, 36.0], shoonya_3sPPD4UGLU1N8C, 5753395]
[paragraph, [236.0, 1109.0, 1176.0, 36.0], shoonya_3sPPD4UGLU1N8C, 5753395]
[paragraph, [236.0, 1145.0, 1176.0, 36.0], shoonya_3sPPD4UGLU1N8C, 5753395]
[paragraph, [236.0, 1181.0, 1176.0, 36.0], shoonya_3sPPD4UGLU1N8C, 5753395]
[paragraph, [236.0, 1217.0, 1176.0, 36.0], shoonya_3sPPD4UGLU1N8C, 5753395]
[paragraph, [236.0, 1253.0, 1176.0, 36.0], shoonya_3sPPD4UGLU1N8C, 5753395]
[paragraph, [236.0, 1289.0, 1176.0, 36.0], shoonya_3sPPD4UGLU1N8C, 5753395]
[paragraph, [515.0, 1382.0, 422.0, 36.0], shoonya_5s5GE0JMALU9FF, 5753395]
[paragraph, [510.0, 1499.0, 441.0, 36.0], shoonya_6s9X5JX3ULKZRI, 5753395]
[paragraph, [240.0, 1616.0, 1174.0, 36.0], shoonya_2s8AZM1NJU5SR1, 5753395]
[paragraph, [240.0, 1652.0, 1174.0, 36.0], shoonya_2s8AZM1NJU5SR1, 5753395]
[paragraph, [240.0, 1688.0, 1174.0, 36.0], shoonya_2s8AZM1NJU5SR1, 5753395]
[paragraph, [240.0, 1724.0, 1174.0, 36.0], shoonya_2s8AZM1NJU5SR1, 5753395]
[paragraph, [240.0, 1760.0, 1174.0, 36.0], shoonya_2s8AZM1NJU5SR1, 5753395]
[paragraph, [240.0, 1796.0, 1174.0, 36.0], shoonya_2s8AZM1NJU5SR1, 5753395]
[paragraph, [240.0, 1832.0, 1174.0, 36.0], shoonya_2s8AZM1NJU5SR1, 5753395]
[paragraph, [240.0, 1868.0, 1174.0, 36.0], shoonya_2s8AZM1NJU5SR1, 5753395]
[paragraph, [240.0, 1904.0, 1174.0, 36.0], shoonya_2s8AZM1NJU5SR1, 5753395]
[reference, [232.0, 1995.0, 918.0, 36.0], assArWX-WK, 5753395]
[reference, [232.0, 2031.0, 918.0, 36.0], assArWX-WK, 5753395]
[reference, [232.0, 2067.0, 918.0, 36.0], assArWX-WK, 5753395]
[reference, [232.0, 2103.0, 918.0, 36.0], assArWX-WK, 5753395]
