[567, 454]
[chapter-title, [236.0, 108.0, 197.0, 30.0], AjGLLzF_L6, 6460768]
[paragraph, [233.0, 153.0, 197.0, 18.0], shoonya_1s4N2EIOZBCVRH, 6460768]
[paragraph, [233.0, 171.0, 197.0, 18.0], shoonya_1s4N2EIOZBCVRH, 6460768]
[paragraph, [233.0, 189.0, 197.0, 18.0], shoonya_1s4N2EIOZBCVRH, 6460768]
[paragraph, [233.0, 207.0, 197.0, 18.0], shoonya_1s4N2EIOZBCVRH, 6460768]
[paragraph, [233.0, 225.0, 197.0, 18.0], shoonya_1s4N2EIOZBCVRH, 6460768]
[paragraph, [233.0, 243.0, 197.0, 18.0], shoonya_1s4N2EIOZBCVRH, 6460768]
[paragraph, [233.0, 261.0, 197.0, 18.0], shoonya_1s4N2EIOZBCVRH, 6460768]
[paragraph, [233.0, 279.0, 197.0, 18.0], shoonya_1s4N2EIOZBCVRH, 6460768]
[paragraph, [233.0, 297.0, 197.0, 18.0], shoonya_1s4N2EIOZBCVRH, 6460768]
[paragraph, [233.0, 315.0, 197.0, 18.0], shoonya_1s4N2EIOZBCVRH, 6460768]
[paragraph, [233.0, 333.0, 197.0, 18.0], shoonya_1s4N2EIOZBCVRH, 6460768]
[paragraph, [233.0, 351.0, 197.0, 18.0], shoonya_1s4N2EIOZBCVRH, 6460768]
[paragraph, [233.0, 369.0, 197.0, 18.0], shoonya_1s4N2EIOZBCVRH, 6460768]
[paragraph, [233.0, 387.0, 197.0, 18.0], shoonya_1s4N2EIOZBCVRH, 6460768]
[paragraph, [233.0, 405.0, 197.0, 18.0], shoonya_1s4N2EIOZBCVRH, 6460768]
[paragraph, [233.0, 423.0, 197.0, 18.0], shoonya_1s4N2EIOZBCVRH, 6460768]
[paragraph, [236.0, 440.0, 191.0, 18.0], EJagslq7bW, 6460768]
[paragraph, [236.0, 458.0, 191.0, 18.0], EJagslq7bW, 6460768]
[figure-caption, [227.0, 492.0, 203.0, 18.0], mxlVII1m-z, 6460768]
[figure-caption, [227.0, 510.0, 203.0, 18.0], mxlVII1m-z, 6460768]
