[1468, 909]
[folio, [357.0, 63.0, 432.0, 18.0], JNF88RUKEu, 5770298]
[folio, [357.0, 81.0, 432.0, 18.0], JNF88RUKEu, 5770298]
[folio, [357.0, 99.0, 432.0, 18.0], JNF88RUKEu, 5770298]
[dateline, [84.0, 70.0, 259.0, 64.5], VGdroMg_eT, 5770298]
[paragraph, [463.0, 142.0, 369.0, 18.0], shoonya_2sXY6TD79HJZ5W, 5770298]
[paragraph, [463.0, 160.0, 369.0, 18.0], shoonya_2sXY6TD79HJZ5W, 5770298]
[paragraph, [463.0, 178.0, 369.0, 18.0], shoonya_2sXY6TD79HJZ5W, 5770298]
[paragraph, [463.0, 196.0, 369.0, 18.0], shoonya_2sXY6TD79HJZ5W, 5770298]
[paragraph, [463.0, 214.0, 369.0, 18.0], shoonya_2sXY6TD79HJZ5W, 5770298]
[paragraph, [463.0, 232.0, 369.0, 18.0], shoonya_2sXY6TD79HJZ5W, 5770298]
[paragraph, [463.0, 250.0, 369.0, 18.0], shoonya_2sXY6TD79HJZ5W, 5770298]
[paragraph, [463.0, 268.0, 369.0, 18.0], shoonya_2sXY6TD79HJZ5W, 5770298]
[paragraph, [463.0, 286.0, 369.0, 18.0], shoonya_2sXY6TD79HJZ5W, 5770298]
[paragraph, [463.0, 304.0, 369.0, 18.0], shoonya_2sXY6TD79HJZ5W, 5770298]
[paragraph, [463.0, 322.0, 369.0, 18.0], shoonya_2sXY6TD79HJZ5W, 5770298]
[paragraph, [463.0, 340.0, 369.0, 18.0], shoonya_2sXY6TD79HJZ5W, 5770298]
[paragraph, [463.0, 358.0, 369.0, 18.0], shoonya_2sXY6TD79HJZ5W, 5770298]
[paragraph, [463.0, 376.0, 369.0, 18.0], shoonya_2sXY6TD79HJZ5W, 5770298]
[paragraph, [463.0, 394.0, 369.0, 18.0], shoonya_2sXY6TD79HJZ5W, 5770298]
[paragraph, [463.0, 412.0, 369.0, 18.0], shoonya_2sXY6TD79HJZ5W, 5770298]
[paragraph, [463.0, 430.0, 369.0, 18.0], shoonya_2sXY6TD79HJZ5W, 5770298]
[paragraph, [463.0, 448.0, 369.0, 18.0], shoonya_2sXY6TD79HJZ5W, 5770298]
[paragraph, [77.0, 145.0, 378.0, 18.0], 7VzhP8CtN9, 5770298]
[paragraph, [77.0, 163.0, 378.0, 18.0], 7VzhP8CtN9, 5770298]
[paragraph, [77.0, 181.0, 378.0, 18.0], 7VzhP8CtN9, 5770298]
[paragraph, [77.0, 199.0, 378.0, 18.0], 7VzhP8CtN9, 5770298]
[paragraph, [77.0, 217.0, 378.0, 18.0], 7VzhP8CtN9, 5770298]
[paragraph, [77.0, 235.0, 378.0, 18.0], 7VzhP8CtN9, 5770298]
[paragraph, [77.0, 253.0, 378.0, 18.0], 7VzhP8CtN9, 5770298]
[paragraph, [77.0, 271.0, 378.0, 18.0], 7VzhP8CtN9, 5770298]
[paragraph, [77.0, 289.0, 378.0, 18.0], 7VzhP8CtN9, 5770298]
[paragraph, [77.0, 307.0, 378.0, 18.0], 7VzhP8CtN9, 5770298]
[paragraph, [77.0, 325.0, 378.0, 18.0], 7VzhP8CtN9, 5770298]
[paragraph, [77.0, 343.0, 378.0, 18.0], 7VzhP8CtN9, 5770298]
[paragraph, [77.0, 361.0, 378.0, 18.0], 7VzhP8CtN9, 5770298]
[paragraph, [77.0, 379.0, 378.0, 18.0], 7VzhP8CtN9, 5770298]
[paragraph, [77.0, 397.0, 378.0, 18.0], 7VzhP8CtN9, 5770298]
[paragraph, [77.0, 415.0, 378.0, 18.0], 7VzhP8CtN9, 5770298]
[paragraph, [77.0, 433.0, 378.0, 18.0], 7VzhP8CtN9, 5770298]
[paragraph, [77.0, 451.0, 378.0, 18.0], 7VzhP8CtN9, 5770298]
[paragraph, [77.0, 469.0, 378.0, 18.0], 7VzhP8CtN9, 5770298]
[paragraph, [77.0, 487.0, 378.0, 18.0], 7VzhP8CtN9, 5770298]
[paragraph, [77.0, 505.0, 378.0, 18.0], 7VzhP8CtN9, 5770298]
[paragraph, [77.0, 523.0, 378.0, 18.0], 7VzhP8CtN9, 5770298]
[paragraph, [77.0, 541.0, 378.0, 18.0], 7VzhP8CtN9, 5770298]
[paragraph, [77.0, 559.0, 378.0, 18.0], 7VzhP8CtN9, 5770298]
[paragraph, [77.0, 577.0, 378.0, 18.0], 7VzhP8CtN9, 5770298]
[paragraph, [77.0, 595.0, 378.0, 18.0], 7VzhP8CtN9, 5770298]
[paragraph, [77.0, 613.0, 378.0, 18.0], 7VzhP8CtN9, 5770298]
[paragraph, [460.0, 480.0, 370.0, 18.0], shoonya_0s46QA0MJ9YO15, 5770298]
[paragraph, [460.0, 498.0, 370.0, 18.0], shoonya_0s46QA0MJ9YO15, 5770298]
[paragraph, [460.0, 516.0, 370.0, 18.0], shoonya_0s46QA0MJ9YO15, 5770298]
[paragraph, [460.0, 534.0, 370.0, 18.0], shoonya_0s46QA0MJ9YO15, 5770298]
[paragraph, [460.0, 552.0, 370.0, 18.0], shoonya_0s46QA0MJ9YO15, 5770298]
[paragraph, [460.0, 570.0, 370.0, 18.0], shoonya_0s46QA0MJ9YO15, 5770298]
[paragraph, [460.0, 588.0, 370.0, 18.0], shoonya_0s46QA0MJ9YO15, 5770298]
[paragraph, [460.0, 606.0, 370.0, 18.0], shoonya_0s46QA0MJ9YO15, 5770298]
[paragraph, [460.0, 624.0, 370.0, 18.0], shoonya_0s46QA0MJ9YO15, 5770298]
[paragraph, [460.0, 642.0, 370.0, 18.0], shoonya_0s46QA0MJ9YO15, 5770298]
[paragraph, [460.0, 660.0, 370.0, 18.0], shoonya_0s46QA0MJ9YO15, 5770298]
[paragraph, [460.0, 678.0, 370.0, 18.0], shoonya_0s46QA0MJ9YO15, 5770298]
[paragraph, [460.0, 696.0, 370.0, 18.0], shoonya_0s46QA0MJ9YO15, 5770298]
[paragraph, [460.0, 714.0, 370.0, 18.0], shoonya_0s46QA0MJ9YO15, 5770298]
[paragraph, [460.0, 732.0, 370.0, 18.0], shoonya_0s46QA0MJ9YO15, 5770298]
[paragraph, [460.0, 750.0, 370.0, 18.0], shoonya_0s46QA0MJ9YO15, 5770298]
[paragraph, [460.0, 768.0, 370.0, 18.0], shoonya_0s46QA0MJ9YO15, 5770298]
