[1606, 1056]
[folio, [443.0, 101.0, 161.0, 36.0], shoonya_2sYTNTLZ7UF4S1, 5684232]
[paragraph, [110.0, 156.0, 843.0, 36.0], shoonya_6sJCFBJGFB5TEL, 5684232]
[paragraph, [110.0, 192.0, 843.0, 36.0], shoonya_6sJCFBJGFB5TEL, 5684232]
[paragraph, [263.0, 244.0, 483.0, 36.0], shoonya_5sRAEZ8IGFINXI, 5684232]
[paragraph, [263.0, 280.0, 483.0, 36.0], shoonya_5sRAEZ8IGFINXI, 5684232]
[paragraph, [104.0, 333.0, 853.0, 36.0], shoonya_1sEX2BG7RDZAM0, 5684232]
[paragraph, [104.0, 369.0, 853.0, 36.0], shoonya_1sEX2BG7RDZAM0, 5684232]
[paragraph, [104.0, 405.0, 853.0, 36.0], shoonya_1sEX2BG7RDZAM0, 5684232]
[paragraph, [104.0, 441.0, 853.0, 36.0], shoonya_1sEX2BG7RDZAM0, 5684232]
[paragraph, [104.0, 477.0, 853.0, 36.0], shoonya_1sEX2BG7RDZAM0, 5684232]
[paragraph, [104.0, 513.0, 853.0, 36.0], shoonya_1sEX2BG7RDZAM0, 5684232]
[paragraph, [104.0, 549.0, 853.0, 36.0], shoonya_1sEX2BG7RDZAM0, 5684232]
[paragraph, [104.0, 585.0, 853.0, 36.0], shoonya_1sEX2BG7RDZAM0, 5684232]
[paragraph, [104.0, 621.0, 853.0, 36.0], shoonya_1sEX2BG7RDZAM0, 5684232]
[paragraph, [104.0, 657.0, 853.0, 36.0], shoonya_1sEX2BG7RDZAM0, 5684232]
[paragraph, [104.0, 693.0, 853.0, 36.0], shoonya_1sEX2BG7RDZAM0, 5684232]
[paragraph, [104.0, 729.0, 853.0, 36.0], shoonya_1sEX2BG7RDZAM0, 5684232]
[paragraph, [104.0, 765.0, 853.0, 36.0], shoonya_1sEX2BG7RDZAM0, 5684232]
[paragraph, [104.0, 801.0, 853.0, 36.0], shoonya_1sEX2BG7RDZAM0, 5684232]
[paragraph, [249.0, 870.0, 589.0, 36.0], Vb2c13ctW9, 5684232]
[paragraph, [249.0, 906.0, 589.0, 36.0], Vb2c13ctW9, 5684232]
[paragraph, [101.0, 962.0, 850.0, 36.0], shoonya_0sY64BI7R9FOS2, 5684232]
[paragraph, [101.0, 998.0, 850.0, 36.0], shoonya_0sY64BI7R9FOS2, 5684232]
[paragraph, [101.0, 1034.0, 850.0, 36.0], shoonya_0sY64BI7R9FOS2, 5684232]
[paragraph, [101.0, 1070.0, 850.0, 36.0], shoonya_0sY64BI7R9FOS2, 5684232]
[paragraph, [101.0, 1106.0, 850.0, 36.0], shoonya_0sY64BI7R9FOS2, 5684232]
[paragraph, [101.0, 1142.0, 850.0, 36.0], shoonya_0sY64BI7R9FOS2, 5684232]
[paragraph, [101.0, 1178.0, 850.0, 36.0], shoonya_0sY64BI7R9FOS2, 5684232]
[paragraph, [101.0, 1214.0, 850.0, 36.0], shoonya_0sY64BI7R9FOS2, 5684232]
[paragraph, [101.0, 1250.0, 850.0, 36.0], shoonya_0sY64BI7R9FOS2, 5684232]
[paragraph, [101.0, 1286.0, 850.0, 36.0], shoonya_0sY64BI7R9FOS2, 5684232]
[paragraph, [101.0, 1322.0, 850.0, 36.0], shoonya_0sY64BI7R9FOS2, 5684232]
[paragraph, [101.0, 1358.0, 850.0, 36.0], shoonya_0sY64BI7R9FOS2, 5684232]
[paragraph, [101.0, 1394.0, 850.0, 36.0], shoonya_0sY64BI7R9FOS2, 5684232]
[paragraph, [101.0, 1430.0, 850.0, 36.0], shoonya_0sY64BI7R9FOS2, 5684232]
[paragraph, [101.0, 1466.0, 850.0, 36.0], shoonya_0sY64BI7R9FOS2, 5684232]
