[1320, 1176]
[chapter-title, [467.0, 80.0, 251.0, 30.0], shoonya_10sGCRBXU95SKB, 5694527]
[chapter-title, [467.0, 110.0, 251.0, 30.0], shoonya_10sGCRBXU95SKB, 5694527]
[chapter-title, [467.0, 140.0, 251.0, 30.0], shoonya_10sGCRBXU95SKB, 5694527]
[chapter-title, [467.0, 170.0, 251.0, 30.0], shoonya_10sGCRBXU95SKB, 5694527]
[author, [507.0, 216.0, 173.0, 18.0], FxLnv6Wjm8, 5694527]
[paragraph, [423.0, 246.0, 343.0, 18.0], shoonya_11sB8GVZBW0ZRU, 5694527]
[paragraph, [423.0, 264.0, 343.0, 18.0], shoonya_11sB8GVZBW0ZRU, 5694527]
[paragraph, [423.0, 282.0, 343.0, 18.0], shoonya_11sB8GVZBW0ZRU, 5694527]
[paragraph, [423.0, 300.0, 343.0, 18.0], shoonya_11sB8GVZBW0ZRU, 5694527]
[paragraph, [423.0, 318.0, 343.0, 18.0], shoonya_11sB8GVZBW0ZRU, 5694527]
[paragraph, [423.0, 336.0, 343.0, 18.0], shoonya_11sB8GVZBW0ZRU, 5694527]
[paragraph, [423.0, 354.0, 343.0, 18.0], shoonya_11sB8GVZBW0ZRU, 5694527]
[paragraph, [423.0, 372.0, 343.0, 18.0], shoonya_11sB8GVZBW0ZRU, 5694527]
[paragraph, [423.0, 390.0, 343.0, 18.0], shoonya_11sB8GVZBW0ZRU, 5694527]
[paragraph, [423.0, 408.0, 343.0, 18.0], shoonya_11sB8GVZBW0ZRU, 5694527]
[paragraph, [423.0, 426.0, 343.0, 18.0], shoonya_11sB8GVZBW0ZRU, 5694527]
[paragraph, [423.0, 444.0, 343.0, 18.0], shoonya_11sB8GVZBW0ZRU, 5694527]
[paragraph, [423.0, 462.0, 343.0, 18.0], shoonya_11sB8GVZBW0ZRU, 5694527]
[paragraph, [423.0, 480.0, 343.0, 18.0], shoonya_11sB8GVZBW0ZRU, 5694527]
[paragraph, [423.0, 498.0, 343.0, 18.0], shoonya_11sB8GVZBW0ZRU, 5694527]
