[1545, 2000]
[section-title, [1519.0, 106.0, 300.0, 49.5], I3tK-h36Gp, 6490864]
[paragraph, [38.0, 147.0, 597.0, 36.0], 1lS5PSBXDf, 6490864]
[paragraph, [38.0, 183.0, 597.0, 36.0], 1lS5PSBXDf, 6490864]
[paragraph, [38.0, 219.0, 597.0, 36.0], 1lS5PSBXDf, 6490864]
[paragraph, [38.0, 255.0, 597.0, 36.0], 1lS5PSBXDf, 6490864]
[paragraph, [38.0, 291.0, 597.0, 36.0], 1lS5PSBXDf, 6490864]
[paragraph, [38.0, 327.0, 597.0, 36.0], 1lS5PSBXDf, 6490864]
[paragraph, [38.0, 363.0, 597.0, 36.0], 1lS5PSBXDf, 6490864]
[paragraph, [38.0, 399.0, 597.0, 36.0], 1lS5PSBXDf, 6490864]
[section-title, [709.0, 150.0, 501.0, 49.5], UDZqhoPAUF, 6490864]
[headline, [1361.0, 229.0, 613.0, 37.5], rU_U4utMT-, 6490864]
[headline, [1361.0, 266.5, 613.0, 37.5], rU_U4utMT-, 6490864]
[headline, [1361.0, 304.0, 613.0, 37.5], rU_U4utMT-, 6490864]
[headline, [1361.0, 341.5, 613.0, 37.5], rU_U4utMT-, 6490864]
[headline, [1361.0, 379.0, 613.0, 37.5], rU_U4utMT-, 6490864]
[headline, [1361.0, 416.5, 613.0, 37.5], rU_U4utMT-, 6490864]
[paragraph, [725.0, 239.0, 549.0, 36.0], 0KM1ZXDssD, 6490864]
[paragraph, [725.0, 275.0, 549.0, 36.0], 0KM1ZXDssD, 6490864]
[paragraph, [725.0, 311.0, 549.0, 36.0], 0KM1ZXDssD, 6490864]
[paragraph, [725.0, 347.0, 549.0, 36.0], 0KM1ZXDssD, 6490864]
[paragraph, [725.0, 383.0, 549.0, 36.0], 0KM1ZXDssD, 6490864]
[paragraph, [725.0, 419.0, 549.0, 36.0], 0KM1ZXDssD, 6490864]
[paragraph, [20.0, 453.0, 613.0, 36.0], acQcrHO986, 6490864]
[paragraph, [20.0, 489.0, 613.0, 36.0], acQcrHO986, 6490864]
[paragraph, [20.0, 525.0, 613.0, 36.0], acQcrHO986, 6490864]
[paragraph, [20.0, 561.0, 613.0, 36.0], acQcrHO986, 6490864]
[paragraph, [20.0, 597.0, 613.0, 36.0], acQcrHO986, 6490864]
[paragraph, [20.0, 633.0, 613.0, 36.0], acQcrHO986, 6490864]
[paragraph, [697.0, 501.0, 636.0, 36.0], -Bey1xGFrr, 6490864]
[paragraph, [697.0, 537.0, 636.0, 36.0], -Bey1xGFrr, 6490864]
[paragraph, [697.0, 573.0, 636.0, 36.0], -Bey1xGFrr, 6490864]
[paragraph, [697.0, 609.0, 636.0, 36.0], -Bey1xGFrr, 6490864]
[paragraph, [697.0, 645.0, 636.0, 36.0], -Bey1xGFrr, 6490864]
[paragraph, [697.0, 681.0, 636.0, 36.0], -Bey1xGFrr, 6490864]
[paragraph, [697.0, 717.0, 636.0, 36.0], -Bey1xGFrr, 6490864]
[paragraph, [697.0, 753.0, 636.0, 36.0], -Bey1xGFrr, 6490864]
[paragraph, [697.0, 789.0, 636.0, 36.0], -Bey1xGFrr, 6490864]
[paragraph, [697.0, 825.0, 636.0, 36.0], -Bey1xGFrr, 6490864]
[paragraph, [697.0, 861.0, 636.0, 36.0], -Bey1xGFrr, 6490864]
[paragraph, [697.0, 897.0, 636.0, 36.0], -Bey1xGFrr, 6490864]
[paragraph, [697.0, 933.0, 636.0, 36.0], -Bey1xGFrr, 6490864]
[sub-headline, [1414.0, 514.0, 521.0, 36.0], pLbknz98ek, 6490864]
[sub-headline, [1414.0, 550.0, 521.0, 36.0], pLbknz98ek, 6490864]
[sub-headline, [1414.0, 586.0, 521.0, 36.0], pLbknz98ek, 6490864]
[quote, [1440.0, 748.0, 216.0, 36.0], nLQPfLG5i1, 6490864]
[quote, [1440.0, 784.0, 216.0, 36.0], nLQPfLG5i1, 6490864]
[quote, [1440.0, 820.0, 216.0, 36.0], nLQPfLG5i1, 6490864]
[section-title, [712.0, 1030.0, 488.0, 49.5], qskkZ815YR, 6490864]
[section-title, [712.0, 1079.5, 488.0, 49.5], qskkZ815YR, 6490864]
[contact-info, [725.0, 1142.0, 468.0, 36.0], h1PklXkPiQ, 6490864]
[contact-info, [725.0, 1178.0, 468.0, 36.0], h1PklXkPiQ, 6490864]
[contact-info, [725.0, 1214.0, 468.0, 36.0], h1PklXkPiQ, 6490864]
[contact-info, [725.0, 1250.0, 468.0, 36.0], h1PklXkPiQ, 6490864]
[contact-info, [725.0, 1286.0, 468.0, 36.0], h1PklXkPiQ, 6490864]
[contact-info, [725.0, 1322.0, 468.0, 36.0], h1PklXkPiQ, 6490864]
