[1275, 750]
[folio, [299.0, 72.0, 134.0, 18.0], shoonya_3sKOHKVBIKJTIE, 5767125]
[folio, [299.0, 90.0, 134.0, 18.0], shoonya_3sKOHKVBIKJTIE, 5767125]
[folio, [299.0, 108.0, 134.0, 18.0], shoonya_3sKOHKVBIKJTIE, 5767125]
[paragraph, [49.0, 138.0, 648.0, 18.0], shoonya_1sHJW6H1L4O3DW, 5767125]
[paragraph, [49.0, 156.0, 648.0, 18.0], shoonya_1sHJW6H1L4O3DW, 5767125]
[paragraph, [49.0, 174.0, 648.0, 18.0], shoonya_1sHJW6H1L4O3DW, 5767125]
[paragraph, [49.0, 192.0, 648.0, 18.0], shoonya_1sHJW6H1L4O3DW, 5767125]
[paragraph, [49.0, 210.0, 648.0, 18.0], shoonya_1sHJW6H1L4O3DW, 5767125]
[paragraph, [49.0, 228.0, 648.0, 18.0], shoonya_1sHJW6H1L4O3DW, 5767125]
[paragraph, [49.0, 246.0, 648.0, 18.0], shoonya_1sHJW6H1L4O3DW, 5767125]
[paragraph, [49.0, 264.0, 648.0, 18.0], shoonya_1sHJW6H1L4O3DW, 5767125]
[paragraph, [49.0, 282.0, 648.0, 18.0], shoonya_1sHJW6H1L4O3DW, 5767125]
[paragraph, [49.0, 300.0, 648.0, 18.0], shoonya_1sHJW6H1L4O3DW, 5767125]
[paragraph, [49.0, 318.0, 648.0, 18.0], shoonya_1sHJW6H1L4O3DW, 5767125]
[paragraph, [49.0, 336.0, 648.0, 18.0], shoonya_1sHJW6H1L4O3DW, 5767125]
[paragraph, [49.0, 354.0, 648.0, 18.0], shoonya_1sHJW6H1L4O3DW, 5767125]
[paragraph, [49.0, 372.0, 648.0, 18.0], shoonya_1sHJW6H1L4O3DW, 5767125]
[paragraph, [49.0, 390.0, 648.0, 18.0], shoonya_1sHJW6H1L4O3DW, 5767125]
[paragraph, [49.0, 408.0, 648.0, 18.0], shoonya_1sHJW6H1L4O3DW, 5767125]
[paragraph, [49.0, 426.0, 648.0, 18.0], shoonya_1sHJW6H1L4O3DW, 5767125]
[paragraph, [49.0, 444.0, 648.0, 18.0], shoonya_1sHJW6H1L4O3DW, 5767125]
[paragraph, [49.0, 462.0, 648.0, 18.0], shoonya_1sHJW6H1L4O3DW, 5767125]
[paragraph, [49.0, 480.0, 648.0, 18.0], shoonya_1sHJW6H1L4O3DW, 5767125]
[paragraph, [49.0, 498.0, 648.0, 18.0], shoonya_1sHJW6H1L4O3DW, 5767125]
[paragraph, [49.0, 516.0, 648.0, 18.0], shoonya_1sHJW6H1L4O3DW, 5767125]
[paragraph, [49.0, 534.0, 648.0, 18.0], shoonya_1sHJW6H1L4O3DW, 5767125]
[paragraph, [49.0, 552.0, 648.0, 18.0], shoonya_1sHJW6H1L4O3DW, 5767125]
[paragraph, [49.0, 570.0, 648.0, 18.0], shoonya_1sHJW6H1L4O3DW, 5767125]
[paragraph, [49.0, 588.0, 648.0, 18.0], shoonya_1sHJW6H1L4O3DW, 5767125]
[paragraph, [49.0, 606.0, 648.0, 18.0], shoonya_1sHJW6H1L4O3DW, 5767125]
