[1034, 680]
[folio, [275.0, 69.0, 103.0, 18.0], shoonya_0sMO2P95N0V890, 5740011]
[folio, [275.0, 87.0, 103.0, 18.0], shoonya_0sMO2P95N0V890, 5740011]
[paragraph, [64.0, 127.0, 540.0, 18.0], nOEbAN22Zy, 5740011]
[paragraph, [64.0, 145.0, 540.0, 18.0], nOEbAN22Zy, 5740011]
[paragraph, [64.0, 163.0, 540.0, 18.0], nOEbAN22Zy, 5740011]
[paragraph, [64.0, 181.0, 540.0, 18.0], nOEbAN22Zy, 5740011]
[paragraph, [64.0, 199.0, 540.0, 18.0], nOEbAN22Zy, 5740011]
[paragraph, [64.0, 217.0, 540.0, 18.0], nOEbAN22Zy, 5740011]
[paragraph, [64.0, 235.0, 540.0, 18.0], nOEbAN22Zy, 5740011]
[paragraph, [64.0, 253.0, 540.0, 18.0], nOEbAN22Zy, 5740011]
[paragraph, [64.0, 271.0, 540.0, 18.0], nOEbAN22Zy, 5740011]
[paragraph, [64.0, 289.0, 540.0, 18.0], nOEbAN22Zy, 5740011]
[paragraph, [64.0, 307.0, 540.0, 18.0], nOEbAN22Zy, 5740011]
[paragraph, [64.0, 325.0, 540.0, 18.0], nOEbAN22Zy, 5740011]
[paragraph, [64.0, 343.0, 540.0, 18.0], nOEbAN22Zy, 5740011]
[paragraph, [64.0, 361.0, 540.0, 18.0], nOEbAN22Zy, 5740011]
[paragraph, [64.0, 379.0, 540.0, 18.0], nOEbAN22Zy, 5740011]
[paragraph, [64.0, 397.0, 540.0, 18.0], nOEbAN22Zy, 5740011]
[paragraph, [64.0, 415.0, 540.0, 18.0], nOEbAN22Zy, 5740011]
[paragraph, [64.0, 433.0, 540.0, 18.0], nOEbAN22Zy, 5740011]
[paragraph, [64.0, 451.0, 540.0, 18.0], nOEbAN22Zy, 5740011]
[paragraph, [64.0, 469.0, 540.0, 18.0], nOEbAN22Zy, 5740011]
[paragraph, [64.0, 487.0, 540.0, 18.0], nOEbAN22Zy, 5740011]
[paragraph, [64.0, 505.0, 540.0, 18.0], nOEbAN22Zy, 5740011]
[paragraph, [64.0, 523.0, 540.0, 18.0], nOEbAN22Zy, 5740011]
[paragraph, [64.0, 541.0, 540.0, 18.0], nOEbAN22Zy, 5740011]
[paragraph, [64.0, 559.0, 540.0, 18.0], nOEbAN22Zy, 5740011]
[paragraph, [64.0, 577.0, 540.0, 18.0], nOEbAN22Zy, 5740011]
[paragraph, [64.0, 595.0, 540.0, 18.0], nOEbAN22Zy, 5740011]
[paragraph, [64.0, 613.0, 540.0, 18.0], nOEbAN22Zy, 5740011]
[paragraph, [64.0, 631.0, 540.0, 18.0], nOEbAN22Zy, 5740011]
[paragraph, [64.0, 649.0, 540.0, 18.0], nOEbAN22Zy, 5740011]
[paragraph, [64.0, 667.0, 540.0, 18.0], nOEbAN22Zy, 5740011]
[paragraph, [64.0, 685.0, 540.0, 18.0], nOEbAN22Zy, 5740011]
[paragraph, [63.0, 717.0, 537.0, 18.0], shoonya_1s6BD75EYKTPWP, 5740011]
[paragraph, [63.0, 735.0, 537.0, 18.0], shoonya_1s6BD75EYKTPWP, 5740011]
[paragraph, [63.0, 753.0, 537.0, 18.0], shoonya_1s6BD75EYKTPWP, 5740011]
[paragraph, [63.0, 771.0, 537.0, 18.0], shoonya_1s6BD75EYKTPWP, 5740011]
[paragraph, [63.0, 789.0, 537.0, 18.0], shoonya_1s6BD75EYKTPWP, 5740011]
[paragraph, [63.0, 807.0, 537.0, 18.0], shoonya_1s6BD75EYKTPWP, 5740011]
[paragraph, [63.0, 825.0, 537.0, 18.0], shoonya_1s6BD75EYKTPWP, 5740011]
[paragraph, [63.0, 843.0, 537.0, 18.0], shoonya_1s6BD75EYKTPWP, 5740011]
[paragraph, [63.0, 861.0, 537.0, 18.0], shoonya_1s6BD75EYKTPWP, 5740011]
[paragraph, [63.0, 879.0, 537.0, 18.0], shoonya_1s6BD75EYKTPWP, 5740011]
[paragraph, [63.0, 897.0, 537.0, 18.0], shoonya_1s6BD75EYKTPWP, 5740011]
[paragraph, [63.0, 915.0, 537.0, 18.0], shoonya_1s6BD75EYKTPWP, 5740011]
[paragraph, [63.0, 933.0, 537.0, 18.0], shoonya_1s6BD75EYKTPWP, 5740011]
