[2200, 1700]
[folio, [739.0, 99.0, 221.0, 36.0], shoonya_1s7TLHAHY96KXT, 5738890]
[section-title, [184.0, 210.0, 1328.0, 52.5], fY_UTmYhYc, 5738890]
[ordered-list, [237.0, 289.0, 1266.0, 36.0], shoonya_2sFFSY97Z9ZD9A, 5738890]
[ordered-list, [237.0, 325.0, 1266.0, 36.0], shoonya_2sFFSY97Z9ZD9A, 5738890]
[ordered-list, [237.0, 361.0, 1266.0, 36.0], shoonya_2sFFSY97Z9ZD9A, 5738890]
[ordered-list, [237.0, 397.0, 1266.0, 36.0], shoonya_2sFFSY97Z9ZD9A, 5738890]
[ordered-list, [237.0, 433.0, 1266.0, 36.0], shoonya_2sFFSY97Z9ZD9A, 5738890]
[ordered-list, [237.0, 469.0, 1266.0, 36.0], shoonya_2sFFSY97Z9ZD9A, 5738890]
[ordered-list, [237.0, 505.0, 1266.0, 36.0], shoonya_2sFFSY97Z9ZD9A, 5738890]
[ordered-list, [237.0, 541.0, 1266.0, 36.0], shoonya_2sFFSY97Z9ZD9A, 5738890]
[ordered-list, [237.0, 577.0, 1266.0, 36.0], shoonya_2sFFSY97Z9ZD9A, 5738890]
[ordered-list, [237.0, 613.0, 1266.0, 36.0], shoonya_2sFFSY97Z9ZD9A, 5738890]
[ordered-list, [237.0, 649.0, 1266.0, 36.0], shoonya_2sFFSY97Z9ZD9A, 5738890]
[ordered-list, [237.0, 685.0, 1266.0, 36.0], shoonya_2sFFSY97Z9ZD9A, 5738890]
[ordered-list, [237.0, 721.0, 1266.0, 36.0], shoonya_2sFFSY97Z9ZD9A, 5738890]
[ordered-list, [237.0, 757.0, 1266.0, 36.0], shoonya_2sFFSY97Z9ZD9A, 5738890]
[ordered-list, [237.0, 793.0, 1266.0, 36.0], shoonya_2sFFSY97Z9ZD9A, 5738890]
[ordered-list, [237.0, 829.0, 1266.0, 36.0], shoonya_2sFFSY97Z9ZD9A, 5738890]
[ordered-list, [237.0, 865.0, 1266.0, 36.0], shoonya_2sFFSY97Z9ZD9A, 5738890]
[ordered-list, [237.0, 901.0, 1266.0, 36.0], shoonya_2sFFSY97Z9ZD9A, 5738890]
[ordered-list, [237.0, 937.0, 1266.0, 36.0], shoonya_2sFFSY97Z9ZD9A, 5738890]
[ordered-list, [237.0, 973.0, 1266.0, 36.0], shoonya_2sFFSY97Z9ZD9A, 5738890]
[ordered-list, [237.0, 1009.0, 1266.0, 36.0], shoonya_2sFFSY97Z9ZD9A, 5738890]
[ordered-list, [237.0, 1045.0, 1266.0, 36.0], shoonya_2sFFSY97Z9ZD9A, 5738890]
[ordered-list, [237.0, 1081.0, 1266.0, 36.0], shoonya_2sFFSY97Z9ZD9A, 5738890]
[ordered-list, [237.0, 1117.0, 1266.0, 36.0], shoonya_2sFFSY97Z9ZD9A, 5738890]
[ordered-list, [237.0, 1153.0, 1266.0, 36.0], shoonya_2sFFSY97Z9ZD9A, 5738890]
[ordered-list, [237.0, 1189.0, 1266.0, 36.0], shoonya_2sFFSY97Z9ZD9A, 5738890]
[ordered-list, [237.0, 1225.0, 1266.0, 36.0], shoonya_2sFFSY97Z9ZD9A, 5738890]
[ordered-list, [237.0, 1261.0, 1266.0, 36.0], shoonya_2sFFSY97Z9ZD9A, 5738890]
[ordered-list, [237.0, 1297.0, 1266.0, 36.0], shoonya_2sFFSY97Z9ZD9A, 5738890]
[ordered-list, [237.0, 1333.0, 1266.0, 36.0], shoonya_2sFFSY97Z9ZD9A, 5738890]
[ordered-list, [237.0, 1369.0, 1266.0, 36.0], shoonya_2sFFSY97Z9ZD9A, 5738890]
[ordered-list, [237.0, 1405.0, 1266.0, 36.0], shoonya_2sFFSY97Z9ZD9A, 5738890]
[ordered-list, [237.0, 1441.0, 1266.0, 36.0], shoonya_2sFFSY97Z9ZD9A, 5738890]
[ordered-list, [237.0, 1477.0, 1266.0, 36.0], shoonya_2sFFSY97Z9ZD9A, 5738890]
[ordered-list, [237.0, 1513.0, 1266.0, 36.0], shoonya_2sFFSY97Z9ZD9A, 5738890]
[ordered-list, [237.0, 1549.0, 1266.0, 36.0], shoonya_2sFFSY97Z9ZD9A, 5738890]
[ordered-list, [237.0, 1585.0, 1266.0, 36.0], shoonya_2sFFSY97Z9ZD9A, 5738890]
[ordered-list, [237.0, 1621.0, 1266.0, 36.0], shoonya_2sFFSY97Z9ZD9A, 5738890]
[ordered-list, [237.0, 1657.0, 1266.0, 36.0], shoonya_2sFFSY97Z9ZD9A, 5738890]
[ordered-list, [237.0, 1693.0, 1266.0, 36.0], shoonya_2sFFSY97Z9ZD9A, 5738890]
[ordered-list, [237.0, 1729.0, 1266.0, 36.0], shoonya_2sFFSY97Z9ZD9A, 5738890]
[ordered-list, [237.0, 1765.0, 1266.0, 36.0], shoonya_2sFFSY97Z9ZD9A, 5738890]
[ordered-list, [237.0, 1801.0, 1266.0, 36.0], shoonya_2sFFSY97Z9ZD9A, 5738890]
[ordered-list, [237.0, 1837.0, 1266.0, 36.0], shoonya_2sFFSY97Z9ZD9A, 5738890]
[ordered-list, [237.0, 1873.0, 1266.0, 36.0], shoonya_2sFFSY97Z9ZD9A, 5738890]
[ordered-list, [237.0, 1909.0, 1266.0, 36.0], shoonya_2sFFSY97Z9ZD9A, 5738890]
[ordered-list, [237.0, 1945.0, 1266.0, 36.0], shoonya_2sFFSY97Z9ZD9A, 5738890]
